start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,input_file
0.2715,0.29,23750,26900,Nyctalus leisleri,0.631,0.684,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_27.wav
0.3335,0.3478,24609,28472,Nyctalus leisleri,0.512,0.623,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_27.wav
0.6565,0.6729,23750,28177,Nyctalus leisleri,0.626,0.701,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_27.wav
0.7935,0.8054,25468,30824,Nyctalus leisleri,0.434,0.634,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_27.wav
0.9415,0.9544,24609,30195,Nyctalus leisleri,0.527,0.684,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_27.wav
1.2295,1.2489,23750,26798,Nyctalus leisleri,0.539,0.602,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_27.wav
1.7845,1.8027,23750,27257,Nyctalus leisleri,0.586,0.64,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_27.wav
2.4815,2.4982,23750,27370,Nyctalus leisleri,0.567,0.632,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_27.wav
3.1205,3.139,23750,27872,Nyctalus leisleri,0.515,0.585,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_27.wav
19.8075,19.8211,25468,31682,Nyctalus leisleri,0.302,0.615,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_27.wav
19.9595,19.9727,25468,30820,Nyctalus leisleri,0.349,0.596,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_27.wav
20.4765,20.49,25468,30110,Nyctalus leisleri,0.49,0.644,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_27.wav
20.5995,20.6109,26328,32254,Nyctalus leisleri,0.347,0.602,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_27.wav
21.7995,21.812,26328,32891,Eptesicus serotinus,0.326,0.657,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_27.wav
22.0245,22.037,25468,31795,Nyctalus leisleri,0.32,0.659,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_27.wav
22.2715,22.2835,24609,30932,Nyctalus leisleri,0.322,0.663,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_27.wav
22.4265,22.4408,25468,30626,Nyctalus leisleri,0.285,0.61,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_27.wav
22.6825,22.6959,24609,29625,Nyctalus leisleri,0.45,0.616,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_27.wav
22.9385,22.9514,24609,31797,Eptesicus serotinus,0.298,0.623,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_27.wav
23.8605,23.8714,24609,30062,Nyctalus leisleri,0.381,0.571,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_27.wav
37.3585,37.3717,25468,29981,Nyctalus leisleri,0.413,0.549,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_27.wav
38.7145,38.7264,25468,31379,Nyctalus leisleri,0.453,0.675,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_27.wav
39.1155,39.1315,24609,28883,Nyctalus leisleri,0.41,0.512,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_27.wav
39.3875,39.4011,25468,30317,Nyctalus leisleri,0.522,0.661,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_27.wav
39.661500000000004,39.6769,25468,28422,Nyctalus leisleri,0.521,0.618,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_27.wav
39.9305,39.9447,25468,31123,Nyctalus leisleri,0.344,0.641,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_27.wav
40.3475,40.3621,25468,29449,Nyctalus leisleri,0.501,0.646,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_27.wav
40.7355,40.749,25468,30612,Nyctalus leisleri,0.536,0.693,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_27.wav
41.1665,41.181200000000004,25468,29417,Nyctalus leisleri,0.459,0.601,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_27.wav
41.4345,41.447900000000004,25468,31546,Nyctalus leisleri,0.346,0.657,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_27.wav
41.5665,41.578900000000004,26328,34490,Eptesicus serotinus,0.36,0.664,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_27.wav
41.704499999999996,41.716300000000004,27187,33334,Nyctalus leisleri,0.288,0.553,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_27.wav
41.8505,41.8605,27187,33814,Nyctalus leisleri,0.354,0.657,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_27.wav
42.2375,42.25,25468,32705,Nyctalus leisleri,0.351,0.695,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_27.wav
42.3785,42.3928,26328,32486,Eptesicus serotinus,0.268,0.669,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_27.wav
42.5215,42.5356,26328,33515,Eptesicus serotinus,0.301,0.673,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_27.wav
42.7675,42.7796,26328,34672,Eptesicus serotinus,0.317,0.667,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_27.wav
42.8755,42.8845,28046,35961,Nyctalus leisleri,0.451,0.716,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_27.wav
42.9465,42.9551,28906,35678,Nyctalus leisleri,0.357,0.593,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_27.wav
43.0125,43.0206,28906,37220,Nyctalus leisleri,0.274,0.567,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_27.wav
43.1415,43.1534,25468,33336,Eptesicus serotinus,0.385,0.648,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_27.wav
43.3815,43.3946,25468,36195,Eptesicus serotinus,0.43,0.685,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_27.wav
43.7595,43.771,26328,35879,Eptesicus serotinus,0.363,0.669,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_27.wav
43.9005,43.912800000000004,26328,36033,Eptesicus serotinus,0.414,0.652,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_27.wav
