start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,input_file
6.0125,6.0283,22890,29845,Eptesicus serotinus,0.226,0.536,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
6.2505,6.2674,22890,29316,Nyctalus leisleri,0.211,0.558,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
6.3725,6.3864,24609,33526,Eptesicus serotinus,0.288,0.519,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
6.4815,6.4944,24609,39739,Eptesicus serotinus,0.509,0.691,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
6.5635,6.572,26328,34075,Nyctalus leisleri,0.292,0.624,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
6.6005,6.612,24609,33487,Eptesicus serotinus,0.411,0.655,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
6.7945,6.8062,24609,29748,Nyctalus leisleri,0.341,0.599,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
7.1695,7.1827,23750,31126,Nyctalus leisleri,0.301,0.659,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
7.2995,7.3103,23750,31505,Nyctalus leisleri,0.397,0.673,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
7.5865,7.6002,22890,32736,Eptesicus serotinus,0.428,0.623,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
7.6345,7.6479,23750,30099,Nyctalus leisleri,0.268,0.594,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
7.7905,7.8053,23750,30308,Nyctalus leisleri,0.313,0.627,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
8.0575,8.0702,23750,29730,Nyctalus leisleri,0.448,0.635,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
8.0975,8.1152,22890,32087,Eptesicus serotinus,0.287,0.542,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
8.2035,8.2165,23750,29969,Nyctalus leisleri,0.438,0.629,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
8.3195,8.3351,22890,31115,Eptesicus serotinus,0.267,0.573,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
8.5085,8.5197,24609,30403,Nyctalus leisleri,0.542,0.695,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
8.5535,8.569,22890,30538,Nyctalus leisleri,0.231,0.541,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
8.6405,8.6516,24609,32260,Nyctalus leisleri,0.407,0.681,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
8.7845,8.8015,22031,31395,Eptesicus serotinus,0.306,0.536,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
8.9115,8.9224,24609,30732,Nyctalus leisleri,0.369,0.579,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
8.9365,8.9565,22890,34843,Eptesicus serotinus,0.392,0.575,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
9.0365,9.0468,25468,32608,Nyctalus leisleri,0.503,0.676,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
9.0935,9.1081,23750,41166,Eptesicus serotinus,0.494,0.679,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
9.1865,9.1981,24609,30504,Nyctalus leisleri,0.449,0.629,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
9.2325,9.2462,23750,45139,Eptesicus serotinus,0.561,0.745,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
9.3315,9.3425,24609,33131,Nyctalus leisleri,0.37,0.696,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
9.4375,9.4559,22890,40205,Eptesicus serotinus,0.439,0.656,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
9.5895,9.6006,25468,30984,Nyctalus leisleri,0.49,0.627,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
9.6445,9.6572,23750,32717,Eptesicus serotinus,0.223,0.525,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
9.8175,9.8286,24609,33357,Nyctalus leisleri,0.306,0.645,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
9.8805,9.899,22031,39021,Eptesicus serotinus,0.393,0.67,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
10.0125,10.0242,23750,35470,Eptesicus serotinus,0.478,0.718,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
10.0675,10.0802,23750,31550,Nyctalus leisleri,0.301,0.663,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
10.1435,10.1572,23750,38622,Eptesicus serotinus,0.582,0.729,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
10.2025,10.2139,24609,32086,Nyctalus leisleri,0.324,0.657,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
10.2335,10.2424,25468,36684,Eptesicus serotinus,0.411,0.682,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
10.3415,10.3534,24609,32517,Nyctalus leisleri,0.297,0.656,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
10.3755,10.3897,22890,31448,Eptesicus serotinus,0.288,0.64,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
10.4845,10.4956,24609,34526,Eptesicus serotinus,0.294,0.693,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
10.6065,10.6207,23750,41090,Eptesicus serotinus,0.422,0.715,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
10.7705,10.7818,24609,34094,Eptesicus serotinus,0.299,0.663,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
10.8425,10.8568,22890,33898,Eptesicus serotinus,0.381,0.668,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
10.9115,10.9229,24609,33698,Eptesicus serotinus,0.293,0.546,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
10.9775,10.9918,23750,42900,Eptesicus serotinus,0.487,0.724,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
11.0495,11.0617,24609,34826,Nyctalus leisleri,0.283,0.671,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
11.1845,11.1949,23750,33346,Nyctalus leisleri,0.391,0.665,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
11.2095,11.2299,22031,36769,Eptesicus serotinus,0.312,0.65,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
11.3245,11.337,23750,36252,Eptesicus serotinus,0.319,0.636,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
