start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,input_file
0.0935,0.1048,24609,31571,Nyctalus leisleri,0.343,0.652,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_21.wav
0.2685,0.2822,23750,29226,Nyctalus leisleri,0.579,0.68,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_21.wav
0.3755,0.3867,24609,32081,Nyctalus leisleri,0.342,0.664,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_21.wav
0.6005,0.6128,25468,33049,Eptesicus serotinus,0.319,0.634,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_21.wav
0.8175,0.8291,25468,34684,Eptesicus serotinus,0.335,0.657,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_21.wav
0.9545,0.969,23750,27911,Nyctalus leisleri,0.46,0.538,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_21.wav
1.0545,1.0654,25468,33195,Nyctalus leisleri,0.337,0.674,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_21.wav
1.1305,1.1462,22890,27898,Nyctalus leisleri,0.45,0.542,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_21.wav
1.1985,1.2122,24609,35173,Eptesicus serotinus,0.458,0.638,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_21.wav
1.4305,1.4421,25468,33404,Eptesicus serotinus,0.351,0.673,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_21.wav
1.5455,1.5557,26328,34384,Nyctalus leisleri,0.378,0.668,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_21.wav
1.6485,1.659,26328,35520,Nyctalus leisleri,0.345,0.715,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_21.wav
1.7645,1.7751,26328,35496,Eptesicus serotinus,0.333,0.674,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_21.wav
