date_and_time_UTC,bout_time_percentage,LFbout_time_percentage,HFbout_time_percentage
2025-04-25 21:20:00+00:00,0.0,0.0,0.0
2025-04-25 21:30:00+00:00,0.0,0.0,0.0
2025-04-25 21:40:00+00:00,0.0,0.0,0.0
2025-04-25 21:50:00+00:00,0.0,0.0,0.0
2025-04-25 22:00:00+00:00,0.0,0.0,0.0
2025-04-25 22:10:00+00:00,0.0,0.0,0.0
2025-04-25 22:20:00+00:00,0.0,0.0,0.0
2025-04-25 22:30:00+00:00,0.0,0.0,0.0
2025-04-25 22:40:00+00:00,0.0,0.0,0.0
2025-04-25 22:50:00+00:00,0.0,0.0,0.0
2025-04-25 23:00:00+00:00,0.0,0.0,0.0
2025-04-25 23:10:00+00:00,0.0,0.0,0.0
2025-04-25 23:20:00+00:00,0.0,0.0,0.0
2025-04-25 23:30:00+00:00,0.0,0.0,0.0
2025-04-25 23:40:00+00:00,0.0,0.0,0.0
2025-04-25 23:50:00+00:00,0.0,0.0,0.0
2025-04-26 00:00:00+00:00,0.0,0.0,0.0
2025-04-26 00:10:00+00:00,0.0,0.0,0.0
2025-04-26 00:20:00+00:00,0.0,0.0,0.0
2025-04-26 00:30:00+00:00,0.0,0.0,0.0
2025-04-26 00:40:00+00:00,0.0,0.0,0.0
2025-04-26 00:50:00+00:00,0.0,0.0,0.0
2025-04-26 01:00:00+00:00,0.0,0.0,0.0
2025-04-26 01:10:00+00:00,0.0,0.0,0.0
2025-04-26 01:20:00+00:00,0.0,0.0,0.0
2025-04-26 01:30:00+00:00,0.0,0.0,0.0
2025-04-26 01:40:00+00:00,0.0,0.0,0.0
2025-04-26 01:50:00+00:00,0.0,0.0,0.0
2025-04-26 02:00:00+00:00,0.0,0.0,0.0
2025-04-26 02:10:00+00:00,0.0,0.0,0.0
2025-04-26 02:20:00+00:00,0.0,0.0,0.0
2025-04-26 02:30:00+00:00,0.0,0.0,0.0
2025-04-26 02:40:00+00:00,0.0,0.0,0.0
2025-04-26 02:50:00+00:00,0.0,0.0,0.0
2025-04-26 03:00:00+00:00,0.0,0.0,0.0
2025-04-26 03:10:00+00:00,0.0,0.0,0.0
2025-04-26 03:20:00+00:00,0.0,0.0,0.0
2025-04-26 03:30:00+00:00,104.37223333333334,104.37223333333334,0.0
2025-04-26 03:40:00+00:00,0.0,0.0,0.0
2025-04-26 03:50:00+00:00,0.0,0.0,0.0
2025-04-26 04:00:00+00:00,298.5724666666667,298.5724666666667,0.0
2025-04-26 04:10:00+00:00,0.0,0.0,0.0
2025-04-26 04:20:00+00:00,0.0,0.0,0.0
2025-04-26 04:30:00+00:00,274.83016633333335,274.2051663333333,0.625
2025-04-26 04:40:00+00:00,0.0,0.0,0.0
2025-04-26 04:50:00+00:00,0.0,0.0,0.0
2025-04-26 05:00:00+00:00,293.36683333333326,292.9676333333333,0.3992
2025-04-26 05:10:00+00:00,0.0,0.0,0.0
2025-04-26 05:20:00+00:00,0.0,0.0,0.0
2025-04-26 05:30:00+00:00,292.94106666666664,291.99013333333335,0.9509333333333335
2025-04-26 05:40:00+00:00,0.0,0.0,0.0
2025-04-26 05:50:00+00:00,0.0,0.0,0.0
2025-04-26 06:00:00+00:00,295.684,295.10723333333334,0.5767666666666666
2025-04-26 06:10:00+00:00,0.0,0.0,0.0
2025-04-26 06:20:00+00:00,0.0,0.0,0.0
2025-04-26 06:30:00+00:00,297.71843333333334,297.71843333333334,0.0
2025-04-26 06:40:00+00:00,0.0,0.0,0.0
2025-04-26 06:50:00+00:00,0.0,0.0,0.0
2025-04-26 07:00:00+00:00,286.10670000000005,283.6175,2.4892000000000003
2025-04-26 07:10:00+00:00,0.0,0.0,0.0
2025-04-26 07:20:00+00:00,0.0,0.0,0.0
2025-04-26 07:30:00+00:00,285.6746,283.9885333333333,1.6860666666666666
2025-04-26 07:40:00+00:00,0.0,0.0,0.0
2025-04-26 07:50:00+00:00,0.0,0.0,0.0
2025-04-26 08:00:00+00:00,292.7264,292.7264,0.0
2025-04-26 08:10:00+00:00,0.0,0.0,0.0
2025-04-26 08:20:00+00:00,0.0,0.0,0.0
2025-04-26 08:30:00+00:00,196.04189966666667,196.04189966666667,0.0
2025-04-26 08:40:00+00:00,0.0,0.0,0.0
2025-04-26 08:50:00+00:00,0.0,0.0,0.0
2025-04-26 09:00:00+00:00,113.24836666666667,113.24836666666667,0.0
2025-04-26 09:10:00+00:00,0.0,0.0,0.0
2025-04-26 09:20:00+00:00,0.0,0.0,0.0
2025-04-26 09:30:00+00:00,46.722566666666665,43.83963333333333,2.8829333333333333
2025-04-26 09:40:00+00:00,0.0,0.0,0.0
2025-04-26 09:50:00+00:00,0.0,0.0,0.0
2025-04-26 10:00:00+00:00,24.54416666666667,22.452266666666667,2.0919
2025-04-26 10:10:00+00:00,0.0,0.0,0.0
2025-04-26 10:20:00+00:00,0.0,0.0,0.0
2025-04-26 10:30:00+00:00,10.403466666666667,10.403466666666667,0.0
2025-04-26 10:40:00+00:00,0.0,0.0,0.0
2025-04-26 10:50:00+00:00,0.0,0.0,0.0
2025-04-26 11:00:00+00:00,1.1693,1.1693,0.0
2025-04-26 11:10:00+00:00,0.0,0.0,0.0
2025-04-26 11:20:00+00:00,0.0,0.0,0.0
2025-04-26 11:30:00+00:00,37.10443333333333,37.10443333333333,0.0
2025-04-26 11:40:00+00:00,0.0,0.0,0.0
2025-04-26 11:50:00+00:00,0.0,0.0,0.0
2025-04-26 12:00:00+00:00,0.0,0.0,0.0
2025-04-26 12:10:00+00:00,0.0,0.0,0.0
2025-04-26 12:20:00+00:00,0.0,0.0,0.0
2025-04-26 12:30:00+00:00,0.0,0.0,0.0
2025-04-26 12:40:00+00:00,0.0,0.0,0.0
2025-04-26 12:50:00+00:00,0.0,0.0,0.0
2025-04-26 13:00:00+00:00,0.0,0.0,0.0
2025-04-26 13:10:00+00:00,0.0,0.0,0.0
2025-04-26 13:20:00+00:00,0.0,0.0,0.0
2025-04-26 13:30:00+00:00,0.0,0.0,0.0
2025-04-26 13:40:00+00:00,0.0,0.0,0.0
2025-04-26 13:50:00+00:00,0.0,0.0,0.0
2025-04-26 14:00:00+00:00,0.0,0.0,0.0
2025-04-26 14:10:00+00:00,0.0,0.0,0.0
2025-04-26 14:20:00+00:00,0.0,0.0,0.0
2025-04-26 14:30:00+00:00,0.0,0.0,0.0
2025-04-26 14:40:00+00:00,0.0,0.0,0.0
2025-04-26 14:50:00+00:00,0.0,0.0,0.0
2025-04-26 15:00:00+00:00,0.0,0.0,0.0
2025-04-26 15:10:00+00:00,0.0,0.0,0.0
2025-04-26 15:20:00+00:00,0.0,0.0,0.0
2025-04-26 15:30:00+00:00,0.0,0.0,0.0
2025-04-26 15:40:00+00:00,0.0,0.0,0.0
2025-04-26 15:50:00+00:00,0.0,0.0,0.0
2025-04-26 16:00:00+00:00,0.0,0.0,0.0
2025-04-26 16:10:00+00:00,0.0,0.0,0.0
2025-04-26 16:20:00+00:00,0.0,0.0,0.0
2025-04-26 16:30:00+00:00,0.0,0.0,0.0
2025-04-26 16:40:00+00:00,0.0,0.0,0.0
2025-04-26 16:50:00+00:00,0.0,0.0,0.0
2025-04-26 17:00:00+00:00,0.0,0.0,0.0
2025-04-26 17:10:00+00:00,0.0,0.0,0.0
2025-04-26 17:20:00+00:00,0.0,0.0,0.0
2025-04-26 17:30:00+00:00,0.0,0.0,0.0
2025-04-26 17:40:00+00:00,0.0,0.0,0.0
2025-04-26 17:50:00+00:00,0.0,0.0,0.0
2025-04-26 18:00:00+00:00,0.0,0.0,0.0
2025-04-26 18:10:00+00:00,0.0,0.0,0.0
2025-04-26 18:20:00+00:00,0.0,0.0,0.0
2025-04-26 18:30:00+00:00,0.0,0.0,0.0
2025-04-26 18:40:00+00:00,0.0,0.0,0.0
2025-04-26 18:50:00+00:00,0.0,0.0,0.0
2025-04-26 19:00:00+00:00,0.0,0.0,0.0
2025-04-26 19:10:00+00:00,0.0,0.0,0.0
2025-04-26 19:20:00+00:00,0.0,0.0,0.0
2025-04-26 19:30:00+00:00,0.0,0.0,0.0
2025-04-26 19:40:00+00:00,0.0,0.0,0.0
2025-04-26 19:50:00+00:00,0.0,0.0,0.0
2025-04-26 20:00:00+00:00,0.0,0.0,0.0
2025-04-26 20:10:00+00:00,0.0,0.0,0.0
2025-04-26 20:20:00+00:00,0.0,0.0,0.0
2025-04-26 20:30:00+00:00,0.0,0.0,0.0
2025-04-26 20:40:00+00:00,0.0,0.0,0.0
2025-04-26 20:50:00+00:00,0.0,0.0,0.0
2025-04-26 21:00:00+00:00,0.0,0.0,0.0
2025-04-26 21:10:00+00:00,0.0,0.0,0.0
2025-04-26 21:20:00+00:00,0.0,0.0,0.0
2025-04-26 21:30:00+00:00,0.0,0.0,0.0
2025-04-26 21:40:00+00:00,0.0,0.0,0.0
2025-04-26 21:50:00+00:00,0.0,0.0,0.0
2025-04-26 22:00:00+00:00,0.0,0.0,0.0
2025-04-26 22:10:00+00:00,0.0,0.0,0.0
2025-04-26 22:20:00+00:00,0.0,0.0,0.0
2025-04-26 22:30:00+00:00,0.0,0.0,0.0
2025-04-26 22:40:00+00:00,0.0,0.0,0.0
2025-04-26 22:50:00+00:00,0.0,0.0,0.0
2025-04-26 23:00:00+00:00,0.0,0.0,0.0
2025-04-26 23:10:00+00:00,0.0,0.0,0.0
2025-04-26 23:20:00+00:00,0.0,0.0,0.0
2025-04-26 23:30:00+00:00,0.0,0.0,0.0
2025-04-26 23:40:00+00:00,0.0,0.0,0.0
2025-04-26 23:50:00+00:00,0.0,0.0,0.0
2025-04-27 00:00:00+00:00,0.0,0.0,0.0
2025-04-27 00:10:00+00:00,0.0,0.0,0.0
2025-04-27 00:20:00+00:00,0.0,0.0,0.0
2025-04-27 00:30:00+00:00,0.0,0.0,0.0
2025-04-27 00:40:00+00:00,0.0,0.0,0.0
2025-04-27 00:50:00+00:00,0.0,0.0,0.0
2025-04-27 01:00:00+00:00,0.0,0.0,0.0
2025-04-27 01:10:00+00:00,0.0,0.0,0.0
2025-04-27 01:20:00+00:00,0.0,0.0,0.0
2025-04-27 01:30:00+00:00,0.9410333333333333,0.9410333333333333,0.0
2025-04-27 01:40:00+00:00,0.0,0.0,0.0
2025-04-27 01:50:00+00:00,0.0,0.0,0.0
2025-04-27 02:00:00+00:00,0.0,0.0,0.0
2025-04-27 02:10:00+00:00,0.0,0.0,0.0
2025-04-27 02:20:00+00:00,0.0,0.0,0.0
2025-04-27 02:30:00+00:00,0.0,0.0,0.0
2025-04-27 02:40:00+00:00,0.0,0.0,0.0
2025-04-27 02:50:00+00:00,0.0,0.0,0.0
2025-04-27 03:00:00+00:00,0.0,0.0,0.0
2025-04-27 03:10:00+00:00,0.0,0.0,0.0
2025-04-27 03:20:00+00:00,0.0,0.0,0.0
2025-04-27 03:30:00+00:00,76.18356666666666,76.18356666666666,0.0
2025-04-27 03:40:00+00:00,0.0,0.0,0.0
2025-04-27 03:50:00+00:00,0.0,0.0,0.0
2025-04-27 04:00:00+00:00,287.6240666666667,287.6240666666667,0.0
2025-04-27 04:10:00+00:00,0.0,0.0,0.0
2025-04-27 04:20:00+00:00,0.0,0.0,0.0
2025-04-27 04:30:00+00:00,176.00793333333337,173.67226666666667,2.3356666666666666
2025-04-27 04:40:00+00:00,0.0,0.0,0.0
2025-04-27 04:50:00+00:00,0.0,0.0,0.0
2025-04-27 05:00:00+00:00,129.86256666666668,129.86256666666668,0.0
2025-04-27 05:10:00+00:00,0.0,0.0,0.0
2025-04-27 05:20:00+00:00,0.0,0.0,0.0
2025-04-27 05:30:00+00:00,77.03953333333334,74.95356666666667,2.0859666666666667
2025-04-27 05:40:00+00:00,0.0,0.0,0.0
2025-04-27 05:50:00+00:00,0.0,0.0,0.0
2025-04-27 06:00:00+00:00,13.263166666666667,13.263166666666667,0.0
2025-04-27 06:10:00+00:00,0.0,0.0,0.0
2025-04-27 06:20:00+00:00,0.0,0.0,0.0
2025-04-27 06:30:00+00:00,135.32163333333332,133.63366666666667,1.6879666666666668
2025-04-27 06:40:00+00:00,0.0,0.0,0.0
2025-04-27 06:50:00+00:00,0.0,0.0,0.0
2025-04-27 07:00:00+00:00,27.388500000000004,27.388500000000004,0.0
2025-04-27 07:10:00+00:00,0.0,0.0,0.0
2025-04-27 07:20:00+00:00,0.0,0.0,0.0
2025-04-27 07:30:00+00:00,16.040466666666667,16.040466666666667,0.0
2025-04-27 07:40:00+00:00,0.0,0.0,0.0
2025-04-27 07:50:00+00:00,0.0,0.0,0.0
2025-04-27 08:00:00+00:00,53.51343333333334,53.51343333333334,0.0
2025-04-27 08:10:00+00:00,0.0,0.0,0.0
2025-04-27 08:20:00+00:00,0.0,0.0,0.0
2025-04-27 08:30:00+00:00,1.26,1.26,0.0
2025-04-27 08:40:00+00:00,0.0,0.0,0.0
2025-04-27 08:50:00+00:00,0.0,0.0,0.0
2025-04-27 09:00:00+00:00,7.615033333333334,7.615033333333334,0.0
2025-04-27 09:10:00+00:00,0.0,0.0,0.0
2025-04-27 09:20:00+00:00,0.0,0.0,0.0
2025-04-27 09:30:00+00:00,0.0,0.0,0.0
2025-04-27 09:40:00+00:00,0.0,0.0,0.0
2025-04-27 09:50:00+00:00,0.0,0.0,0.0
2025-04-27 10:00:00+00:00,0.0,0.0,0.0
2025-04-27 10:10:00+00:00,0.0,0.0,0.0
2025-04-27 10:20:00+00:00,0.0,0.0,0.0
2025-04-27 10:30:00+00:00,0.0,0.0,0.0
2025-04-27 10:40:00+00:00,0.0,0.0,0.0
2025-04-27 10:50:00+00:00,0.0,0.0,0.0
2025-04-27 11:00:00+00:00,4.4321,4.4321,0.0
2025-04-27 11:10:00+00:00,0.0,0.0,0.0
2025-04-27 11:20:00+00:00,0.0,0.0,0.0
2025-04-27 11:30:00+00:00,0.0,0.0,0.0
2025-04-27 11:40:00+00:00,0.0,0.0,0.0
2025-04-27 11:50:00+00:00,0.0,0.0,0.0
2025-04-27 12:00:00+00:00,0.0,0.0,0.0
2025-04-27 12:10:00+00:00,0.0,0.0,0.0
2025-04-27 12:20:00+00:00,0.0,0.0,0.0
2025-04-27 12:30:00+00:00,0.0,0.0,0.0
2025-04-27 12:40:00+00:00,0.0,0.0,0.0
2025-04-27 12:50:00+00:00,0.0,0.0,0.0
2025-04-27 13:00:00+00:00,0.0,0.0,0.0
2025-04-27 13:10:00+00:00,0.0,0.0,0.0
2025-04-27 13:20:00+00:00,0.0,0.0,0.0
2025-04-27 13:30:00+00:00,0.0,0.0,0.0
2025-04-27 13:40:00+00:00,0.0,0.0,0.0
2025-04-27 13:50:00+00:00,0.0,0.0,0.0
2025-04-27 14:00:00+00:00,0.0,0.0,0.0
2025-04-27 14:10:00+00:00,0.0,0.0,0.0
2025-04-27 14:20:00+00:00,0.0,0.0,0.0
2025-04-27 14:30:00+00:00,0.0,0.0,0.0
2025-04-27 14:40:00+00:00,0.0,0.0,0.0
2025-04-27 14:50:00+00:00,0.0,0.0,0.0
2025-04-27 15:00:00+00:00,0.0,0.0,0.0
2025-04-27 15:10:00+00:00,0.0,0.0,0.0
2025-04-27 15:20:00+00:00,0.0,0.0,0.0
2025-04-27 15:30:00+00:00,0.0,0.0,0.0
2025-04-27 15:40:00+00:00,0.0,0.0,0.0
2025-04-27 15:50:00+00:00,0.0,0.0,0.0
2025-04-27 16:00:00+00:00,0.0,0.0,0.0
2025-04-27 16:10:00+00:00,0.0,0.0,0.0
2025-04-27 16:20:00+00:00,0.0,0.0,0.0
2025-04-27 16:30:00+00:00,0.0,0.0,0.0
2025-04-27 16:40:00+00:00,0.0,0.0,0.0
2025-04-27 16:50:00+00:00,0.0,0.0,0.0
2025-04-27 17:00:00+00:00,0.0,0.0,0.0
2025-04-27 17:10:00+00:00,0.0,0.0,0.0
2025-04-27 17:20:00+00:00,0.0,0.0,0.0
2025-04-27 17:30:00+00:00,0.0,0.0,0.0
2025-04-27 17:40:00+00:00,0.0,0.0,0.0
2025-04-27 17:50:00+00:00,0.0,0.0,0.0
2025-04-27 18:00:00+00:00,0.0,0.0,0.0
2025-04-27 18:10:00+00:00,0.0,0.0,0.0
2025-04-27 18:20:00+00:00,0.0,0.0,0.0
2025-04-27 18:30:00+00:00,0.0,0.0,0.0
2025-04-27 18:40:00+00:00,0.0,0.0,0.0
2025-04-27 18:50:00+00:00,0.0,0.0,0.0
