KMEANS_CLASSES,peak_frequency,SNR,start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,sampling_rate,input_file,Recover Folder,SD Card,Site name
HF,46080.0,23.738287698316107,51.5925,51.597899999999996,19453.0,71181.0,Echolocation,Myotis nattereri,0.247,0.255,-1,192000.0,/mnt/ubna_data_05/recover-20250331/UBNA_026/20250324_163000.WAV,recover-20250331,UBNA_026,Carp Pond
HF,46080.0,13.483836296920867,66.0765,66.082,22031.0,58067.0,Echolocation,Myotis nattereri,0.234,0.254,-1,192000.0,/mnt/ubna_data_05/recover-20250331/UBNA_026/20250324_163000.WAV,recover-20250331,UBNA_026,Carp Pond
HF,46080.0,11.457099098441283,95.1285,95.1329,21171.0,59312.0,Echolocation,Myotis nattereri,0.236,0.25,-1,192000.0,/mnt/ubna_data_05/recover-20250331/UBNA_026/20250324_163000.WAV,recover-20250331,UBNA_026,Carp Pond
HF,48960.0,-0.9105268937823908,104.3145,104.3232,49531.0,54068.0,Echolocation,Pipistrellus pipistrellus,0.175,0.212,-1,192000.0,/mnt/ubna_data_05/recover-20250331/UBNA_026/20250324_163000.WAV,recover-20250331,UBNA_026,Carp Pond
HF,47040.0,6.982953361769255,181.2845,181.2907,46093.0,57802.0,Echolocation,Pipistrellus pipistrellus,0.281,0.292,-1,192000.0,/mnt/ubna_data_05/recover-20250331/UBNA_026/20250324_163000.WAV,recover-20250331,UBNA_026,Carp Pond
LF,21120.0,-6.167405390176049,194.0055,194.0105,19453.0,33612.0,Echolocation,Plecotus austriacus,0.256,0.317,-1,192000.0,/mnt/ubna_data_05/recover-20250331/UBNA_026/20250324_163000.WAV,recover-20250331,UBNA_026,Carp Pond
HF,46080.0,0.9838508310596323,268.4085,268.4158,41796.0,46495.0,Echolocation,Pipistrellus nathusii,0.186,0.242,-1,192000.0,/mnt/ubna_data_05/recover-20250331/UBNA_026/20250324_163000.WAV,recover-20250331,UBNA_026,Carp Pond
HF,47040.0,3.0025844071152425,268.9205,268.9262,44375.0,49458.0,Echolocation,Pipistrellus pipistrellus,0.178,0.207,-1,192000.0,/mnt/ubna_data_05/recover-20250331/UBNA_026/20250324_163000.WAV,recover-20250331,UBNA_026,Carp Pond
LF,27840.0,0.8181002022345395,288.8965,288.9045,28046.0,37172.0,Echolocation,Eptesicus serotinus,0.148,0.206,-1,192000.0,/mnt/ubna_data_05/recover-20250331/UBNA_026/20250324_163000.WAV,recover-20250331,UBNA_026,Carp Pond
HF,47040.0,7.14220816699944,11.2625,11.2726,46953.0,50020.0,Echolocation,Pipistrellus pipistrellus,0.201,0.243,-1,192000.0,/mnt/ubna_data_05/recover-20250331/UBNA_026/20250324_164000.WAV,recover-20250331,UBNA_026,Carp Pond
HF,48960.0,9.334431029377743,12.9515,12.9576,46093.0,61139.0,Echolocation,Pipistrellus pipistrellus,0.232,0.25,-1,192000.0,/mnt/ubna_data_05/recover-20250331/UBNA_026/20250324_164000.WAV,recover-20250331,UBNA_026,Carp Pond
HF,47040.0,9.65232912077447,22.2495,22.2538,41796.0,72815.0,Echolocation,Myotis mystacinus,0.137,0.221,-1,192000.0,/mnt/ubna_data_05/recover-20250331/UBNA_026/20250324_164000.WAV,recover-20250331,UBNA_026,Carp Pond
HF,55680.0,32.78158718587349,24.0035,24.0069,33203.0,66199.0,Echolocation,Myotis daubentonii,0.096,0.237,-1,192000.0,/mnt/ubna_data_05/recover-20250331/UBNA_026/20250324_164000.WAV,recover-20250331,UBNA_026,Carp Pond
HF,47040.0,3.570741674046562,25.4795,25.4904,46953.0,49647.0,Echolocation,Pipistrellus pipistrellus,0.163,0.227,-1,192000.0,/mnt/ubna_data_05/recover-20250331/UBNA_026/20250324_164000.WAV,recover-20250331,UBNA_026,Carp Pond
HF,45120.0,2.798465928933043,28.6755,28.6794,27187.0,53736.0,Echolocation,Myotis daubentonii,0.129,0.2,-1,192000.0,/mnt/ubna_data_05/recover-20250331/UBNA_026/20250324_164000.WAV,recover-20250331,UBNA_026,Carp Pond
HF,47040.0,9.75548326848564,30.4065,30.4116,46093.0,65636.0,Echolocation,Myotis mystacinus,0.086,0.209,-1,192000.0,/mnt/ubna_data_05/recover-20250331/UBNA_026/20250324_164000.WAV,recover-20250331,UBNA_026,Carp Pond
HF,43200.0,5.508823718570217,33.7485,33.7531,40937.0,57371.0,Echolocation,Myotis daubentonii,0.267,0.395,-1,192000.0,/mnt/ubna_data_05/recover-20250331/UBNA_026/20250324_164000.WAV,recover-20250331,UBNA_026,Carp Pond
LF,31680.0,13.720915339584412,35.7345,35.7507,30625.0,34485.0,Echolocation,Pipistrellus nathusii,0.138,0.306,-1,192000.0,/mnt/ubna_data_05/recover-20250331/UBNA_026/20250324_164000.WAV,recover-20250331,UBNA_026,Carp Pond
HF,47040.0,11.363321316973142,35.7355,35.7464,46953.0,47844.0,Echolocation,Pipistrellus pipistrellus,0.21,0.311,-1,192000.0,/mnt/ubna_data_05/recover-20250331/UBNA_026/20250324_164000.WAV,recover-20250331,UBNA_026,Carp Pond
HF,48000.0,4.534613106419197,36.6905,36.6999,46953.0,48917.0,Echolocation,Pipistrellus pipistrellus,0.116,0.2,-1,192000.0,/mnt/ubna_data_05/recover-20250331/UBNA_026/20250324_164000.WAV,recover-20250331,UBNA_026,Carp Pond
HF,46080.0,2.459402216004762,38.7395,38.745,45234.0,51346.0,Echolocation,Pipistrellus pipistrellus,0.241,0.256,-1,192000.0,/mnt/ubna_data_05/recover-20250331/UBNA_026/20250324_164000.WAV,recover-20250331,UBNA_026,Carp Pond
LF,25920.0,-1.2592455130065163,41.5775,41.5945,26328.0,30298.0,Echolocation,Nyctalus leisleri,0.173,0.345,-1,192000.0,/mnt/ubna_data_05/recover-20250331/UBNA_026/20250324_164000.WAV,recover-20250331,UBNA_026,Carp Pond
HF,41280.0,-3.6358703750948558,42.3475,42.3512,37500.0,57497.0,Echolocation,Myotis daubentonii,0.142,0.237,-1,192000.0,/mnt/ubna_data_05/recover-20250331/UBNA_026/20250324_164000.WAV,recover-20250331,UBNA_026,Carp Pond
LF,25920.0,8.223997533212618,42.5805,42.5937,25468.0,29364.0,Echolocation,Nyctalus leisleri,0.177,0.248,-1,192000.0,/mnt/ubna_data_05/recover-20250331/UBNA_026/20250324_164000.WAV,recover-20250331,UBNA_026,Carp Pond
HF,46080.0,3.9546283745996504,45.1685,45.1736,44375.0,48856.0,Echolocation,Pipistrellus pipistrellus,0.192,0.204,-1,192000.0,/mnt/ubna_data_05/recover-20250331/UBNA_026/20250324_164000.WAV,recover-20250331,UBNA_026,Carp Pond
LF,25920.0,1.4398330133956558,48.4805,48.498000000000005,25468.0,29467.0,Echolocation,Nyctalus leisleri,0.167,0.25,-1,192000.0,/mnt/ubna_data_05/recover-20250331/UBNA_026/20250324_164000.WAV,recover-20250331,UBNA_026,Carp Pond
LF,25920.0,4.608568772446905,50.9435,50.9594,25468.0,29314.0,Echolocation,Nyctalus leisleri,0.265,0.318,-1,192000.0,/mnt/ubna_data_05/recover-20250331/UBNA_026/20250324_164000.WAV,recover-20250331,UBNA_026,Carp Pond
HF,47040.0,9.688510422146745,51.3815,51.3923,46953.0,48973.0,Echolocation,Pipistrellus pipistrellus,0.249,0.325,-1,192000.0,/mnt/ubna_data_05/recover-20250331/UBNA_026/20250324_164000.WAV,recover-20250331,UBNA_026,Carp Pond
LF,25920.0,2.719040412049445,51.929500000000004,51.9345,23750.0,46571.0,Echolocation,Myotis nattereri,0.149,0.203,-1,192000.0,/mnt/ubna_data_05/recover-20250331/UBNA_026/20250324_164000.WAV,recover-20250331,UBNA_026,Carp Pond
LF,21120.0,3.8838657974254263,53.2255,53.2303,18593.0,55494.0,Echolocation,Myotis nattereri,0.218,0.23,-1,192000.0,/mnt/ubna_data_05/recover-20250331/UBNA_026/20250324_164000.WAV,recover-20250331,UBNA_026,Carp Pond
HF,47040.0,7.166055340213698,54.807500000000005,54.8126,22890.0,55634.0,Echolocation,Myotis nattereri,0.184,0.203,-1,192000.0,/mnt/ubna_data_05/recover-20250331/UBNA_026/20250324_164000.WAV,recover-20250331,UBNA_026,Carp Pond
HF,46080.0,8.356102916103223,55.1785,55.183,40937.0,66756.0,Echolocation,Myotis mystacinus,0.082,0.205,-1,192000.0,/mnt/ubna_data_05/recover-20250331/UBNA_026/20250324_164000.WAV,recover-20250331,UBNA_026,Carp Pond
HF,48960.0,9.178517532280784,64.2015,64.2081,47812.0,54690.0,Echolocation,Pipistrellus pipistrellus,0.203,0.212,-1,192000.0,/mnt/ubna_data_05/recover-20250331/UBNA_026/20250324_164000.WAV,recover-20250331,UBNA_026,Carp Pond
HF,47040.0,9.429528084967238,80.98349999999999,80.98910000000001,46953.0,53022.0,Echolocation,Pipistrellus pipistrellus,0.227,0.231,-1,192000.0,/mnt/ubna_data_05/recover-20250331/UBNA_026/20250324_164000.WAV,recover-20250331,UBNA_026,Carp Pond
