,date_and_time_UTC,num_of_detections
151,2023-10-17 09:15:00+00:00,1
152,2023-10-17 09:45:00+00:00,1
153,2023-10-17 10:15:00+00:00,1
154,2023-10-17 10:45:00+00:00,1
155,2023-10-17 11:15:00+00:00,1
156,2023-10-17 11:45:00+00:00,1
157,2023-10-17 12:15:00+00:00,1
158,2023-10-17 12:45:00+00:00,1
159,2023-10-17 13:15:00+00:00,1
160,2023-10-17 13:45:00+00:00,1
161,2023-10-17 14:15:00+00:00,1
162,2023-10-18 01:15:00+00:00,1
163,2023-10-18 01:45:00+00:00,1
164,2023-10-18 02:15:00+00:00,6
165,2023-10-18 02:45:00+00:00,1
166,2023-10-18 03:15:00+00:00,21
167,2023-10-18 03:45:00+00:00,19
168,2023-10-18 04:15:00+00:00,27
169,2023-10-18 04:45:00+00:00,1
170,2023-10-18 05:15:00+00:00,1
171,2023-10-18 05:45:00+00:00,1
172,2023-10-18 06:15:00+00:00,1
173,2023-10-18 06:45:00+00:00,1
174,2023-10-18 07:15:00+00:00,1
175,2023-10-18 07:45:00+00:00,1
176,2023-10-18 08:15:00+00:00,1
177,2023-10-18 08:45:00+00:00,1
178,2023-10-18 09:15:00+00:00,1
179,2023-10-18 09:45:00+00:00,1
180,2023-10-18 10:15:00+00:00,1
181,2023-10-18 10:45:00+00:00,1
182,2023-10-18 11:15:00+00:00,1
183,2023-10-18 11:45:00+00:00,1
184,2023-10-18 12:15:00+00:00,1
185,2023-10-18 12:45:00+00:00,1
186,2023-10-18 13:15:00+00:00,1
187,2023-10-18 13:45:00+00:00,1
