Time (UTC),06/08/24,06/09/24,06/10/24,06/11/24,06/12/24,06/13/24
00:00,,1.0,1.0,1.0,2.6666666666666665,4.666666666666667
00:30,,2.6666666666666665,1.0,1.0,2.6666666666666665,1.0
01:00,,1.0,1.0,1.0,1.0,2.666666666666667
01:30,,1.0,1.0,4.666666666666667,1.0,1.0
02:00,8.333333333333332,2.6666666666666665,2.666666666666667,1.0,1.0,1.0
02:30,2.666666666666667,1.0,1.0,2.6666666666666665,2.6666666666666665,1.0
03:00,1.0,1.0,1.0,2.6666666666666665,1.0,2.6666666666666665
03:30,2.6666666666666665,1.0,1.0,1.0,1.0,1.0
04:00,1.0,2.666666666666667,4.666666666666667,1.0,4.333333333333333,1.0
04:30,82.33333333333333,226.66666666666666,218.0,144.33333333333334,484.0,4.666666666666667
05:00,250.0,892.0,212.0,372.0,302.0,22.666666666666664
05:30,1028.0,510.0,134.33333333333331,320.0,44.0,88.0
06:00,28.333333333333332,200.33333333333334,98.66666666666667,146.0,56.666666666666664,348.0
06:30,38.0,46.333333333333336,66.33333333333334,66.0,102.33333333333333,222.0
07:00,14.666666666666666,4.666666666666667,76.33333333333333,44.333333333333336,8.333333333333334,2.6666666666666665
07:30,60.0,306.0,1.0,2.666666666666667,198.33333333333331,2.666666666666667
08:00,14.666666666666668,30.333333333333336,32.666666666666664,40.333333333333336,46.333333333333336,118.0
08:30,28.333333333333336,214.0,86.33333333333334,74.33333333333333,2.6666666666666665,178.33333333333331
09:00,132.33333333333334,34.33333333333333,2.6666666666666665,80.0,52.666666666666664,214.33333333333334
09:30,2.6666666666666665,178.0,22.333333333333332,36.333333333333336,4.333333333333333,4.333333333333333
10:00,4.666666666666667,2.6666666666666665,1.0,46.333333333333336,374.0,40.333333333333336
10:30,142.0,196.0,42.33333333333333,44.333333333333336,88.0,1.0
11:00,144.33333333333334,272.0,1.0,6.0,96.33333333333334,1.0
11:30,2.6666666666666665,16.333333333333332,10.666666666666666,2.6666666666666665,1.0,10.666666666666666
12:00,2.666666666666667,8.333333333333332,4.333333333333333,1.0,2.666666666666667,2.6666666666666665
12:30,1.0,4.333333333333333,4.666666666666667,2.6666666666666665,2.666666666666667,2.6666666666666665
13:00,4.333333333333333,4.666666666666667,2.6666666666666665,2.6666666666666665,2.666666666666667,1.0
13:30,1.0,2.6666666666666665,2.666666666666667,1.0,2.6666666666666665,1.0
14:00,1.0,1.0,2.6666666666666665,1.0,4.666666666666667,1.0
14:30,2.3333333333333335,4.333333333333333,2.6666666666666665,2.6666666666666665,1.0,1.0
15:00,0.0,1.0,1.0,1.0,1.0,0.0
15:30,0.0,2.6666666666666665,2.6666666666666665,4.666666666666667,1.0,0.0
16:00,2.3333333333333335,1.0,2.6666666666666665,1.0,1.0,0.0
16:30,2.666666666666667,1.0,1.0,1.0,1.0,1.0
17:00,1.0,1.0,1.0,1.0,1.0,1.0
17:30,2.666666666666667,1.0,2.6666666666666665,1.0,2.6666666666666665,1.0
18:00,4.333333333333333,2.6666666666666665,1.0,1.0,1.0,1.0
18:30,1.0,4.333333333333334,4.333333333333333,4.333333333333334,2.6666666666666665,0.6666666666666666
19:00,4.333333333333333,2.6666666666666665,4.333333333333334,1.0,1.0,
19:30,1.0,1.0,1.0,1.0,2.666666666666667,
20:00,1.0,2.6666666666666665,1.0,1.0,1.0,
20:30,1.0,1.0,2.6666666666666665,1.0,1.0,
21:00,6.333333333333334,1.0,2.666666666666667,1.0,1.0,
21:30,1.0,2.6666666666666665,4.666666666666667,1.0,1.0,
22:00,1.0,1.0,1.0,1.0,1.0,
22:30,2.666666666666667,2.6666666666666665,2.6666666666666665,1.0,1.0,
23:00,1.0,1.0,2.6666666666666665,1.0,2.666666666666667,
23:30,2.6666666666666665,1.0,1.0,1.0,1.0,
