date_and_time_UTC,num_of_detections,HF2_num_of_detections,HF1_num_of_detections,LF1_num_of_detections
2023-08-31 01:30:00+00:00,1,1,1,1
2023-08-31 02:00:00+00:00,1,1,1,1
2023-08-31 02:30:00+00:00,1,1,1,1
2023-08-31 03:00:00+00:00,279,1,1,275
2023-08-31 03:30:00+00:00,1168,27,1,1141
2023-08-31 04:00:00+00:00,73,12,1,61
2023-08-31 04:30:00+00:00,103,1,1,103
2023-08-31 05:00:00+00:00,202,14,1,188
2023-08-31 05:30:00+00:00,39,1,1,39
2023-08-31 06:00:00+00:00,18,1,1,17
2023-08-31 06:30:00+00:00,39,37,1,1
2023-08-31 07:00:00+00:00,16,9,1,7
2023-08-31 07:30:00+00:00,1,1,1,1
2023-08-31 08:00:00+00:00,1,1,1,1
2023-08-31 08:30:00+00:00,10,10,1,1
2023-08-31 09:00:00+00:00,1,1,1,1
2023-08-31 09:30:00+00:00,1,1,1,1
2023-08-31 10:00:00+00:00,1,1,1,1
2023-08-31 10:30:00+00:00,28,1,27,1
2023-08-31 11:00:00+00:00,13,13,1,1
2023-08-31 11:30:00+00:00,14,1,14,1
2023-08-31 12:00:00+00:00,1,1,1,1
2023-08-31 12:30:00+00:00,1,1,1,1
2023-08-31 13:00:00+00:00,1,1,1,1
2023-08-31 13:30:00+00:00,1,1,1,1
2023-08-31 14:00:00+00:00,1,1,1,1
2023-09-01 01:30:00+00:00,1,1,1,1
2023-09-01 02:00:00+00:00,1,1,1,1
2023-09-01 02:30:00+00:00,1,1,1,1
2023-09-01 03:00:00+00:00,149,1,1,149
2023-09-01 03:30:00+00:00,966,4,1,945
2023-09-01 04:00:00+00:00,117,42,1,74
2023-09-01 04:30:00+00:00,30,3,1,27
2023-09-01 05:00:00+00:00,51,1,19,32
2023-09-01 05:30:00+00:00,4,2,1,2
2023-09-01 06:00:00+00:00,5,5,1,1
2023-09-01 06:30:00+00:00,20,20,1,1
2023-09-01 07:00:00+00:00,1,1,1,1
2023-09-01 07:30:00+00:00,32,18,1,14
2023-09-01 08:00:00+00:00,11,1,10,1
2023-09-01 08:30:00+00:00,47,3,38,6
2023-09-01 09:00:00+00:00,1,1,1,1
2023-09-01 09:30:00+00:00,17,1,1,17
2023-09-01 10:00:00+00:00,11,5,1,6
2023-09-01 10:30:00+00:00,1,1,1,1
2023-09-01 11:00:00+00:00,19,12,6,1
2023-09-01 11:30:00+00:00,2,1,1,2
2023-09-01 12:00:00+00:00,1,1,1,1
2023-09-01 12:30:00+00:00,1,1,1,1
2023-09-01 13:00:00+00:00,1,1,1,1
2023-09-01 13:30:00+00:00,1,1,1,1
2023-09-01 14:00:00+00:00,1,1,1,1
2023-09-02 01:30:00+00:00,1,1,1,1
2023-09-02 02:00:00+00:00,2,1,1,2
2023-09-02 02:30:00+00:00,1,1,1,1
2023-09-02 03:00:00+00:00,42,1,1,42
2023-09-02 03:30:00+00:00,2604,1,1,2596
2023-09-02 04:00:00+00:00,920,7,43,870
2023-09-02 04:30:00+00:00,142,1,1,141
2023-09-02 05:00:00+00:00,36,29,1,7
2023-09-02 05:30:00+00:00,196,48,1,147
2023-09-02 06:00:00+00:00,45,27,1,17
2023-09-02 06:30:00+00:00,120,106,2,12
2023-09-02 07:00:00+00:00,39,16,2,21
2023-09-02 07:30:00+00:00,4,4,1,1
2023-09-02 08:00:00+00:00,1,1,1,1
2023-09-02 08:30:00+00:00,24,23,1,1
2023-09-02 09:00:00+00:00,1,1,1,1
2023-09-02 09:30:00+00:00,26,19,1,7
2023-09-02 10:00:00+00:00,5,1,1,5
2023-09-02 10:30:00+00:00,1,1,1,1
2023-09-02 11:00:00+00:00,58,1,1,58
2023-09-02 11:30:00+00:00,6,1,6,1
2023-09-02 12:00:00+00:00,15,1,15,1
2023-09-02 12:30:00+00:00,12,2,10,1
2023-09-02 13:00:00+00:00,1,1,1,1
2023-09-02 13:30:00+00:00,1,1,1,1
2023-09-02 14:00:00+00:00,1,1,1,1
2023-09-03 01:30:00+00:00,1,1,1,1
2023-09-03 02:00:00+00:00,1,1,1,1
2023-09-03 02:30:00+00:00,1,1,1,1
2023-09-03 03:00:00+00:00,175,1,1,175
2023-09-03 03:30:00+00:00,4143,1,1,4114
2023-09-03 04:00:00+00:00,2384,1,1,2384
2023-09-03 04:30:00+00:00,563,50,1,513
2023-09-03 05:00:00+00:00,260,87,3,170
2023-09-03 05:30:00+00:00,115,1,1,115
2023-09-03 06:00:00+00:00,54,49,1,5
2023-09-03 06:30:00+00:00,84,50,8,26
2023-09-03 07:00:00+00:00,31,25,1,6
2023-09-03 07:30:00+00:00,90,1,1,90
2023-09-03 08:00:00+00:00,8,1,1,8
2023-09-03 08:30:00+00:00,43,1,1,43
2023-09-03 09:00:00+00:00,32,30,1,1
2023-09-03 09:30:00+00:00,102,1,7,93
2023-09-03 10:00:00+00:00,137,4,13,120
2023-09-03 10:30:00+00:00,169,1,1,168
2023-09-03 11:00:00+00:00,61,28,1,32
2023-09-03 11:30:00+00:00,21,1,20,1
2023-09-03 12:00:00+00:00,1,1,1,1
2023-09-03 12:30:00+00:00,1,1,1,1
2023-09-03 13:00:00+00:00,1,1,1,1
2023-09-03 13:30:00+00:00,1,1,1,1
2023-09-03 14:00:00+00:00,1,1,1,1
2023-09-04 01:30:00+00:00,1,1,1,1
2023-09-04 02:00:00+00:00,1,1,1,1
2023-09-04 02:30:00+00:00,1,1,1,1
2023-09-04 03:00:00+00:00,319,2,125,192
2023-09-04 03:30:00+00:00,1551,6,1,1545
2023-09-04 04:00:00+00:00,487,1,23,463
2023-09-04 04:30:00+00:00,77,76,1,1
2023-09-04 05:00:00+00:00,14,1,9,5
2023-09-04 05:30:00+00:00,2,1,1,1
2023-09-04 06:00:00+00:00,41,41,1,1
2023-09-04 06:30:00+00:00,1,1,1,1
2023-09-04 07:00:00+00:00,68,52,14,1
2023-09-04 07:30:00+00:00,1,1,1,1
2023-09-04 08:00:00+00:00,1,1,1,1
2023-09-04 08:30:00+00:00,13,8,1,5
2023-09-04 09:00:00+00:00,64,57,1,7
2023-09-04 09:30:00+00:00,18,1,18,1
2023-09-04 10:00:00+00:00,3,1,1,3
2023-09-04 10:30:00+00:00,1,1,1,1
2023-09-04 11:00:00+00:00,4,1,1,4
2023-09-04 11:30:00+00:00,1,1,1,1
2023-09-04 12:00:00+00:00,1,1,1,1
2023-09-04 12:30:00+00:00,2,1,1,2
2023-09-04 13:00:00+00:00,1,1,1,1
2023-09-04 13:30:00+00:00,1,1,1,1
2023-09-04 14:00:00+00:00,1,1,1,1
2023-09-05 01:30:00+00:00,1,1,1,1
2023-09-05 02:00:00+00:00,1,1,1,1
2023-09-05 02:30:00+00:00,1,1,1,1
2023-09-05 03:00:00+00:00,331,1,1,331
2023-09-05 03:30:00+00:00,426,16,2,408
2023-09-05 04:00:00+00:00,161,24,1,137
2023-09-05 04:30:00+00:00,54,28,10,16
2023-09-05 05:00:00+00:00,19,16,1,3
2023-09-05 05:30:00+00:00,59,59,1,1
2023-09-05 06:00:00+00:00,73,46,27,1
2023-09-05 06:30:00+00:00,5,4,1,1
2023-09-05 07:00:00+00:00,2,1,1,2
2023-09-05 07:30:00+00:00,14,1,1,13
2023-09-05 08:00:00+00:00,38,31,1,7
2023-09-05 08:30:00+00:00,7,1,1,7
2023-09-05 09:00:00+00:00,12,12,1,1
2023-09-05 09:30:00+00:00,1,1,1,1
2023-09-05 10:00:00+00:00,2,1,1,2
2023-09-05 10:30:00+00:00,31,30,1,1
2023-09-05 11:00:00+00:00,1,1,1,1
2023-09-05 11:30:00+00:00,1,1,1,1
2023-09-05 12:00:00+00:00,1,1,1,1
2023-09-05 12:30:00+00:00,1,1,1,1
2023-09-05 13:00:00+00:00,1,1,1,1
2023-09-05 13:30:00+00:00,1,1,1,1
2023-09-05 14:00:00+00:00,1,1,1,1
2023-09-06 01:30:00+00:00,1,1,1,1
2023-09-06 02:00:00+00:00,1,1,1,1
2023-09-06 02:30:00+00:00,1,1,1,1
2023-09-06 03:00:00+00:00,127,1,6,121
2023-09-06 03:30:00+00:00,256,1,1,253
2023-09-06 04:00:00+00:00,56,1,13,43
2023-09-06 04:30:00+00:00,1,1,1,1
2023-09-06 05:00:00+00:00,29,23,1,6
2023-09-06 05:30:00+00:00,4,1,1,4
2023-09-06 06:00:00+00:00,45,29,1,16
2023-09-06 06:30:00+00:00,16,1,16,1
2023-09-06 07:00:00+00:00,23,1,23,1
2023-09-06 07:30:00+00:00,24,1,21,3
2023-09-06 08:00:00+00:00,2,1,1,2
2023-09-06 08:30:00+00:00,8,8,1,1
2023-09-06 09:00:00+00:00,1,1,1,1
2023-09-06 09:30:00+00:00,1,1,1,1
2023-09-06 10:00:00+00:00,28,1,28,1
2023-09-06 10:30:00+00:00,14,1,14,1
2023-09-06 11:00:00+00:00,1,1,1,1
2023-09-06 11:30:00+00:00,17,17,1,1
2023-09-06 12:00:00+00:00,1,1,1,1
2023-09-06 12:30:00+00:00,15,1,1,15
2023-09-06 13:00:00+00:00,1,1,1,1
2023-09-06 13:30:00+00:00,1,1,1,1
2023-09-06 14:00:00+00:00,1,1,1,1
