date_and_time_UTC,callrate,LFcallrate,HFcallrate
2025-04-25 21:20:00+00:00,0.6,0.2,0.4
2025-04-25 21:30:00+00:00,0.0,0.0,0.0
2025-04-25 21:40:00+00:00,0.4,0.4,0.0
2025-04-25 21:50:00+00:00,0.8,0.6,0.2
2025-04-25 22:00:00+00:00,0.0,0.0,0.0
2025-04-25 22:10:00+00:00,0.0,0.0,0.0
2025-04-25 22:20:00+00:00,0.4,0.4,0.0
2025-04-25 22:30:00+00:00,0.0,0.0,0.0
2025-04-25 22:40:00+00:00,0.0,0.0,0.0
2025-04-25 22:50:00+00:00,0.0,0.0,0.0
2025-04-25 23:00:00+00:00,0.0,0.0,0.0
2025-04-25 23:10:00+00:00,0.0,0.0,0.0
2025-04-25 23:20:00+00:00,0.0,0.0,0.0
2025-04-25 23:30:00+00:00,0.0,0.0,0.0
2025-04-25 23:40:00+00:00,0.0,0.0,0.0
2025-04-25 23:50:00+00:00,0.0,0.0,0.0
2025-04-26 00:00:00+00:00,0.2,0.2,0.0
2025-04-26 00:10:00+00:00,0.0,0.0,0.0
2025-04-26 00:20:00+00:00,0.0,0.0,0.0
2025-04-26 00:30:00+00:00,0.0,0.0,0.0
2025-04-26 00:40:00+00:00,0.0,0.0,0.0
2025-04-26 00:50:00+00:00,0.0,0.0,0.0
2025-04-26 01:00:00+00:00,0.0,0.0,0.0
2025-04-26 01:10:00+00:00,0.0,0.0,0.0
2025-04-26 01:20:00+00:00,0.0,0.0,0.0
2025-04-26 01:30:00+00:00,0.0,0.0,0.0
2025-04-26 01:40:00+00:00,0.0,0.0,0.0
2025-04-26 01:50:00+00:00,0.0,0.0,0.0
2025-04-26 02:00:00+00:00,0.0,0.0,0.0
2025-04-26 02:10:00+00:00,0.2,0.2,0.0
2025-04-26 02:20:00+00:00,0.0,0.0,0.0
2025-04-26 02:30:00+00:00,0.0,0.0,0.0
2025-04-26 02:40:00+00:00,0.0,0.0,0.0
2025-04-26 02:50:00+00:00,0.0,0.0,0.0
2025-04-26 03:00:00+00:00,0.0,0.0,0.0
2025-04-26 03:10:00+00:00,0.0,0.0,0.0
2025-04-26 03:20:00+00:00,0.0,0.0,0.0
2025-04-26 03:30:00+00:00,0.0,0.0,0.0
2025-04-26 03:40:00+00:00,6.6,6.6,0.0
2025-04-26 03:50:00+00:00,41.4,41.4,0.0
2025-04-26 04:00:00+00:00,12.6,12.6,0.0
2025-04-26 04:10:00+00:00,73.4,73.4,0.0
2025-04-26 04:20:00+00:00,18.6,15.4,3.2
2025-04-26 04:30:00+00:00,1.4,1.4,0.0
2025-04-26 04:40:00+00:00,30.8,23.6,7.2
2025-04-26 04:50:00+00:00,0.0,0.0,0.0
2025-04-26 05:00:00+00:00,0.0,0.0,0.0
2025-04-26 05:10:00+00:00,21.0,21.0,0.0
2025-04-26 05:20:00+00:00,2.4,2.0,0.4
2025-04-26 05:30:00+00:00,5.6,5.6,0.0
2025-04-26 05:40:00+00:00,16.0,16.0,0.0
2025-04-26 05:50:00+00:00,0.2,0.2,0.0
2025-04-26 06:00:00+00:00,0.0,0.0,0.0
2025-04-26 06:10:00+00:00,4.4,4.4,0.0
2025-04-26 06:20:00+00:00,7.0,7.0,0.0
2025-04-26 06:30:00+00:00,1.2,1.2,0.0
2025-04-26 06:40:00+00:00,0.0,0.0,0.0
2025-04-26 06:50:00+00:00,0.0,0.0,0.0
2025-04-26 07:00:00+00:00,0.0,0.0,0.0
2025-04-26 07:10:00+00:00,1.6,1.6,0.0
2025-04-26 07:20:00+00:00,0.8,0.0,0.8
2025-04-26 07:30:00+00:00,0.0,0.0,0.0
2025-04-26 07:40:00+00:00,2.0,2.0,0.0
2025-04-26 07:50:00+00:00,14.6,6.2,8.4
2025-04-26 08:00:00+00:00,0.2,0.0,0.2
2025-04-26 08:10:00+00:00,0.0,0.0,0.0
2025-04-26 08:20:00+00:00,0.0,0.0,0.0
2025-04-26 08:30:00+00:00,10.0,0.4,9.6
2025-04-26 08:40:00+00:00,1.6,1.6,0.0
2025-04-26 08:50:00+00:00,4.0,4.0,0.0
2025-04-26 09:00:00+00:00,0.0,0.0,0.0
2025-04-26 09:10:00+00:00,0.0,0.0,0.0
2025-04-26 09:20:00+00:00,0.4,0.0,0.4
2025-04-26 09:30:00+00:00,11.8,11.8,0.0
2025-04-26 09:40:00+00:00,8.4,0.0,8.4
2025-04-26 09:50:00+00:00,0.0,0.0,0.0
2025-04-26 10:00:00+00:00,10.4,10.4,0.0
2025-04-26 10:10:00+00:00,3.2,3.2,0.0
2025-04-26 10:20:00+00:00,28.6,23.4,5.2
2025-04-26 10:30:00+00:00,0.0,0.0,0.0
2025-04-26 10:40:00+00:00,0.0,0.0,0.0
2025-04-26 10:50:00+00:00,1.8,1.8,0.0
2025-04-26 11:00:00+00:00,6.0,0.2,5.8
2025-04-26 11:10:00+00:00,0.0,0.0,0.0
2025-04-26 11:20:00+00:00,9.0,9.0,0.0
2025-04-26 11:30:00+00:00,0.0,0.0,0.0
2025-04-26 11:40:00+00:00,0.6,0.6,0.0
2025-04-26 11:50:00+00:00,0.0,0.0,0.0
2025-04-26 12:00:00+00:00,0.0,0.0,0.0
2025-04-26 12:10:00+00:00,8.0,8.0,0.0
2025-04-26 12:20:00+00:00,0.0,0.0,0.0
2025-04-26 12:30:00+00:00,0.0,0.0,0.0
2025-04-26 12:40:00+00:00,0.0,0.0,0.0
2025-04-26 12:50:00+00:00,0.0,0.0,0.0
2025-04-26 13:00:00+00:00,0.0,0.0,0.0
2025-04-26 13:10:00+00:00,0.0,0.0,0.0
2025-04-26 13:20:00+00:00,0.0,0.0,0.0
2025-04-26 13:30:00+00:00,0.0,0.0,0.0
2025-04-26 13:40:00+00:00,0.0,0.0,0.0
2025-04-26 13:50:00+00:00,0.0,0.0,0.0
2025-04-26 14:00:00+00:00,0.0,0.0,0.0
2025-04-26 14:10:00+00:00,0.0,0.0,0.0
2025-04-26 14:20:00+00:00,0.0,0.0,0.0
2025-04-26 14:30:00+00:00,0.0,0.0,0.0
2025-04-26 14:40:00+00:00,0.2,0.2,0.0
2025-04-26 14:50:00+00:00,0.0,0.0,0.0
2025-04-26 15:00:00+00:00,0.0,0.0,0.0
2025-04-26 15:10:00+00:00,0.0,0.0,0.0
2025-04-26 15:20:00+00:00,0.0,0.0,0.0
2025-04-26 15:30:00+00:00,0.0,0.0,0.0
2025-04-26 15:40:00+00:00,0.0,0.0,0.0
2025-04-26 15:50:00+00:00,1.2,1.2,0.0
2025-04-26 16:00:00+00:00,0.0,0.0,0.0
2025-04-26 16:10:00+00:00,0.0,0.0,0.0
2025-04-26 16:20:00+00:00,0.0,0.0,0.0
2025-04-26 16:30:00+00:00,0.0,0.0,0.0
2025-04-26 16:40:00+00:00,0.0,0.0,0.0
2025-04-26 16:50:00+00:00,0.0,0.0,0.0
