KMEANS_CLASSES,peak_frequency,SNR,start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,sampling_rate,input_file,Recover Folder,SD Card,Site name
LF,24960.0,3.0789958271982805,120.0585,120.0712,23750.0,29531.0,Echolocation,Nyctalus leisleri,0.262,0.537,-1,192000.0,/mnt/ubna_data_04/recover-20241011/UBNA_004/20241006_023000.WAV,recover-20241011,UBNA_004,Carp Pond
LF,24960.0,27.612387108426937,150.0715,150.0864,23750.0,33654.0,Echolocation,Eptesicus serotinus,0.357,0.704,-1,192000.0,/mnt/ubna_data_04/recover-20241011/UBNA_004/20241006_023000.WAV,recover-20241011,UBNA_004,Carp Pond
LF,24000.0,5.672469455366135,180.5705,180.587,22890.0,27437.0,Echolocation,Nyctalus leisleri,0.49,0.591,-1,192000.0,/mnt/ubna_data_04/recover-20241011/UBNA_004/20241006_023000.WAV,recover-20241011,UBNA_004,Carp Pond
LF,23040.0,5.806382387507951,210.5075,210.5245,22890.0,27222.0,Echolocation,Nyctalus leisleri,0.444,0.525,-1,192000.0,/mnt/ubna_data_04/recover-20241011/UBNA_004/20241006_023000.WAV,recover-20241011,UBNA_004,Carp Pond
LF,24000.0,6.239750172518134,243.0415,243.0565,23750.0,29875.0,Echolocation,Nyctalus leisleri,0.284,0.528,-1,192000.0,/mnt/ubna_data_04/recover-20241011/UBNA_004/20241006_023000.WAV,recover-20241011,UBNA_004,Carp Pond
LF,24000.0,5.100937837273579,270.5045,270.5178,23750.0,27930.0,Echolocation,Nyctalus leisleri,0.427,0.537,-1,192000.0,/mnt/ubna_data_04/recover-20241011/UBNA_004/20241006_023000.WAV,recover-20241011,UBNA_004,Carp Pond
LF,24000.0,8.582204117640519,21.3855,21.4017,23750.0,26661.0,Echolocation,Nyctalus leisleri,0.52,0.56,-1,192000.0,/mnt/ubna_data_04/recover-20241011/UBNA_004/20241006_025000.WAV,recover-20241011,UBNA_004,Carp Pond
LF,24000.0,15.354372453115632,30.0995,30.1159,22890.0,26390.0,Echolocation,Nyctalus leisleri,0.787,0.807,-1,192000.0,/mnt/ubna_data_04/recover-20241011/UBNA_004/20241006_025000.WAV,recover-20241011,UBNA_004,Carp Pond
LF,26880.0,7.951659368798985,212.4355,212.4499,26328.0,29297.0,Echolocation,Nyctalus leisleri,0.558,0.647,-1,192000.0,/mnt/ubna_data_04/recover-20241011/UBNA_004/20241006_025000.WAV,recover-20241011,UBNA_004,Carp Pond
LF,25920.0,10.07845680202216,296.2235,296.241,24609.0,27891.0,Echolocation,Nyctalus leisleri,0.521,0.608,-1,192000.0,/mnt/ubna_data_04/recover-20241011/UBNA_004/20241006_025000.WAV,recover-20241011,UBNA_004,Carp Pond
LF,24960.0,3.059248979757887,51.9825,51.9969,23750.0,28017.0,Echolocation,Nyctalus leisleri,0.501,0.582,-1,192000.0,/mnt/ubna_data_04/recover-20241011/UBNA_004/20241007_021000.WAV,recover-20241011,UBNA_004,Carp Pond
LF,24000.0,3.063610132037728,174.0285,174.0435,23750.0,28389.0,Echolocation,Nyctalus leisleri,0.484,0.602,-1,192000.0,/mnt/ubna_data_04/recover-20241011/UBNA_004/20241007_021000.WAV,recover-20241011,UBNA_004,Carp Pond
LF,24000.0,4.709015755340212,180.0325,180.0504,23750.0,27878.0,Echolocation,Nyctalus leisleri,0.449,0.552,-1,192000.0,/mnt/ubna_data_04/recover-20241011/UBNA_004/20241007_021000.WAV,recover-20241011,UBNA_004,Carp Pond
LF,22080.0,4.413176546332033,217.2145,217.2314,22031.0,26671.0,Echolocation,Nyctalus leisleri,0.361,0.519,-1,192000.0,/mnt/ubna_data_04/recover-20241011/UBNA_004/20241007_021000.WAV,recover-20241011,UBNA_004,Carp Pond
LF,24000.0,2.873005814705226,210.0505,210.0628,22890.0,29682.0,Echolocation,Eptesicus serotinus,0.222,0.605,-1,192000.0,/mnt/ubna_data_04/recover-20241011/UBNA_004/20241007_023000.WAV,recover-20241011,UBNA_004,Carp Pond
LF,26880.0,21.543947290079878,240.1305,240.1449,26328.0,35699.0,Echolocation,Eptesicus serotinus,0.414,0.66,-1,192000.0,/mnt/ubna_data_04/recover-20241011/UBNA_004/20241007_023000.WAV,recover-20241011,UBNA_004,Carp Pond
LF,24960.0,18.9520738526742,270.1665,270.1835,23750.0,29195.0,Echolocation,Nyctalus leisleri,0.384,0.591,-1,192000.0,/mnt/ubna_data_04/recover-20241011/UBNA_004/20241007_023000.WAV,recover-20241011,UBNA_004,Carp Pond
LF,26880.0,11.4554162451452,0.4125,0.4258,26328.0,32763.0,Echolocation,Nyctalus leisleri,0.286,0.586,-1,192000.0,/mnt/ubna_data_04/recover-20241011/UBNA_004/20241007_024000.WAV,recover-20241011,UBNA_004,Carp Pond
LF,27840.0,16.86286428787019,30.2075,30.2214,27187.0,36464.0,Echolocation,Eptesicus serotinus,0.395,0.607,-1,192000.0,/mnt/ubna_data_04/recover-20241011/UBNA_004/20241007_024000.WAV,recover-20241011,UBNA_004,Carp Pond
LF,26880.0,20.759957788980927,60.0325,60.0479,25468.0,30548.0,Echolocation,Nyctalus leisleri,0.38,0.553,-1,192000.0,/mnt/ubna_data_04/recover-20241011/UBNA_004/20241007_024000.WAV,recover-20241011,UBNA_004,Carp Pond
LF,26880.0,9.543352676303636,90.0805,90.0919,25468.0,33073.0,Echolocation,Eptesicus serotinus,0.281,0.556,-1,192000.0,/mnt/ubna_data_04/recover-20241011/UBNA_004/20241007_024000.WAV,recover-20241011,UBNA_004,Carp Pond
LF,25920.0,8.102499628560278,120.0525,120.0694,24609.0,28952.0,Echolocation,Nyctalus leisleri,0.456,0.579,-1,192000.0,/mnt/ubna_data_04/recover-20241011/UBNA_004/20241007_024000.WAV,recover-20241011,UBNA_004,Carp Pond
LF,26880.0,35.808201288156496,150.1235,150.1391,24609.0,31052.0,Echolocation,Nyctalus leisleri,0.379,0.589,-1,192000.0,/mnt/ubna_data_04/recover-20241011/UBNA_004/20241007_024000.WAV,recover-20241011,UBNA_004,Carp Pond
LF,25920.0,20.785548938028384,180.2765,180.2913,25468.0,34383.0,Echolocation,Eptesicus serotinus,0.381,0.573,-1,192000.0,/mnt/ubna_data_04/recover-20241011/UBNA_004/20241007_024000.WAV,recover-20241011,UBNA_004,Carp Pond
LF,25920.0,14.150275812434565,210.0715,210.0851,24609.0,30959.0,Echolocation,Nyctalus leisleri,0.343,0.651,-1,192000.0,/mnt/ubna_data_04/recover-20241011/UBNA_004/20241007_024000.WAV,recover-20241011,UBNA_004,Carp Pond
LF,23040.0,6.122914131556298,240.3745,240.392,22890.0,26111.0,Echolocation,Nyctalus leisleri,0.594,0.635,-1,192000.0,/mnt/ubna_data_04/recover-20241011/UBNA_004/20241007_024000.WAV,recover-20241011,UBNA_004,Carp Pond
LF,25920.0,19.631594481514632,270.1185,270.1332,24609.0,33551.0,Echolocation,Eptesicus serotinus,0.37,0.641,-1,192000.0,/mnt/ubna_data_04/recover-20241011/UBNA_004/20241007_024000.WAV,recover-20241011,UBNA_004,Carp Pond
LF,26880.0,23.691536141469403,0.0485,0.0626,26328.0,37005.0,Echolocation,Eptesicus serotinus,0.387,0.642,-1,192000.0,/mnt/ubna_data_04/recover-20241011/UBNA_004/20241007_025000.WAV,recover-20241011,UBNA_004,Carp Pond
LF,25920.0,5.84953880922242,30.1005,30.1144,25468.0,29773.0,Echolocation,Nyctalus leisleri,0.437,0.553,-1,192000.0,/mnt/ubna_data_04/recover-20241011/UBNA_004/20241007_025000.WAV,recover-20241011,UBNA_004,Carp Pond
LF,25920.0,9.234274232942477,180.2145,180.2291,24609.0,31543.0,Echolocation,Eptesicus serotinus,0.288,0.653,-1,192000.0,/mnt/ubna_data_04/recover-20241011/UBNA_004/20241007_023000.WAV,recover-20241011,UBNA_004,Carp Pond
LF,21120.0,10.09877515217661,120.1605,120.1804,20312.0,23380.0,Echolocation,Nyctalus leisleri,0.493,0.527,-1,192000.0,/mnt/ubna_data_04/recover-20241011/UBNA_004/20241006_001000.WAV,recover-20241011,UBNA_004,Carp Pond
LF,24960.0,6.90934102049119,161.1485,161.1618,23750.0,31314.0,Echolocation,Eptesicus serotinus,0.305,0.519,-1,192000.0,/mnt/ubna_data_04/recover-20241011/UBNA_004/20241007_023000.WAV,recover-20241011,UBNA_004,Carp Pond
LF,25920.0,6.3385369577803985,90.1145,90.1331,25468.0,29712.0,Echolocation,Nyctalus leisleri,0.25,0.512,-1,192000.0,/mnt/ubna_data_04/recover-20241011/UBNA_004/20241007_023000.WAV,recover-20241011,UBNA_004,Carp Pond
LF,24000.0,4.6641970839428115,240.3365,240.3519,22890.0,26963.0,Echolocation,Nyctalus leisleri,0.583,0.638,-1,192000.0,/mnt/ubna_data_04/recover-20241011/UBNA_004/20241007_021000.WAV,recover-20241011,UBNA_004,Carp Pond
