date_and_time_UTC,num_of_detections,HF2_num_of_detections,HF1_num_of_detections,LF1_num_of_detections
2023-08-24 03:00:00+00:00,75,74,1,1
2023-08-24 03:30:00+00:00,331,221,28,69
2023-08-24 04:00:00+00:00,10,10,1,1
2023-08-24 04:30:00+00:00,51,51,1,1
2023-08-24 05:00:00+00:00,50,50,1,1
2023-08-24 05:30:00+00:00,53,53,1,1
2023-08-24 06:00:00+00:00,1,1,1,1
2023-08-24 06:30:00+00:00,20,20,1,1
2023-08-24 07:00:00+00:00,1,1,1,1
2023-08-24 07:30:00+00:00,179,176,1,1
2023-08-24 08:00:00+00:00,65,64,1,1
2023-08-24 08:30:00+00:00,292,279,1,13
2023-08-24 09:00:00+00:00,109,109,1,1
2023-08-24 09:30:00+00:00,112,112,1,1
2023-08-24 10:00:00+00:00,91,91,1,1
2023-08-24 10:30:00+00:00,68,68,1,1
2023-08-24 11:00:00+00:00,1,1,1,1
2023-08-24 11:30:00+00:00,57,57,1,1
2023-08-24 12:00:00+00:00,25,25,1,1
2023-08-24 12:30:00+00:00,124,124,1,1
2023-08-24 13:00:00+00:00,1,1,1,1
2023-08-25 03:00:00+00:00,168,135,2,31
2023-08-25 03:30:00+00:00,678,339,236,82
2023-08-25 04:00:00+00:00,268,147,121,1
2023-08-25 04:30:00+00:00,68,66,1,2
2023-08-25 05:00:00+00:00,114,112,1,1
2023-08-25 05:30:00+00:00,144,139,5,1
2023-08-25 06:00:00+00:00,111,110,1,1
2023-08-25 06:30:00+00:00,54,54,1,1
2023-08-25 07:00:00+00:00,1,1,1,1
2023-08-25 07:30:00+00:00,76,75,1,1
2023-08-25 08:00:00+00:00,108,106,2,1
2023-08-25 08:30:00+00:00,133,97,36,1
2023-08-25 09:00:00+00:00,33,33,1,1
2023-08-25 09:30:00+00:00,26,26,1,1
2023-08-25 10:00:00+00:00,61,56,3,1
2023-08-25 10:30:00+00:00,81,79,2,1
2023-08-25 11:00:00+00:00,69,68,1,1
2023-08-25 11:30:00+00:00,112,110,2,1
2023-08-25 12:00:00+00:00,122,112,10,1
2023-08-25 12:30:00+00:00,93,93,1,1
2023-08-25 13:00:00+00:00,5,1,1,5
2023-08-26 03:00:00+00:00,451,410,4,37
2023-08-26 03:30:00+00:00,604,426,173,5
2023-08-26 04:00:00+00:00,66,66,1,1
2023-08-26 04:30:00+00:00,17,10,1,7
2023-08-26 05:00:00+00:00,1,1,1,1
2023-08-26 05:30:00+00:00,29,29,1,1
2023-08-26 06:00:00+00:00,32,13,19,1
2023-08-26 06:30:00+00:00,30,30,1,1
2023-08-26 07:00:00+00:00,9,7,1,2
2023-08-26 07:30:00+00:00,1,1,1,1
2023-08-26 08:00:00+00:00,71,62,1,8
2023-08-26 08:30:00+00:00,6,5,1,1
2023-08-26 09:00:00+00:00,1,1,1,1
2023-08-26 09:30:00+00:00,22,22,1,1
2023-08-26 10:00:00+00:00,1,1,1,1
2023-08-26 10:30:00+00:00,22,14,1,1
2023-08-26 11:00:00+00:00,73,72,1,1
2023-08-26 11:30:00+00:00,23,23,1,1
2023-08-26 12:00:00+00:00,217,215,1,1
2023-08-26 12:30:00+00:00,63,63,1,1
2023-08-26 13:00:00+00:00,1,1,1,1
2023-08-27 03:00:00+00:00,137,101,1,36
2023-08-27 03:30:00+00:00,580,489,89,1
2023-08-27 04:00:00+00:00,116,116,1,1
2023-08-27 04:30:00+00:00,24,24,1,1
2023-08-27 05:00:00+00:00,7,7,1,1
2023-08-27 05:30:00+00:00,35,35,1,1
2023-08-27 06:00:00+00:00,41,39,2,1
2023-08-27 06:30:00+00:00,18,18,1,1
2023-08-27 07:00:00+00:00,2,2,1,1
2023-08-27 07:30:00+00:00,26,25,1,1
2023-08-27 08:00:00+00:00,30,29,1,1
2023-08-27 08:30:00+00:00,27,27,1,1
2023-08-27 09:00:00+00:00,1,1,1,1
2023-08-27 09:30:00+00:00,8,8,1,1
2023-08-27 10:00:00+00:00,2,2,1,1
2023-08-27 10:30:00+00:00,1,1,1,1
2023-08-27 11:00:00+00:00,29,29,1,1
2023-08-27 11:30:00+00:00,161,161,1,1
2023-08-27 12:00:00+00:00,70,70,1,1
2023-08-27 12:30:00+00:00,111,110,1,1
2023-08-27 13:00:00+00:00,1,1,1,1
2023-08-28 03:00:00+00:00,695,688,2,5
2023-08-28 03:30:00+00:00,316,209,53,53
2023-08-28 04:00:00+00:00,39,20,15,4
2023-08-28 04:30:00+00:00,1,1,1,1
2023-08-28 05:00:00+00:00,76,60,1,16
2023-08-28 05:30:00+00:00,87,87,1,1
2023-08-28 06:00:00+00:00,265,260,2,3
2023-08-28 06:30:00+00:00,224,200,24,1
2023-08-28 07:00:00+00:00,768,492,275,1
2023-08-28 07:30:00+00:00,708,648,60,1
2023-08-28 08:00:00+00:00,272,212,58,2
2023-08-28 08:30:00+00:00,839,575,257,7
2023-08-28 09:00:00+00:00,791,699,92,1
2023-08-28 09:30:00+00:00,832,520,311,1
2023-08-28 10:00:00+00:00,528,352,176,1
2023-08-28 10:30:00+00:00,259,197,59,2
2023-08-28 11:00:00+00:00,419,418,1,1
2023-08-28 11:30:00+00:00,249,214,1,34
2023-08-28 12:00:00+00:00,29,29,1,1
2023-08-28 12:30:00+00:00,100,100,1,1
2023-08-28 13:00:00+00:00,1,1,1,1
2023-08-29 03:00:00+00:00,808,700,80,28
2023-08-29 03:30:00+00:00,842,716,126,1
2023-08-29 04:00:00+00:00,265,251,12,2
2023-08-29 04:30:00+00:00,172,117,55,1
