,07/06/23,07/07/23,07/08/23,07/09/23,07/10/23,07/11/23
03:00,1,1,1,1,1,1
03:30,1,1,1,1,1,1
04:00,1,1,1,1,1,1
04:30,1,1,36,158,70,103
05:00,375,447,242,439,207,213
05:30,103,243,339,170,233,679
06:00,40,294,463,56,331,343
06:30,104,461,636,60,233,581
07:00,46,678,286,132,271,324
07:30,104,247,325,24,326,86
08:00,30,224,63,9,238,111
08:30,33,351,333,74,234,143
09:00,35,46,177,23,263,82
09:30,21,120,171,53,193,154
10:00,11,133,321,2,283,396
10:30,41,63,212,1,404,384
11:00,93,1,240,39,104,129
11:30,1,1,1,1,43,1
12:00,1,1,1,1,1,1
12:30,1,1,1,1,1,1
13:00,1,1,1,1,1,1
