,07/18/23,07/19/23,07/20/23,07/21/23,07/22/23,07/23/23,07/24/23,07/25/23
03:06,1,1,1,1,1,1,1,1
03:36,1,1,1,1,1,1,1,1
04:06,1,1,1,1,1,1,1,1
04:36,388,175,43,74,64,89,371,701
05:06,143,32,354,244,504,88,143,1082
05:36,247,137,232,401,59,151,77,73
06:06,4,222,62,188,56,200,60,191
06:36,169,88,45,175,104,68,117,28
07:06,42,136,118,51,16,41,222,154
07:36,63,21,11,29,31,87,135,109
08:06,2,46,67,141,61,6,19,73
08:36,45,54,25,76,1,24,54,65
09:06,13,1,182,166,22,1,74,308
09:36,52,107,19,131,138,89,137,79
10:06,1,11,144,199,36,47,86,102
10:36,58,12,6,46,11,57,65,53
11:06,40,8,44,56,18,24,97,446
11:36,5,55,68,30,53,1,98,42
12:06,1,1,1,1,1,1,1,1
12:36,1,1,1,1,1,1,1,1
13:06,1,1,1,1,1,1,1,1
