date_and_time_UTC,num_of_detections,HF2_num_of_detections,HF1_num_of_detections,LF1_num_of_detections
2023-10-09 10:15:00+00:00,1,1,1,1
2023-10-09 10:45:00+00:00,17,17,1,1
2023-10-09 11:15:00+00:00,1,1,1,1
2023-10-09 11:45:00+00:00,37,1,1,37
2023-10-09 12:15:00+00:00,27,1,1,27
2023-10-09 12:45:00+00:00,37,35,2,1
2023-10-09 13:15:00+00:00,1,1,1,1
2023-10-09 13:45:00+00:00,1,1,1,1
2023-10-09 14:15:00+00:00,1,1,1,1
2023-10-10 01:15:00+00:00,1,1,1,1
2023-10-10 01:45:00+00:00,1,1,1,1
2023-10-10 02:15:00+00:00,60,60,1,1
2023-10-10 02:45:00+00:00,1,1,1,1
2023-10-10 03:15:00+00:00,15,15,1,1
2023-10-10 03:45:00+00:00,25,25,1,1
2023-10-10 04:15:00+00:00,1,1,1,1
2023-10-10 04:45:00+00:00,1,1,1,1
2023-10-10 05:15:00+00:00,1,1,1,1
2023-10-10 05:45:00+00:00,1,1,1,1
2023-10-10 06:15:00+00:00,1,1,1,1
2023-10-10 06:45:00+00:00,1,1,1,1
2023-10-10 07:15:00+00:00,1,1,1,1
2023-10-10 07:45:00+00:00,5,5,1,1
2023-10-10 08:15:00+00:00,21,21,1,1
2023-10-10 08:45:00+00:00,1,1,1,1
2023-10-10 09:15:00+00:00,1,1,1,1
2023-10-10 09:45:00+00:00,1,1,1,1
2023-10-10 10:15:00+00:00,1,1,1,1
2023-10-10 10:45:00+00:00,1,1,1,1
2023-10-10 11:15:00+00:00,17,17,1,1
2023-10-10 11:45:00+00:00,26,25,1,1
2023-10-10 12:15:00+00:00,1,1,1,1
2023-10-10 12:45:00+00:00,1,1,1,1
2023-10-10 13:15:00+00:00,1,1,1,1
2023-10-10 13:45:00+00:00,1,1,1,1
2023-10-10 14:15:00+00:00,1,1,1,1
2023-10-11 01:15:00+00:00,1,1,1,1
2023-10-11 01:45:00+00:00,83,1,1,83
2023-10-11 02:15:00+00:00,23,5,1,18
2023-10-11 02:45:00+00:00,29,29,1,1
2023-10-11 03:15:00+00:00,1,1,1,1
2023-10-11 03:45:00+00:00,1,1,1,1
2023-10-11 04:15:00+00:00,1,1,1,1
2023-10-11 04:45:00+00:00,1,1,1,1
2023-10-11 05:15:00+00:00,7,7,1,1
2023-10-11 05:45:00+00:00,1,1,1,1
2023-10-11 06:15:00+00:00,1,1,1,1
2023-10-11 06:45:00+00:00,1,1,1,1
2023-10-11 07:15:00+00:00,31,30,1,1
2023-10-11 07:45:00+00:00,11,11,1,1
2023-10-11 08:15:00+00:00,1,1,1,1
2023-10-11 08:45:00+00:00,1,1,1,1
2023-10-11 09:15:00+00:00,9,9,1,1
2023-10-11 09:45:00+00:00,1,1,1,1
2023-10-11 10:15:00+00:00,1,1,1,1
2023-10-11 10:45:00+00:00,1,1,1,1
2023-10-11 11:15:00+00:00,1,1,1,1
2023-10-11 11:45:00+00:00,1,1,1,1
2023-10-11 12:15:00+00:00,1,1,1,1
2023-10-11 12:45:00+00:00,1,1,1,1
2023-10-11 13:15:00+00:00,1,1,1,1
2023-10-11 13:45:00+00:00,1,1,1,1
