,start_time,end_time,low_freq,high_freq,detection_confidence,event,input_file,Collide
0,1107.9825,1107.9974,24609.0,28729.0,0.637,Echolocation,20221017_030000.WAV,
0,1110.0765,1110.0948,25468.0,29487.0,0.503,Echolocation,20221017_030000.WAV,
1,1110.3665,1110.379,25468.0,30103.0,0.545,Echolocation,20221017_030000.WAV,
2,1110.8085,1110.8241,24609.0,27792.0,0.66,Echolocation,20221017_030000.WAV,
3,1111.2395,1111.2522,25468.0,30232.0,0.675,Echolocation,20221017_030000.WAV,
4,1111.5165,1111.5333,25468.0,30267.0,0.53,Echolocation,20221017_030000.WAV,
5,1111.8345,1111.8489,24609.0,28563.0,0.65,Echolocation,20221017_030000.WAV,
6,1112.6005,1112.6179,24609.0,28185.0,0.613,Echolocation,20221017_030000.WAV,
7,1113.0445,1113.0591,25468.0,29032.0,0.625,Echolocation,20221017_030000.WAV,
8,1113.7745,1113.7918,25468.0,29600.0,0.524,Echolocation,20221017_030000.WAV,
9,1114.3985,1114.4173,25468.0,30711.0,0.518,Echolocation,20221017_030000.WAV,
10,1114.6945,1114.7105,24609.0,29738.0,0.648,Echolocation,20221017_030000.WAV,
11,1115.1335,1115.1493,25468.0,29454.0,0.532,Echolocation,20221017_030000.WAV,
12,1115.5715,1115.5874,24609.0,27642.0,0.737,Echolocation,20221017_030000.WAV,
13,1116.5945,1116.6122,24609.0,27726.0,0.6,Echolocation,20221017_030000.WAV,
14,1116.7685,1116.7858,26328.0,32443.0,0.505,Echolocation,20221017_030000.WAV,
15,1118.5065,1118.5219,24609.0,30637.0,0.594,Echolocation,20221017_030000.WAV,
16,1118.9635,1118.9787,24609.0,28277.0,0.676,Echolocation,20221017_030000.WAV,
17,1119.5545,1119.5711,25468.0,29794.0,0.542,Echolocation,20221017_030000.WAV,
18,1124.2965,1124.3135,23750.0,28650.0,0.673,Echolocation,20221017_030000.WAV,
19,1125.3045,1125.3217,23750.0,28337.0,0.597,Echolocation,20221017_030000.WAV,
20,1125.4605,1125.4746,26328.0,31751.0,0.612,Echolocation,20221017_030000.WAV,
21,1126.1225,1126.1345,25468.0,31185.0,0.666,Echolocation,20221017_030000.WAV,
22,1126.4605,1126.4773,23750.0,27742.0,0.645,Echolocation,20221017_030000.WAV,
23,1127.1805,1127.1964,23750.0,26878.0,0.693,Echolocation,20221017_030000.WAV,
24,1128.0445,1128.0653,22890.0,26033.0,0.694,Echolocation,20221017_030000.WAV,
25,1128.5125,1128.5282,24609.0,28363.0,0.657,Echolocation,20221017_030000.WAV,
26,1130.4375,1130.4565,22890.0,27070.0,0.547,Echolocation,20221017_030000.WAV,
27,1132.4125,1132.4306,23750.0,27753.0,0.503,Echolocation,20221017_030000.WAV,
0,365.3015,365.3104,28046.0,36109.0,0.668,Echolocation,20221017_033000.WAV,
1,365.4405,365.4498,27187.0,38696.0,0.665,Echolocation,20221017_033000.WAV,
2,365.7075,365.7169,27187.0,37740.0,0.706,Echolocation,20221017_033000.WAV,
3,365.9055,365.9147,27187.0,36190.0,0.661,Echolocation,20221017_033000.WAV,
4,366.0695,366.08,27187.0,34798.0,0.621,Echolocation,20221017_033000.WAV,
5,366.2095,366.2201,26328.0,38012.0,0.663,Echolocation,20221017_033000.WAV,
6,366.3385,366.3498,27187.0,40101.0,0.661,Echolocation,20221017_033000.WAV,
7,366.4965,366.5068,26328.0,37884.0,0.673,Echolocation,20221017_033000.WAV,
8,366.6385,366.6491,27187.0,34190.0,0.62,Echolocation,20221017_033000.WAV,
9,366.7695,366.7809,26328.0,34289.0,0.511,Echolocation,20221017_033000.WAV,
10,366.8975,366.9091,26328.0,34989.0,0.674,Echolocation,20221017_033000.WAV,
11,367.0345,367.0449,26328.0,35183.0,0.658,Echolocation,20221017_033000.WAV,
12,367.1745,367.184,26328.0,34403.0,0.688,Echolocation,20221017_033000.WAV,
13,367.4325,367.444,26328.0,35479.0,0.662,Echolocation,20221017_033000.WAV,
14,367.5705,367.5824,26328.0,37108.0,0.662,Echolocation,20221017_033000.WAV,
15,367.7205,367.7339,25468.0,34899.0,0.619,Echolocation,20221017_033000.WAV,
16,367.9895,368.0011,26328.0,38649.0,0.619,Echolocation,20221017_033000.WAV,
17,368.1515,368.1651,25468.0,38978.0,0.648,Echolocation,20221017_033000.WAV,
18,368.2925,368.3089,24609.0,36513.0,0.616,Echolocation,20221017_033000.WAV,
19,368.4485,368.465,23750.0,34667.0,0.59,Echolocation,20221017_033000.WAV,
20,368.7345,368.7497,24609.0,35974.0,0.629,Echolocation,20221017_033000.WAV,
21,368.8955,368.9093,25468.0,35799.0,0.543,Echolocation,20221017_033000.WAV,
22,369.0585,369.0733,25468.0,36895.0,0.542,Echolocation,20221017_033000.WAV,
23,369.3225,369.3368,24609.0,37285.0,0.621,Echolocation,20221017_033000.WAV,
24,369.5795,369.5952,24609.0,34849.0,0.608,Echolocation,20221017_033000.WAV,
25,369.8645,369.8778,23750.0,38136.0,0.648,Echolocation,20221017_033000.WAV,
26,370.0365,370.0516,25468.0,37084.0,0.581,Echolocation,20221017_033000.WAV,
27,370.3245,370.3395,24609.0,35978.0,0.645,Echolocation,20221017_033000.WAV,
28,370.5265,370.5419,24609.0,37326.0,0.678,Echolocation,20221017_033000.WAV,
29,370.7665,370.7815,24609.0,31271.0,0.674,Echolocation,20221017_033000.WAV,
30,371.4655,371.4793,24609.0,31449.0,0.552,Echolocation,20221017_033000.WAV,
31,371.7125,371.7295,23750.0,35457.0,0.51,Echolocation,20221017_033000.WAV,
32,372.1435,372.1593,23750.0,33826.0,0.528,Echolocation,20221017_033000.WAV,
33,372.5615,372.5788,24609.0,30588.0,0.557,Echolocation,20221017_033000.WAV,
34,372.8575,372.8722,24609.0,31988.0,0.527,Echolocation,20221017_033000.WAV,
0,776.3985,776.4139,26328.0,30979.0,0.569,Echolocation,20221017_040000.WAV,
1,776.5985000000001,776.615,26328.0,33314.0,0.567,Echolocation,20221017_040000.WAV,
2,776.8525,776.8681,26328.0,31685.0,0.633,Echolocation,20221017_040000.WAV,
3,777.0885,777.1054,26328.0,28837.0,0.593,Echolocation,20221017_040000.WAV,
4,777.4405,777.4561,26328.0,29681.0,0.653,Echolocation,20221017_040000.WAV,
5,777.8015,777.815,25468.0,30658.0,0.659,Echolocation,20221017_040000.WAV,
6,778.1475,778.1662,25468.0,29388.0,0.545,Echolocation,20221017_040000.WAV,
7,778.5185,778.533,25468.0,30798.0,0.66,Echolocation,20221017_040000.WAV,
8,778.7705,778.7894,25468.0,29849.0,0.571,Echolocation,20221017_040000.WAV,
9,779.4855,779.5022,26328.0,28902.0,0.511,Echolocation,20221017_040000.WAV,
10,779.7205,779.736,25468.0,32573.0,0.552,Echolocation,20221017_040000.WAV,
0,1133.1825,1133.1986,27187.0,31142.0,0.508,Echolocation,20221017_050000.WAV,
1,1134.6545,1134.6727,27187.0,30236.0,0.586,Echolocation,20221017_050000.WAV,
2,1136.0205,1136.0373,27187.0,29630.0,0.59,Echolocation,20221017_050000.WAV,
