,start_time,end_time,low_freq,high_freq,detection_confidence,event,input_file,Collide
0,7.0565,7.0764,22890.0,25882.0,0.557,Echolocation,20220826_040000.WAV,
1,7.3185,7.3264,37500.0,44124.0,0.514,Echolocation,20220826_040000.WAV,
2,7.5125,7.5198,38359.0,47752.0,0.542,Echolocation,20220826_040000.WAV,
3,7.8125,7.8314,22890.0,27005.0,0.543,Echolocation,20220826_040000.WAV,
4,7.9645,7.9724,38359.0,45520.0,0.508,Echolocation,20220826_040000.WAV,
5,8.0605,8.0761,23750.0,27701.0,0.616,Echolocation,20220826_040000.WAV,
6,8.1565,8.1644,38359.0,51324.0,0.662,Echolocation,20220826_040000.WAV,
7,8.2475,8.2556,38359.0,49729.0,0.611,Echolocation,20220826_040000.WAV,
8,8.3495,8.3581,37500.0,46922.0,0.605,Echolocation,20220826_040000.WAV,
9,8.4505,8.4582,38359.0,47139.0,0.625,Echolocation,20220826_040000.WAV,
10,8.5485,8.5572,38359.0,46086.0,0.601,Echolocation,20220826_040000.WAV,
11,8.5985,8.6152,22031.0,26050.0,0.701,Echolocation,20220826_040000.WAV,
12,8.6465,8.6546,36640.0,48083.0,0.694,Echolocation,20220826_040000.WAV,
13,8.7445,8.754,36640.0,49299.0,0.641,Echolocation,20220826_040000.WAV,
14,8.8425,8.8509,36640.0,52904.0,0.647,Echolocation,20220826_040000.WAV,
15,8.9345,8.9429,37500.0,46897.0,0.622,Echolocation,20220826_040000.WAV,
16,9.0305,9.039,36640.0,52646.0,0.695,Echolocation,20220826_040000.WAV,
17,9.1225,9.139,22890.0,27135.0,0.582,Echolocation,20220826_040000.WAV,
18,9.1285,9.1365,37500.0,47044.0,0.604,Echolocation,20220826_040000.WAV,
19,9.2285,9.2377,37500.0,54093.0,0.614,Echolocation,20220826_040000.WAV,
20,9.3345,9.3423,37500.0,45890.0,0.689,Echolocation,20220826_040000.WAV,
21,9.4455,9.4553,36640.0,51816.0,0.687,Echolocation,20220826_040000.WAV,
22,9.5515,9.5606,36640.0,52632.0,0.658,Echolocation,20220826_040000.WAV,
23,9.6545,9.6657,35781.0,54417.0,0.616,Echolocation,20220826_040000.WAV,
24,9.7545,9.7631,36640.0,53663.0,0.637,Echolocation,20220826_040000.WAV,
25,9.8595,9.8705,36640.0,56510.0,0.604,Echolocation,20220826_040000.WAV,
26,9.9625,9.9714,35781.0,57216.0,0.612,Echolocation,20220826_040000.WAV,
27,10.0625,10.0697,37500.0,55640.0,0.571,Echolocation,20220826_040000.WAV,
28,10.1585,10.1684,36640.0,60286.0,0.579,Echolocation,20220826_040000.WAV,
29,10.2175,10.2243,37500.0,57079.0,0.548,Echolocation,20220826_040000.WAV,
30,10.2675,10.273,36640.0,55245.0,0.502,Echolocation,20220826_040000.WAV,
31,11.0615,11.068,37500.0,51177.0,0.532,Echolocation,20220826_040000.WAV,
32,11.1935,11.2024,34921.0,54426.0,0.586,Echolocation,20220826_040000.WAV,
33,11.2795,11.2898,34921.0,56391.0,0.623,Echolocation,20220826_040000.WAV,
34,11.8155,11.8234,35781.0,54865.0,0.536,Echolocation,20220826_040000.WAV,
35,12.0025,12.0097,36640.0,47020.0,0.522,Echolocation,20220826_040000.WAV,
36,12.0785,12.0856,35781.0,55409.0,0.56,Echolocation,20220826_040000.WAV,
37,12.1525,12.1594,35781.0,55650.0,0.525,Echolocation,20220826_040000.WAV,
38,12.2945,12.3036,35781.0,47005.0,0.546,Echolocation,20220826_040000.WAV,
0,34.2385,34.2504,28046.0,34395.0,0.501,Echolocation,20220826_040000.WAV,
1,34.6085,34.6195,28046.0,37684.0,0.575,Echolocation,20220826_040000.WAV,
2,34.7305,34.7435,28906.0,36794.0,0.525,Echolocation,20220826_040000.WAV,
3,34.8445,34.8553,28906.0,37752.0,0.562,Echolocation,20220826_040000.WAV,
4,34.9495,34.9608,27187.0,36783.0,0.622,Echolocation,20220826_040000.WAV,
5,35.0625,35.0757,27187.0,42426.0,0.64,Echolocation,20220826_040000.WAV,
6,35.1825,35.1932,27187.0,46999.0,0.689,Echolocation,20220826_040000.WAV,
7,35.3135,35.3232,28046.0,42807.0,0.652,Echolocation,20220826_040000.WAV,
8,35.4425,35.4537,28046.0,44733.0,0.654,Echolocation,20220826_040000.WAV,
9,35.5735,35.5845,27187.0,44959.0,0.599,Echolocation,20220826_040000.WAV,
10,35.8145,35.8249,28046.0,41520.0,0.594,Echolocation,20220826_040000.WAV,
11,35.9435,35.9564,28046.0,44929.0,0.594,Echolocation,20220826_040000.WAV,
12,36.0625,36.074,27187.0,40456.0,0.598,Echolocation,20220826_040000.WAV,
13,36.1715,36.1823,28906.0,43532.0,0.568,Echolocation,20220826_040000.WAV,
14,36.292500000000004,36.3046,27187.0,43175.0,0.631,Echolocation,20220826_040000.WAV,
15,36.4065,36.4169,27187.0,39705.0,0.586,Echolocation,20220826_040000.WAV,
16,36.5375,36.5484,27187.0,43180.0,0.706,Echolocation,20220826_040000.WAV,
17,36.6705,36.6806,28046.0,39188.0,0.623,Echolocation,20220826_040000.WAV,
18,36.8875,36.8986,28046.0,35981.0,0.583,Echolocation,20220826_040000.WAV,
19,37.2355,37.2461,28046.0,33637.0,0.586,Echolocation,20220826_040000.WAV,
0,73.0855,73.0932,37500.0,47416.0,0.589,Echolocation,20220826_040000.WAV,
1,73.35849999999999,73.366,36640.0,43142.0,0.504,Echolocation,20220826_040000.WAV,
2,73.5725,73.5823,36640.0,44760.0,0.599,Echolocation,20220826_040000.WAV,
0,147.4525,147.4675,24609.0,28603.0,0.582,Echolocation,20220826_040000.WAV,
0,150.8735,150.8874,24609.0,31627.0,0.659,Echolocation,20220826_040000.WAV,
1,151.4795,151.4958,24609.0,30460.0,0.588,Echolocation,20220826_040000.WAV,
2,152.2525,152.2662,25468.0,31721.0,0.515,Echolocation,20220826_040000.WAV,
3,165.6275,165.6411,24609.0,29585.0,0.541,Echolocation,20220826_040000.WAV,
4,166.5205,166.5291,37500.0,44114.0,0.567,Echolocation,20220826_040000.WAV,
5,166.7095,166.7174,37500.0,47959.0,0.619,Echolocation,20220826_040000.WAV,
6,166.8015,166.8154,23750.0,29191.0,0.558,Echolocation,20220826_040000.WAV,
7,166.8085,166.8161,37500.0,44231.0,0.537,Echolocation,20220826_040000.WAV,
8,166.9065,166.9154,37500.0,49543.0,0.623,Echolocation,20220826_040000.WAV,
9,167.0045,167.012,37500.0,47079.0,0.622,Echolocation,20220826_040000.WAV,
10,167.0935,167.1019,37500.0,44850.0,0.519,Echolocation,20220826_040000.WAV,
11,167.1895,167.1975,37500.0,49114.0,0.657,Echolocation,20220826_040000.WAV,
12,167.35750000000002,167.3745,23750.0,28181.0,0.517,Echolocation,20220826_040000.WAV,
13,167.55349999999999,167.5614,35781.0,51538.0,0.582,Echolocation,20220826_040000.WAV,
14,167.6365,167.6433,37500.0,51248.0,0.651,Echolocation,20220826_040000.WAV,
15,167.7245,167.732,37500.0,55221.0,0.688,Echolocation,20220826_040000.WAV,
16,167.8135,167.8201,37500.0,47019.0,0.588,Echolocation,20220826_040000.WAV,
17,167.9055,167.913,38359.0,47323.0,0.562,Echolocation,20220826_040000.WAV,
18,168.0845,168.0934,36640.0,51955.0,0.524,Echolocation,20220826_040000.WAV,
