start_time,end_time,low_freq,high_freq,event,detection_confidence,input_file
42.5905,42.605199999999996,23750.0,28903.0,Echolocation,0.507,20220914_030000.WAV
42.676500000000004,42.691900000000004,23750.0,31380.0,Echolocation,0.603,20220914_030000.WAV
42.9445,42.9597,24609.0,32706.0,Echolocation,0.622,20220914_030000.WAV
42.9875,43.0017,23750.0,29495.0,Echolocation,0.556,20220914_030000.WAV
43.0955,43.1096,25468.0,31549.0,Echolocation,0.623,20220914_030000.WAV
43.2415,43.2555,23750.0,28994.0,Echolocation,0.65,20220914_030000.WAV
43.3565,43.372,25468.0,30218.0,Echolocation,0.612,20220914_030000.WAV
43.6215,43.6369,24609.0,30293.0,Echolocation,0.599,20220914_030000.WAV
43.8905,43.9081,23750.0,29884.0,Echolocation,0.56,20220914_030000.WAV
43.9275,43.9434,23750.0,30016.0,Echolocation,0.537,20220914_030000.WAV
44.1505,44.1648,24609.0,29080.0,Echolocation,0.522,20220914_030000.WAV
44.2325,44.2491,22890.0,28051.0,Echolocation,0.623,20220914_030000.WAV
44.3975,44.4116,24609.0,31117.0,Echolocation,0.658,20220914_030000.WAV
44.5155,44.531,23750.0,27738.0,Echolocation,0.651,20220914_030000.WAV
44.5585,44.571799999999996,25468.0,31891.0,Echolocation,0.525,20220914_030000.WAV
45.0665,45.082499999999996,23750.0,30957.0,Echolocation,0.566,20220914_030000.WAV
45.2315,45.2477,23750.0,26184.0,Echolocation,0.749,20220914_030000.WAV
46.042500000000004,46.0614,22890.0,27412.0,Echolocation,0.534,20220914_030000.WAV
46.1505,46.1614,24609.0,30278.0,Echolocation,0.536,20220914_030000.WAV
46.307500000000005,46.3232,23750.0,29745.0,Echolocation,0.569,20220914_030000.WAV
46.5535,46.5653,24609.0,30277.0,Echolocation,0.523,20220914_030000.WAV
46.5775,46.592600000000004,23750.0,28590.0,Echolocation,0.549,20220914_030000.WAV
46.8895,46.9009,23750.0,30180.0,Echolocation,0.558,20220914_030000.WAV
47.0785,47.091300000000004,23750.0,33360.0,Echolocation,0.653,20220914_030000.WAV
47.6235,47.637100000000004,23750.0,32438.0,Echolocation,0.569,20220914_030000.WAV
48.1545,48.1717,22890.0,27239.0,Echolocation,0.575,20220914_030000.WAV
48.9685,48.9818,23750.0,31466.0,Echolocation,0.617,20220914_030000.WAV
50.4735,50.4855,23750.0,29162.0,Echolocation,0.501,20220914_030000.WAV
52.308499999999995,52.3213,23750.0,29487.0,Echolocation,0.653,20220914_030000.WAV
54.7295,54.743700000000004,22890.0,27994.0,Echolocation,0.568,20220914_030000.WAV
55.2745,55.2905,22890.0,28648.0,Echolocation,0.553,20220914_030000.WAV
55.552499999999995,55.5697,22031.0,28578.0,Echolocation,0.512,20220914_030000.WAV
56.1285,56.1449,22031.0,27796.0,Echolocation,0.531,20220914_030000.WAV
56.4055,56.4191,22890.0,28450.0,Echolocation,0.577,20220914_030000.WAV
56.9585,56.9737,22890.0,27247.0,Echolocation,0.616,20220914_030000.WAV
57.7255,57.738299999999995,22890.0,28962.0,Echolocation,0.595,20220914_030000.WAV
57.9845,57.9992,22890.0,30375.0,Echolocation,0.547,20220914_030000.WAV
58.1395,58.1556,22890.0,27702.0,Echolocation,0.602,20220914_030000.WAV
58.4095,58.4269,22031.0,29023.0,Echolocation,0.504,20220914_030000.WAV
60.1465,60.1594,23750.0,30549.0,Echolocation,0.557,20220914_030000.WAV
60.2895,60.3069,22890.0,31951.0,Echolocation,0.557,20220914_030000.WAV
60.4385,60.452,23750.0,32550.0,Echolocation,0.601,20220914_030000.WAV
60.5705,60.5814,24609.0,33865.0,Echolocation,0.581,20220914_030000.WAV
60.6955,60.7084,24609.0,36519.0,Echolocation,0.554,20220914_030000.WAV
60.8405,60.8533,24609.0,35051.0,Echolocation,0.589,20220914_030000.WAV
61.1325,61.1485,22890.0,35257.0,Echolocation,0.598,20220914_030000.WAV
61.3615,61.3793,22890.0,32286.0,Echolocation,0.561,20220914_030000.WAV
62.5435,62.5677,22031.0,29521.0,Echolocation,0.553,20220914_030000.WAV
63.3475,63.3614,23750.0,29617.0,Echolocation,0.583,20220914_030000.WAV
63.5105,63.5231,22890.0,29650.0,Echolocation,0.567,20220914_030000.WAV
64.4345,64.4542,22031.0,30080.0,Echolocation,0.556,20220914_030000.WAV
66.4425,66.4558,24609.0,34401.0,Echolocation,0.522,20220914_030000.WAV
67.2985,67.3148,23750.0,32521.0,Echolocation,0.557,20220914_030000.WAV
68.0665,68.0836,23750.0,31312.0,Echolocation,0.513,20220914_030000.WAV
68.9065,68.9289,22031.0,28412.0,Echolocation,0.509,20220914_030000.WAV
71.2255,71.2442,22031.0,31005.0,Echolocation,0.564,20220914_030000.WAV
71.4225,71.4351,22890.0,31446.0,Echolocation,0.598,20220914_030000.WAV
71.5995,71.611,22890.0,32197.0,Echolocation,0.631,20220914_030000.WAV
71.7555,71.7666,23750.0,31243.0,Echolocation,0.577,20220914_030000.WAV
72.5285,72.5446,22890.0,32642.0,Echolocation,0.583,20220914_030000.WAV
72.6715,72.6885,23750.0,35655.0,Echolocation,0.504,20220914_030000.WAV
73.1335,73.1503,22890.0,31963.0,Echolocation,0.514,20220914_030000.WAV
73.5715,73.5899,22890.0,32866.0,Echolocation,0.551,20220914_030000.WAV
74.2165,74.2376,21171.0,26698.0,Echolocation,0.503,20220914_030000.WAV
74.6685,74.6821,23750.0,29368.0,Echolocation,0.61,20220914_030000.WAV
74.89150000000001,74.9102,22031.0,27521.0,Echolocation,0.602,20220914_030000.WAV
75.4465,75.46340000000001,22031.0,26735.0,Echolocation,0.571,20220914_030000.WAV
75.6605,75.6812,22031.0,26811.0,Echolocation,0.507,20220914_030000.WAV
75.8265,75.8395,22890.0,31152.0,Echolocation,0.653,20220914_030000.WAV
76.0585,76.0688,23750.0,33269.0,Echolocation,0.581,20220914_030000.WAV
76.1755,76.1857,23750.0,32592.0,Echolocation,0.605,20220914_030000.WAV
76.2685,76.2778,23750.0,32847.0,Echolocation,0.582,20220914_030000.WAV
76.4405,76.4481,22890.0,32565.0,Echolocation,0.504,20220914_030000.WAV
77.1375,77.1507,23750.0,34705.0,Echolocation,0.665,20220914_030000.WAV
77.27850000000001,77.2918,23750.0,34093.0,Echolocation,0.629,20220914_030000.WAV
77.4445,77.4609,22890.0,34321.0,Echolocation,0.6,20220914_030000.WAV
77.5795,77.59649999999999,22890.0,37454.0,Echolocation,0.681,20220914_030000.WAV
77.7115,77.7315,22031.0,36654.0,Echolocation,0.696,20220914_030000.WAV
77.9445,77.967,22031.0,34535.0,Echolocation,0.514,20220914_030000.WAV
78.0895,78.11189999999999,22890.0,36230.0,Echolocation,0.632,20220914_030000.WAV
78.2295,78.2466,22890.0,39444.0,Echolocation,0.747,20220914_030000.WAV
78.36449999999999,78.3775,23750.0,39524.0,Echolocation,0.679,20220914_030000.WAV
78.4885,78.50540000000001,22890.0,39994.0,Echolocation,0.711,20220914_030000.WAV
78.6005,78.6113,22890.0,41191.0,Echolocation,0.692,20220914_030000.WAV
78.7015,78.7094,22890.0,43286.0,Echolocation,0.704,20220914_030000.WAV
78.7925,78.79820000000001,22890.0,43546.0,Echolocation,0.616,20220914_030000.WAV
