start_time,end_time,low_freq,high_freq,detection_confidence,event,input_file,Collide
566.2185,566.235,25468.0,29847.0,0.606,Echolocation,20220826_033000.WAV,
566.8605,566.8737,25468.0,31103.0,0.641,Echolocation,20220826_033000.WAV,
567.1025,567.1171,26328.0,30373.0,0.582,Echolocation,20220826_033000.WAV,
567.9165,567.9298,25468.0,30572.0,0.504,Echolocation,20220826_033000.WAV,
568.4125,568.4268,25468.0,29356.0,0.505,Echolocation,20220826_033000.WAV,
569.0405,569.0576,25468.0,30975.0,0.581,Echolocation,20220826_033000.WAV,
620.4014999999999,620.4149,25468.0,29793.0,0.588,Echolocation,20220826_033000.WAV,
620.5605,620.5746,23750.0,29332.0,0.512,Echolocation,20220826_033000.WAV,
621.9455,621.9605,24609.0,32005.0,0.51,Echolocation,20220826_033000.WAV,
622.3615,622.378,24609.0,32252.0,0.519,Echolocation,20220826_033000.WAV,
622.5165,622.5306,25468.0,31439.0,0.578,Echolocation,20220826_033000.WAV,
622.6565,622.6723,24609.0,33780.0,0.547,Echolocation,20220826_033000.WAV,
622.8175,622.8321,24609.0,33859.0,0.525,Echolocation,20220826_033000.WAV,
622.9745,622.989,24609.0,32473.0,0.546,Echolocation,20220826_033000.WAV,
623.1235,623.14,23750.0,31599.0,0.537,Echolocation,20220826_033000.WAV,
623.2805,623.2954,23750.0,33398.0,0.572,Echolocation,20220826_033000.WAV,
623.4485,623.4617,24609.0,31600.0,0.574,Echolocation,20220826_033000.WAV,
623.5995,623.6133,23750.0,33037.0,0.537,Echolocation,20220826_033000.WAV,
623.7405,623.7532,23750.0,30250.0,0.598,Echolocation,20220826_033000.WAV,
623.8765,623.8904,23750.0,32925.0,0.587,Echolocation,20220826_033000.WAV,
624.0225,624.0355,23750.0,31001.0,0.564,Echolocation,20220826_033000.WAV,
624.3035,624.3162,24609.0,33001.0,0.615,Echolocation,20220826_033000.WAV,
624.4465,624.456,24609.0,31608.0,0.635,Echolocation,20220826_033000.WAV,
624.5945,624.6056,24609.0,30623.0,0.528,Echolocation,20220826_033000.WAV,
899.3535,899.3702,21171.0,26723.0,0.514,Echolocation,20220826_033000.WAV,
900.9555,900.9743,22031.0,27135.0,0.535,Echolocation,20220826_033000.WAV,
901.2005,901.2206,22031.0,27806.0,0.505,Echolocation,20220826_033000.WAV,
902.7195,902.7379,22890.0,25383.0,0.615,Echolocation,20220826_033000.WAV,
911.6265,911.6449,22031.0,26052.0,0.502,Echolocation,20220826_033000.WAV,
938.7675,938.7825,23750.0,27567.0,0.63,Echolocation,20220826_033000.WAV,
938.9315,938.9478,22890.0,28337.0,0.557,Echolocation,20220826_033000.WAV,
939.0695,939.0841,23750.0,29356.0,0.506,Echolocation,20220826_033000.WAV,
939.6055,939.6176,22890.0,28687.0,0.611,Echolocation,20220826_033000.WAV,
940.6235,940.6366,22890.0,27969.0,0.583,Echolocation,20220826_033000.WAV,
