,start_time,end_time,low_freq,high_freq,detection_confidence,event,input_file,Collide
0,162.5185,162.5325,27187.0,31201.0,0.54,Echolocation,20221017_033000.WAV,
1,162.7655,162.7791,27187.0,31606.0,0.565,Echolocation,20221017_033000.WAV,
2,163.1685,163.1808,27187.0,33138.0,0.56,Echolocation,20221017_033000.WAV,
3,163.3945,163.4094,27187.0,31214.0,0.526,Echolocation,20221017_033000.WAV,
4,163.6385,163.6504,27187.0,33198.0,0.632,Echolocation,20221017_033000.WAV,
5,164.0315,164.0424,28046.0,34958.0,0.578,Echolocation,20221017_033000.WAV,
6,164.2715,164.2842,27187.0,32860.0,0.552,Echolocation,20221017_033000.WAV,
7,164.5345,164.5465,27187.0,32862.0,0.585,Echolocation,20221017_033000.WAV,
8,164.6775,164.689,27187.0,35029.0,0.673,Echolocation,20221017_033000.WAV,
9,164.8875,164.9003,27187.0,31351.0,0.616,Echolocation,20221017_033000.WAV,
10,165.0195,165.0305,28906.0,33403.0,0.587,Echolocation,20221017_033000.WAV,
11,165.1695,165.1813,27187.0,33986.0,0.719,Echolocation,20221017_033000.WAV,
12,165.4005,165.4123,27187.0,33735.0,0.607,Echolocation,20221017_033000.WAV,
13,165.6545,165.6671,27187.0,33851.0,0.573,Echolocation,20221017_033000.WAV,
14,165.9025,165.916,27187.0,32444.0,0.642,Echolocation,20221017_033000.WAV,
15,166.1655,166.1784,27187.0,33869.0,0.643,Echolocation,20221017_033000.WAV,
16,166.4145,166.4297,26328.0,31344.0,0.546,Echolocation,20221017_033000.WAV,
17,166.5755,166.5898,27187.0,35117.0,0.636,Echolocation,20221017_033000.WAV,
18,166.8145,166.8279,26328.0,35006.0,0.674,Echolocation,20221017_033000.WAV,
19,167.05349999999999,167.0671,27187.0,34816.0,0.632,Echolocation,20221017_033000.WAV,
20,167.3205,167.3334,27187.0,34662.0,0.72,Echolocation,20221017_033000.WAV,
21,167.5675,167.57920000000001,27187.0,34907.0,0.742,Echolocation,20221017_033000.WAV,
22,167.5685,167.576,55546.0,61583.0,0.506,Echolocation,20221017_033000.WAV,
23,167.7395,167.7506,27187.0,35627.0,0.761,Echolocation,20221017_033000.WAV,
24,168.0195,168.0316,27187.0,33569.0,0.763,Echolocation,20221017_033000.WAV,
25,168.2845,168.2983,27187.0,32803.0,0.745,Echolocation,20221017_033000.WAV,
26,168.5225,168.5344,27187.0,32924.0,0.788,Echolocation,20221017_033000.WAV,
27,168.6775,168.6881,27187.0,39466.0,0.742,Echolocation,20221017_033000.WAV,
28,168.9105,168.9215,27187.0,37680.0,0.801,Echolocation,20221017_033000.WAV,
29,169.1415,169.1531,27187.0,35260.0,0.785,Echolocation,20221017_033000.WAV,
30,169.2995,169.3096,27187.0,39533.0,0.821,Echolocation,20221017_033000.WAV,
31,169.5435,169.5554,27187.0,37114.0,0.778,Echolocation,20221017_033000.WAV,
32,169.6925,169.7048,27187.0,33620.0,0.676,Echolocation,20221017_033000.WAV,
33,169.89249999999998,169.90449999999998,27187.0,37604.0,0.639,Echolocation,20221017_033000.WAV,
34,170.0565,170.069,27187.0,35168.0,0.646,Echolocation,20221017_033000.WAV,
35,170.2905,170.3029,27187.0,34332.0,0.632,Echolocation,20221017_033000.WAV,
36,170.44650000000001,170.4591,27187.0,33254.0,0.539,Echolocation,20221017_033000.WAV,
37,170.6805,170.6933,27187.0,34363.0,0.515,Echolocation,20221017_033000.WAV,
38,171.1335,171.1462,27187.0,33773.0,0.577,Echolocation,20221017_033000.WAV,
0,284.8885,284.9013,25468.0,29871.0,0.642,Echolocation,20221017_040000.WAV,
1,285.6675,285.6805,26328.0,30188.0,0.539,Echolocation,20221017_040000.WAV,
2,285.9545,285.9682,25468.0,30556.0,0.649,Echolocation,20221017_040000.WAV,
3,286.5705,286.5864,25468.0,28575.0,0.547,Echolocation,20221017_040000.WAV,
4,286.9335,286.9468,25468.0,29136.0,0.628,Echolocation,20221017_040000.WAV,
5,287.1875,287.2007,25468.0,29480.0,0.568,Echolocation,20221017_040000.WAV,
6,287.6985,287.7177,25468.0,28655.0,0.521,Echolocation,20221017_040000.WAV,
7,288.2075,288.2221,25468.0,28541.0,0.609,Echolocation,20221017_040000.WAV,
8,289.4515,289.4664,25468.0,29080.0,0.651,Echolocation,20221017_040000.WAV,
9,289.9675,289.9814,26328.0,30311.0,0.632,Echolocation,20221017_040000.WAV,
10,290.2235,290.2398,25468.0,28866.0,0.516,Echolocation,20221017_040000.WAV,
11,290.4755,290.4902,24609.0,28660.0,0.694,Echolocation,20221017_040000.WAV,
12,290.8555,290.8707,24609.0,28654.0,0.517,Echolocation,20221017_040000.WAV,
13,291.0995,291.1158,24609.0,28410.0,0.581,Echolocation,20221017_040000.WAV,
14,292.4745,292.4904,25468.0,28876.0,0.573,Echolocation,20221017_040000.WAV,
15,293.0615,293.0764,25468.0,30420.0,0.574,Echolocation,20221017_040000.WAV,
16,293.4415,293.4581,24609.0,28468.0,0.557,Echolocation,20221017_040000.WAV,
17,294.2235,294.24,24609.0,27777.0,0.671,Echolocation,20221017_040000.WAV,
18,294.8355,294.8537,24609.0,28126.0,0.52,Echolocation,20221017_040000.WAV,
19,295.4395,295.4536,25468.0,29426.0,0.638,Echolocation,20221017_040000.WAV,
20,296.8745,296.8909,25468.0,28104.0,0.518,Echolocation,20221017_040000.WAV,
21,298.8935,298.9119,24609.0,28221.0,0.511,Echolocation,20221017_040000.WAV,
0,179.1135,179.1292,25468.0,28805.0,0.542,Echolocation,20221017_043000.WAV,
0,244.92849999999999,244.9446,26328.0,29321.0,0.6,Echolocation,20221017_050000.WAV,
1,245.6365,245.6565,26328.0,28975.0,0.558,Echolocation,20221017_050000.WAV,
2,245.7675,245.7809,27187.0,32375.0,0.643,Echolocation,20221017_050000.WAV,
3,247.0025,247.0188,25468.0,29448.0,0.538,Echolocation,20221017_050000.WAV,
4,247.2305,247.2492,26328.0,29446.0,0.573,Echolocation,20221017_050000.WAV,
5,248.2095,248.2286,25468.0,29763.0,0.577,Echolocation,20221017_050000.WAV,
6,248.9295,248.9459,25468.0,29144.0,0.576,Echolocation,20221017_050000.WAV,
7,249.6385,249.6556,26328.0,28949.0,0.719,Echolocation,20221017_050000.WAV,
8,249.8835,249.9039,26328.0,29517.0,0.6,Echolocation,20221017_050000.WAV,
9,250.4855,250.5046,26328.0,29078.0,0.506,Echolocation,20221017_050000.WAV,
10,251.4255,251.4426,25468.0,29179.0,0.627,Echolocation,20221017_050000.WAV,
11,253.7895,253.8071,26328.0,29318.0,0.606,Echolocation,20221017_050000.WAV,
12,258.3215,258.3372,25468.0,28865.0,0.526,Echolocation,20221017_050000.WAV,
