start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,input_file,Recover Folder,SD Card,Site name
2.0095,2.024,23750.0,29888.0,Nyctalus leisleri,0.332,0.603,-1,Echolocation,/mnt/ubna_data_02/recover-20220901/UBNA_004/20220901_043000.WAV,recover-20220901,UBNA_004,Central Pond
2.4865,2.4982,24609.0,29757.0,Nyctalus leisleri,0.273,0.525,-1,Echolocation,/mnt/ubna_data_02/recover-20220901/UBNA_004/20220901_043000.WAV,recover-20220901,UBNA_004,Central Pond
115.7075,115.7204,22890.0,30145.0,Eptesicus serotinus,0.263,0.633,-1,Echolocation,/mnt/ubna_data_02/recover-20220901/UBNA_004/20220901_043000.WAV,recover-20220901,UBNA_004,Central Pond
115.98349999999999,115.9967,22890.0,28469.0,Nyctalus leisleri,0.328,0.503,-1,Echolocation,/mnt/ubna_data_02/recover-20220901/UBNA_004/20220901_043000.WAV,recover-20220901,UBNA_004,Central Pond
116.4885,116.5007,22890.0,28671.0,Nyctalus leisleri,0.3,0.516,-1,Echolocation,/mnt/ubna_data_02/recover-20220901/UBNA_004/20220901_043000.WAV,recover-20220901,UBNA_004,Central Pond
126.2235,126.2383,22890.0,28142.0,Nyctalus leisleri,0.44,0.568,-1,Echolocation,/mnt/ubna_data_02/recover-20220901/UBNA_004/20220901_043000.WAV,recover-20220901,UBNA_004,Central Pond
128.0775,128.0922,22031.0,27773.0,Nyctalus leisleri,0.238,0.581,-1,Echolocation,/mnt/ubna_data_02/recover-20220901/UBNA_004/20220901_043000.WAV,recover-20220901,UBNA_004,Central Pond
128.2345,128.2452,25468.0,31676.0,Nyctalus leisleri,0.306,0.544,-1,Echolocation,/mnt/ubna_data_02/recover-20220901/UBNA_004/20220901_043000.WAV,recover-20220901,UBNA_004,Central Pond
128.3325,128.3468,22031.0,28739.0,Nyctalus noctula,0.241,0.597,-1,Echolocation,/mnt/ubna_data_02/recover-20220901/UBNA_004/20220901_043000.WAV,recover-20220901,UBNA_004,Central Pond
128.8715,128.8864,22890.0,28023.0,Nyctalus leisleri,0.327,0.579,-1,Echolocation,/mnt/ubna_data_02/recover-20220901/UBNA_004/20220901_043000.WAV,recover-20220901,UBNA_004,Central Pond
130.2745,130.2884,23750.0,30410.0,Nyctalus leisleri,0.259,0.538,-1,Echolocation,/mnt/ubna_data_02/recover-20220901/UBNA_004/20220901_043000.WAV,recover-20220901,UBNA_004,Central Pond
130.5705,130.5816,25468.0,30979.0,Nyctalus leisleri,0.315,0.514,-1,Echolocation,/mnt/ubna_data_02/recover-20220901/UBNA_004/20220901_043000.WAV,recover-20220901,UBNA_004,Central Pond
130.7755,130.7901,23750.0,30616.0,Nyctalus leisleri,0.248,0.57,-1,Echolocation,/mnt/ubna_data_02/recover-20220901/UBNA_004/20220901_043000.WAV,recover-20220901,UBNA_004,Central Pond
131.0565,131.0699,22890.0,29944.0,Nyctalus leisleri,0.232,0.574,-1,Echolocation,/mnt/ubna_data_02/recover-20220901/UBNA_004/20220901_043000.WAV,recover-20220901,UBNA_004,Central Pond
