Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	detection_confidence	Annotation	input_file	Selection	View	Channel
36.1145	36.1292	24609.0	28726.0	0.537	Echolocation	20220826_070000.WAV	1.0	Waveform 1	1
42.3425	42.3527	24609.0	30738.0	0.508	Echolocation	20220826_070000.WAV	2.0	Waveform 1	1
43.3335	43.3461	23750.0	30243.0	0.588	Echolocation	20220826_070000.WAV	3.0	Waveform 1	1
44.1175	44.1333	23750.0	28456.0	0.606	Echolocation	20220826_070000.WAV	4.0	Waveform 1	1
44.948499999999996	44.9648	24609.0	28257.0	0.527	Echolocation	20220826_070000.WAV	5.0	Waveform 1	1
46.9075	46.9243	23750.0	28798.0	0.517	Echolocation	20220826_070000.WAV	6.0	Waveform 1	1
95.5155	95.5292	23750.0	28661.0	0.627	Echolocation	20220826_070000.WAV	7.0	Waveform 1	1
103.5535	103.5627	40078.0	50937.0	0.583	Echolocation	20220826_070000.WAV	8.0	Waveform 1	1
103.7245	103.7355	40078.0	47245.0	0.529	Echolocation	20220826_070000.WAV	9.0	Waveform 1	1
103.8435	103.85079999999999	39218.0	48679.0	0.52	Echolocation	20220826_070000.WAV	10.0	Waveform 1	1
104.0155	104.0231	38359.0	49025.0	0.637	Echolocation	20220826_070000.WAV	11.0	Waveform 1	1
104.3145	104.3258	39218.0	47549.0	0.589	Echolocation	20220826_070000.WAV	12.0	Waveform 1	1
104.5675	104.5767	39218.0	48354.0	0.638	Echolocation	20220826_070000.WAV	13.0	Waveform 1	1
104.6945	104.7037	36640.0	44690.0	0.606	Echolocation	20220826_070000.WAV	14.0	Waveform 1	1
104.8515	104.8614	39218.0	46123.0	0.629	Echolocation	20220826_070000.WAV	15.0	Waveform 1	1
104.98949999999999	104.9979	38359.0	44533.0	0.534	Echolocation	20220826_070000.WAV	16.0	Waveform 1	1
105.1325	105.1425	39218.0	46925.0	0.629	Echolocation	20220826_070000.WAV	17.0	Waveform 1	1
105.3945	105.4033	39218.0	46147.0	0.63	Echolocation	20220826_070000.WAV	18.0	Waveform 1	1
105.6745	105.6833	38359.0	48476.0	0.597	Echolocation	20220826_070000.WAV	19.0	Waveform 1	1
106.2205	106.2303	37500.0	44535.0	0.525	Echolocation	20220826_070000.WAV	20.0	Waveform 1	1
108.7435	108.7508	39218.0	51619.0	0.521	Echolocation	20220826_070000.WAV	21.0	Waveform 1	1
109.2075	109.2137	40937.0	50151.0	0.523	Echolocation	20220826_070000.WAV	22.0	Waveform 1	1
118.9435	118.9505	40937.0	51284.0	0.524	Echolocation	20220826_070000.WAV	23.0	Waveform 1	1
119.1435	119.1521	41796.0	51132.0	0.505	Echolocation	20220826_070000.WAV	24.0	Waveform 1	1
119.3095	119.31700000000001	40937.0	55496.0	0.599	Echolocation	20220826_070000.WAV	25.0	Waveform 1	1
119.5815	119.5898	40937.0	49079.0	0.535	Echolocation	20220826_070000.WAV	26.0	Waveform 1	1
119.7705	119.7796	40937.0	54155.0	0.644	Echolocation	20220826_070000.WAV	27.0	Waveform 1	1
119.8075	119.8165	38359.0	47089.0	0.547	Echolocation	20220826_070000.WAV	28.0	Waveform 1	1
119.9465	119.9549	40937.0	52226.0	0.619	Echolocation	20220826_070000.WAV	29.0	Waveform 1	1
120.1805	120.1888	40078.0	49744.0	0.699	Echolocation	20220826_070000.WAV	30.0	Waveform 1	1
120.2685	120.2778	39218.0	46175.0	0.557	Echolocation	20220826_070000.WAV	31.0	Waveform 1	1
120.4435	120.4504	38359.0	48822.0	0.513	Echolocation	20220826_070000.WAV	32.0	Waveform 1	1
120.5375	120.546	39218.0	47206.0	0.545	Echolocation	20220826_070000.WAV	33.0	Waveform 1	1
120.7175	120.7257	38359.0	47007.0	0.61	Echolocation	20220826_070000.WAV	34.0	Waveform 1	1
121.0025	121.0104	38359.0	48969.0	0.676	Echolocation	20220826_070000.WAV	35.0	Waveform 1	1
121.2955	121.3042	40078.0	46088.0	0.536	Echolocation	20220826_070000.WAV	36.0	Waveform 1	1
121.5775	121.586	38359.0	47719.0	0.596	Echolocation	20220826_070000.WAV	37.0	Waveform 1	1
121.8625	121.8704	37500.0	48803.0	0.548	Echolocation	20220826_070000.WAV	38.0	Waveform 1	1
146.9945	147.0031	37500.0	47010.0	0.562	Echolocation	20220826_070000.WAV	39.0	Waveform 1	1
147.2665	147.275	40078.0	46841.0	0.614	Echolocation	20220826_070000.WAV	40.0	Waveform 1	1
147.6385	147.6473	37500.0	49434.0	0.548	Echolocation	20220826_070000.WAV	41.0	Waveform 1	1
148.0085	148.0177	39218.0	49033.0	0.545	Echolocation	20220826_070000.WAV	42.0	Waveform 1	1
159.7485	159.7568	39218.0	48627.0	0.58	Echolocation	20220826_070000.WAV	43.0	Waveform 1	1
159.9505	159.9606	39218.0	44968.0	0.568	Echolocation	20220826_070000.WAV	44.0	Waveform 1	1
160.1305	160.13909999999998	39218.0	48930.0	0.596	Echolocation	20220826_070000.WAV	45.0	Waveform 1	1
160.5315	160.5421	38359.0	47674.0	0.542	Echolocation	20220826_070000.WAV	46.0	Waveform 1	1
170.7985	170.8067	36640.0	47344.0	0.518	Echolocation	20220826_070000.WAV	47.0	Waveform 1	1
205.58350000000002	205.5987	24609.0	28848.0	0.625	Echolocation	20220826_070000.WAV	48.0	Waveform 1	1
205.85750000000002	205.8752	24609.0	28704.0	0.571	Echolocation	20220826_070000.WAV	49.0	Waveform 1	1
206.1505	206.168	23750.0	28571.0	0.563	Echolocation	20220826_070000.WAV	50.0	Waveform 1	1
206.6885	206.7061	24609.0	29017.0	0.553	Echolocation	20220826_070000.WAV	51.0	Waveform 1	1
207.5105	207.5238	25468.0	30415.0	0.71	Echolocation	20220826_070000.WAV	52.0	Waveform 1	1
208.2065	208.2232	24609.0	29334.0	0.528	Echolocation	20220826_070000.WAV	53.0	Waveform 1	1
208.8945	208.9116	24609.0	28853.0	0.581	Echolocation	20220826_070000.WAV	54.0	Waveform 1	1
209.3015	209.3177	23750.0	28906.0	0.56	Echolocation	20220826_070000.WAV	55.0	Waveform 1	1
209.5815	209.5976	23750.0	29165.0	0.587	Echolocation	20220826_070000.WAV	56.0	Waveform 1	1
210.1545	210.1693	23750.0	28466.0	0.609	Echolocation	20220826_070000.WAV	57.0	Waveform 1	1
210.9815	210.9978	23750.0	28902.0	0.609	Echolocation	20220826_070000.WAV	58.0	Waveform 1	1
211.5185	211.5353	23750.0	29856.0	0.534	Echolocation	20220826_070000.WAV	59.0	Waveform 1	1
211.9115	211.9258	23750.0	28724.0	0.582	Echolocation	20220826_070000.WAV	60.0	Waveform 1	1
212.0525	212.0671	24609.0	36623.0	0.652	Echolocation	20220826_070000.WAV	61.0	Waveform 1	1
212.3255	212.3428	24609.0	30000.0	0.505	Echolocation	20220826_070000.WAV	62.0	Waveform 1	1
214.2225	214.2408	24609.0	28120.0	0.542	Echolocation	20220826_070000.WAV	63.0	Waveform 1	1
216.0245	216.0417	23750.0	27957.0	0.617	Echolocation	20220826_070000.WAV	64.0	Waveform 1	1
216.4425	216.4594	23750.0	29127.0	0.55	Echolocation	20220826_070000.WAV	65.0	Waveform 1	1
216.8315	216.8479	23750.0	29355.0	0.522	Echolocation	20220826_070000.WAV	66.0	Waveform 1	1
216.9755	216.9894	24609.0	33041.0	0.613	Echolocation	20220826_070000.WAV	67.0	Waveform 1	1
217.9455	217.9605	23750.0	29942.0	0.559	Echolocation	20220826_070000.WAV	68.0	Waveform 1	1
218.3685	218.3846	24609.0	29007.0	0.567	Echolocation	20220826_070000.WAV	69.0	Waveform 1	1
218.7665	218.7826	24609.0	29293.0	0.545	Echolocation	20220826_070000.WAV	70.0	Waveform 1	1
221.1615	221.1767	23750.0	28774.0	0.564	Echolocation	20220826_070000.WAV	71.0	Waveform 1	1
386.8215	386.8384	24609.0	28891.0	0.544	Echolocation	20220826_070000.WAV	72.0	Waveform 1	1
388.0935	388.1105	24609.0	29706.0	0.547	Echolocation	20220826_070000.WAV	73.0	Waveform 1	1
388.5725	388.588	24609.0	28242.0	0.525	Echolocation	20220826_070000.WAV	74.0	Waveform 1	1
388.8195	388.8371	24609.0	28843.0	0.595	Echolocation	20220826_070000.WAV	75.0	Waveform 1	1
389.6225	389.6372	24609.0	28609.0	0.643	Echolocation	20220826_070000.WAV	76.0	Waveform 1	1
