date_and_time_UTC,num_of_detections,HF2_num_of_detections,HF1_num_of_detections,LF1_num_of_detections
2023-09-21 00:00:00+00:00,1,1,1,1
2023-09-21 00:30:00+00:00,1,1,1,1
2023-09-21 01:00:00+00:00,1,1,1,1
2023-09-21 01:30:00+00:00,1,1,1,1
2023-09-21 02:00:00+00:00,1,1,1,1
2023-09-21 02:30:00+00:00,188,1,31,157
2023-09-21 03:00:00+00:00,1,1,1,1
2023-09-21 03:30:00+00:00,3,3,1,1
2023-09-21 04:00:00+00:00,1,1,1,1
2023-09-21 04:30:00+00:00,15,15,1,1
2023-09-21 05:00:00+00:00,75,2,72,1
2023-09-21 05:30:00+00:00,13,13,1,1
2023-09-21 06:00:00+00:00,40,1,40,1
2023-09-21 06:30:00+00:00,7,1,7,1
2023-09-21 07:00:00+00:00,1,1,1,1
2023-09-21 07:30:00+00:00,1,1,1,1
2023-09-21 08:00:00+00:00,25,20,3,1
2023-09-21 08:30:00+00:00,36,25,11,1
2023-09-21 09:00:00+00:00,2,2,1,1
2023-09-21 09:30:00+00:00,1,1,1,1
2023-09-21 10:00:00+00:00,1,1,1,1
2023-09-21 10:30:00+00:00,2,2,1,1
2023-09-21 11:00:00+00:00,1,1,1,1
2023-09-21 11:30:00+00:00,7,1,1,7
2023-09-21 12:00:00+00:00,1,1,1,1
2023-09-21 12:30:00+00:00,1,1,1,1
2023-09-21 13:00:00+00:00,1,1,1,1
2023-09-21 13:30:00+00:00,1,1,1,1
2023-09-21 14:00:00+00:00,1,1,1,1
2023-09-21 14:30:00+00:00,1,1,1,1
2023-09-22 00:00:00+00:00,1,1,1,1
2023-09-22 00:30:00+00:00,1,1,1,1
2023-09-22 01:00:00+00:00,1,1,1,1
2023-09-22 01:30:00+00:00,1,1,1,1
2023-09-22 02:00:00+00:00,1,1,1,1
2023-09-22 02:30:00+00:00,92,1,64,28
2023-09-22 03:00:00+00:00,126,15,12,99
2023-09-22 03:30:00+00:00,11,11,1,1
2023-09-22 04:00:00+00:00,33,1,22,9
2023-09-22 04:30:00+00:00,5,5,1,1
2023-09-22 05:00:00+00:00,21,21,1,1
2023-09-22 05:30:00+00:00,2,1,1,2
2023-09-22 06:00:00+00:00,18,1,1,17
2023-09-22 06:30:00+00:00,3,3,1,1
2023-09-22 07:00:00+00:00,331,1,1,331
2023-09-22 07:30:00+00:00,5,1,1,5
2023-09-22 08:00:00+00:00,22,19,1,3
2023-09-22 08:30:00+00:00,4,1,1,4
2023-09-22 09:00:00+00:00,1,1,1,1
2023-09-22 09:30:00+00:00,1,1,1,1
2023-09-22 10:00:00+00:00,34,1,1,34
2023-09-22 10:30:00+00:00,4,1,1,4
2023-09-22 11:00:00+00:00,23,1,1,23
2023-09-22 11:30:00+00:00,1,1,1,1
2023-09-22 12:00:00+00:00,1,1,1,1
2023-09-22 12:30:00+00:00,1,1,1,1
2023-09-22 13:00:00+00:00,1,1,1,1
2023-09-22 13:30:00+00:00,1,1,1,1
2023-09-22 14:00:00+00:00,1,1,1,1
2023-09-22 14:30:00+00:00,1,1,1,1
2023-09-23 00:00:00+00:00,1,1,1,1
2023-09-23 00:30:00+00:00,1,1,1,1
2023-09-23 01:00:00+00:00,1,1,1,1
2023-09-23 01:30:00+00:00,1,1,1,1
2023-09-23 02:00:00+00:00,1,1,1,1
2023-09-23 02:30:00+00:00,454,1,57,397
2023-09-23 03:00:00+00:00,333,14,7,312
2023-09-23 03:30:00+00:00,213,12,50,151
2023-09-23 04:00:00+00:00,86,58,1,24
2023-09-23 04:30:00+00:00,96,63,31,1
2023-09-23 05:00:00+00:00,55,30,13,10
2023-09-23 05:30:00+00:00,81,22,1,59
2023-09-23 06:00:00+00:00,1,1,1,1
2023-09-23 06:30:00+00:00,62,44,2,14
2023-09-23 07:00:00+00:00,67,1,24,42
2023-09-23 07:30:00+00:00,104,45,22,34
2023-09-23 08:00:00+00:00,79,10,65,1
2023-09-23 08:30:00+00:00,1,1,1,1
2023-09-23 09:00:00+00:00,1,1,1,1
2023-09-23 09:30:00+00:00,50,1,45,1
2023-09-23 10:00:00+00:00,1,1,1,1
2023-09-23 10:30:00+00:00,18,17,1,1
2023-09-23 11:00:00+00:00,29,27,1,1
2023-09-23 11:30:00+00:00,1,1,1,1
2023-09-23 12:00:00+00:00,1,1,1,1
2023-09-23 12:30:00+00:00,1,1,1,1
2023-09-23 13:00:00+00:00,1,1,1,1
2023-09-23 13:30:00+00:00,1,1,1,1
2023-09-23 14:00:00+00:00,1,1,1,1
