Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation	detection_confidence	input_file	Selection	View	Channel
0.0545	0.0689	25468.0	30171.0	Echolocation	0.632	20220826_070000.WAV	1	Waveform 1	1
0.4585	0.4735	25468.0	30621.0	Echolocation	0.536	20220826_070000.WAV	2	Waveform 1	1
0.8565	0.8722	24609.0	29163.0	Echolocation	0.6	20220826_070000.WAV	3	Waveform 1	1
1.2655	1.2796	24609.0	31119.0	Echolocation	0.603	20220826_070000.WAV	4	Waveform 1	1
1.8015	1.8162	24609.0	31173.0	Echolocation	0.586	20220826_070000.WAV	5	Waveform 1	1
2.2065	2.2224	24609.0	29608.0	Echolocation	0.538	20220826_070000.WAV	6	Waveform 1	1
2.7435	2.7585	24609.0	29975.0	Echolocation	0.65	20220826_070000.WAV	7	Waveform 1	1
3.1505	3.1668	24609.0	30122.0	Echolocation	0.567	20220826_070000.WAV	8	Waveform 1	1
3.3235	3.3364	24609.0	30818.0	Echolocation	0.589	20220826_070000.WAV	9	Waveform 1	1
3.4835	3.4977	25468.0	32520.0	Echolocation	0.636	20220826_070000.WAV	10	Waveform 1	1
3.7635	3.7806	24609.0	30015.0	Echolocation	0.564	20220826_070000.WAV	11	Waveform 1	1
4.0405	4.0542	25468.0	31580.0	Echolocation	0.662	20220826_070000.WAV	12	Waveform 1	1
4.4315	4.4484	24609.0	30312.0	Echolocation	0.543	20220826_070000.WAV	13	Waveform 1	1
4.5615	4.5723	26328.0	33982.0	Echolocation	0.626	20220826_070000.WAV	14	Waveform 1	1
4.7035	4.7164	26328.0	32854.0	Echolocation	0.672	20220826_070000.WAV	15	Waveform 1	1
5.1085	5.1234	24609.0	30275.0	Echolocation	0.563	20220826_070000.WAV	16	Waveform 1	1
5.3765	5.3915	24609.0	31914.0	Echolocation	0.586	20220826_070000.WAV	17	Waveform 1	1
5.6555	5.6709	24609.0	31527.0	Echolocation	0.627	20220826_070000.WAV	18	Waveform 1	1
5.9285	5.9426	25468.0	29935.0	Echolocation	0.527	20220826_070000.WAV	19	Waveform 1	1
6.1725	6.1838	26328.0	35635.0	Echolocation	0.649	20220826_070000.WAV	20	Waveform 1	1
6.6975	6.7114	25468.0	31678.0	Echolocation	0.612	20220826_070000.WAV	21	Waveform 1	1
6.9675	6.9799	24609.0	29537.0	Echolocation	0.578	20220826_070000.WAV	22	Waveform 1	1
7.2365	7.2502	24609.0	31450.0	Echolocation	0.603	20220826_070000.WAV	23	Waveform 1	1
7.6465	7.6601	25468.0	30875.0	Echolocation	0.58	20220826_070000.WAV	24	Waveform 1	1
7.9135	7.9281	25468.0	32641.0	Echolocation	0.555	20220826_070000.WAV	25	Waveform 1	1
8.3205	8.3344	25468.0	30754.0	Echolocation	0.555	20220826_070000.WAV	26	Waveform 1	1
8.4725	8.4869	25468.0	33206.0	Echolocation	0.628	20220826_070000.WAV	27	Waveform 1	1
8.8775	8.8912	25468.0	32589.0	Echolocation	0.653	20220826_070000.WAV	28	Waveform 1	1
9.0185	9.0307	26328.0	36068.0	Echolocation	0.645	20220826_070000.WAV	29	Waveform 1	1
9.4225	9.4355	25468.0	32216.0	Echolocation	0.586	20220826_070000.WAV	30	Waveform 1	1
9.6775	9.6906	25468.0	33454.0	Echolocation	0.625	20220826_070000.WAV	31	Waveform 1	1
9.9475	9.9604	25468.0	30171.0	Echolocation	0.662	20220826_070000.WAV	32	Waveform 1	1
10.2115	10.2247	25468.0	33315.0	Echolocation	0.632	20220826_070000.WAV	33	Waveform 1	1
10.6155	10.6293	25468.0	32516.0	Echolocation	0.603	20220826_070000.WAV	34	Waveform 1	1
10.7525	10.763	27187.0	36763.0	Echolocation	0.65	20220826_070000.WAV	35	Waveform 1	1
10.9065	10.9185	25468.0	31038.0	Echolocation	0.506	20220826_070000.WAV	36	Waveform 1	1
11.1665	11.1806	26328.0	32812.0	Echolocation	0.54	20220826_070000.WAV	37	Waveform 1	1
11.5675	11.5807	25468.0	29189.0	Echolocation	0.527	20220826_070000.WAV	38	Waveform 1	1
