date_and_time_UTC,num_of_detections,HF2_num_of_detections,HF1_num_of_detections,LF1_num_of_detections
2023-09-18 12:00:00+00:00,1,1,1,1
2023-09-18 12:30:00+00:00,19,19,1,1
2023-09-18 13:00:00+00:00,17,8,9,1
2023-09-18 13:30:00+00:00,1,1,1,1
2023-09-18 14:00:00+00:00,1,1,1,1
2023-09-19 01:30:00+00:00,1,1,1,1
2023-09-19 02:00:00+00:00,1,1,1,1
2023-09-19 02:30:00+00:00,22,21,1,1
2023-09-19 03:00:00+00:00,73,69,4,1
2023-09-19 03:30:00+00:00,578,579,1,1
2023-09-19 04:00:00+00:00,87,87,1,1
2023-09-19 04:30:00+00:00,2,2,1,1
2023-09-19 05:00:00+00:00,335,337,1,1
2023-09-19 05:30:00+00:00,3,3,1,1
2023-09-19 06:00:00+00:00,10,10,1,1
2023-09-19 06:30:00+00:00,73,71,1,1
2023-09-19 07:00:00+00:00,23,23,1,1
2023-09-19 07:30:00+00:00,17,16,1,1
2023-09-19 08:00:00+00:00,95,94,1,1
2023-09-19 08:30:00+00:00,72,72,1,1
2023-09-19 09:00:00+00:00,72,75,1,1
2023-09-19 09:30:00+00:00,322,324,1,1
2023-09-19 10:00:00+00:00,512,515,1,1
2023-09-19 10:30:00+00:00,200,200,1,1
2023-09-19 11:00:00+00:00,326,327,1,1
2023-09-19 11:30:00+00:00,226,226,1,1
2023-09-19 12:00:00+00:00,178,178,1,1
2023-09-19 12:30:00+00:00,338,343,1,1
2023-09-19 13:00:00+00:00,520,513,1,1
2023-09-19 13:30:00+00:00,1,1,1,1
2023-09-19 14:00:00+00:00,1,1,1,1
2023-09-20 01:30:00+00:00,1,1,1,1
2023-09-20 02:00:00+00:00,1,1,1,1
2023-09-20 02:30:00+00:00,131,131,1,1
2023-09-20 03:00:00+00:00,842,834,8,1
2023-09-20 03:30:00+00:00,312,293,15,1
2023-09-20 04:00:00+00:00,98,98,1,1
2023-09-20 04:30:00+00:00,54,57,1,1
2023-09-20 05:00:00+00:00,100,98,2,1
2023-09-20 05:30:00+00:00,104,104,1,1
2023-09-20 06:00:00+00:00,1,1,1,1
2023-09-20 06:30:00+00:00,33,33,1,1
2023-09-20 07:00:00+00:00,9,9,1,1
2023-09-20 07:30:00+00:00,1,1,1,1
2023-09-20 08:00:00+00:00,1,1,1,1
2023-09-20 08:30:00+00:00,1,1,1,1
2023-09-20 09:00:00+00:00,1,1,1,1
2023-09-20 09:30:00+00:00,1,1,1,1
2023-09-20 10:00:00+00:00,1,1,1,1
2023-09-20 10:30:00+00:00,1,1,1,1
2023-09-20 11:00:00+00:00,1,1,1,1
2023-09-20 11:30:00+00:00,1,1,1,1
2023-09-20 12:00:00+00:00,1,1,1,1
2023-09-20 12:30:00+00:00,1,1,1,1
2023-09-20 13:00:00+00:00,1,1,1,1
2023-09-20 13:30:00+00:00,1,1,1,1
2023-09-20 14:00:00+00:00,1,1,1,1
