Time (UTC),11/03/23,11/04/23,11/05/23,11/06/23,11/07/23
00:00,0.3333333333333333,1.0,1.0,1.0,0.6666666666666666
00:30,1.0,1.0,1.0,1.0,
01:00,1.0,1.0,1.0,120.66666666666666,
01:30,1.0,1.0,98.66666666666667,2.6666666666666665,
02:00,1.0,44.666666666666664,80.33333333333333,1.0,
02:30,1.0,1.0,48.666666666666664,1.0,
03:00,2.666666666666667,1.0,1.0,1.0,
03:30,48.666666666666664,1.0,1.0,1.0,
04:00,1.0,1.0,2.666666666666667,1.0,
04:30,1.0,1.0,1.0,1.0,
05:00,2.666666666666667,1.0,1.0,1.0,
05:30,1.0,1.0,1.0,1.0,
06:00,1.0,1.0,1.0,1.0,
06:30,1.0,1.0,1.0,1.0,
07:00,1.0,1.0,1.0,1.0,
07:30,1.0,1.0,1.0,1.0,
08:00,26.666666666666664,1.0,1.0,1.0,
08:30,1.0,1.0,1.0,1.0,
09:00,2.6666666666666665,2.6666666666666665,1.0,1.0,
09:30,1.0,1.0,1.0,1.0,
10:00,12.666666666666666,1.0,1.0,1.0,
10:30,54.666666666666664,2.666666666666667,1.0,1.0,
11:00,2.6666666666666665,1.0,1.0,2.666666666666667,
11:30,1.0,1.0,1.0,1.0,
12:00,1.0,1.0,1.0,1.0,
12:30,1.0,1.0,1.0,1.0,
13:00,1.0,1.0,1.0,2.666666666666667,
13:30,16.666666666666668,1.0,1.0,1.0,
14:00,1.0,1.0,2.6666666666666665,1.0,
14:30,1.0,1.0,1.0,1.0,
15:00,1.0,1.0,1.0,1.0,
15:30,1.0,1.0,2.666666666666667,1.0,
16:00,1.0,2.6666666666666665,1.0,1.0,
16:30,1.0,1.0,1.0,1.0,
17:00,1.0,1.0,1.0,1.0,
17:30,1.0,1.0,1.0,2.6666666666666665,
18:00,1.0,1.0,1.0,1.0,
18:30,1.0,1.0,1.0,1.0,
19:00,1.0,1.0,1.0,2.6666666666666665,
19:30,2.666666666666667,1.0,1.0,1.0,
20:00,1.0,1.0,1.0,1.0,
20:30,1.0,1.0,1.0,1.0,
21:00,1.0,1.0,1.0,1.0,
21:30,2.6666666666666665,1.0,1.0,1.0,
22:00,1.0,1.0,1.0,1.0,
22:30,1.0,1.0,1.0,1.0,
23:00,1.0,1.0,1.0,1.0,
23:30,1.0,1.0,1.0,1.0,
