date_and_time_UTC,activity_index,LFactivity_index,HFactivity_index
2025-06-14 11:00:00+00:00,5.0,0.0,5.0
2025-06-14 11:10:00+00:00,0.0,0.0,0.0
2025-06-14 11:20:00+00:00,0.0,0.0,0.0
2025-06-14 11:30:00+00:00,5.0,5.0,0.0
2025-06-14 11:40:00+00:00,0.0,0.0,0.0
2025-06-14 11:50:00+00:00,0.0,0.0,0.0
2025-06-14 12:00:00+00:00,3.3333333333333335,3.3333333333333335,0.0
2025-06-14 12:10:00+00:00,0.0,0.0,0.0
2025-06-14 12:20:00+00:00,0.0,0.0,0.0
2025-06-14 12:30:00+00:00,0.0,0.0,0.0
2025-06-14 12:40:00+00:00,0.0,0.0,0.0
2025-06-14 12:50:00+00:00,0.0,0.0,0.0
2025-06-14 13:00:00+00:00,0.0,0.0,0.0
2025-06-14 13:10:00+00:00,0.0,0.0,0.0
2025-06-14 13:20:00+00:00,0.0,0.0,0.0
2025-06-14 13:30:00+00:00,0.0,0.0,0.0
2025-06-14 13:40:00+00:00,0.0,0.0,0.0
2025-06-14 13:50:00+00:00,0.0,0.0,0.0
2025-06-14 14:00:00+00:00,0.0,0.0,0.0
2025-06-14 14:10:00+00:00,0.0,0.0,0.0
2025-06-14 14:20:00+00:00,0.0,0.0,0.0
2025-06-14 14:30:00+00:00,1.6666666666666667,1.6666666666666667,0.0
2025-06-14 14:40:00+00:00,0.0,0.0,0.0
2025-06-14 14:50:00+00:00,0.0,0.0,0.0
2025-06-14 15:00:00+00:00,0.0,0.0,0.0
2025-06-14 15:10:00+00:00,0.0,0.0,0.0
2025-06-14 15:20:00+00:00,0.0,0.0,0.0
2025-06-14 15:30:00+00:00,1.6666666666666667,1.6666666666666667,0.0
2025-06-14 15:40:00+00:00,0.0,0.0,0.0
2025-06-14 15:50:00+00:00,0.0,0.0,0.0
2025-06-14 16:00:00+00:00,1.6666666666666667,1.6666666666666667,0.0
2025-06-14 16:10:00+00:00,0.0,0.0,0.0
2025-06-14 16:20:00+00:00,0.0,0.0,0.0
2025-06-14 16:30:00+00:00,1.6666666666666667,1.6666666666666667,0.0
2025-06-14 16:40:00+00:00,0.0,0.0,0.0
2025-06-14 16:50:00+00:00,0.0,0.0,0.0
2025-06-14 17:00:00+00:00,0.0,0.0,0.0
2025-06-14 17:10:00+00:00,0.0,0.0,0.0
2025-06-14 17:20:00+00:00,0.0,0.0,0.0
2025-06-14 17:30:00+00:00,0.0,0.0,0.0
2025-06-14 17:40:00+00:00,0.0,0.0,0.0
2025-06-14 17:50:00+00:00,0.0,0.0,0.0
2025-06-14 18:00:00+00:00,0.0,0.0,0.0
2025-06-14 18:10:00+00:00,0.0,0.0,0.0
2025-06-14 18:20:00+00:00,0.0,0.0,0.0
2025-06-14 18:30:00+00:00,1.6666666666666667,1.6666666666666667,0.0
2025-06-14 18:40:00+00:00,0.0,0.0,0.0
2025-06-14 18:50:00+00:00,0.0,0.0,0.0
2025-06-14 19:00:00+00:00,5.0,5.0,0.0
2025-06-14 19:10:00+00:00,0.0,0.0,0.0
2025-06-14 19:20:00+00:00,0.0,0.0,0.0
2025-06-14 19:30:00+00:00,0.0,0.0,0.0
2025-06-14 19:40:00+00:00,0.0,0.0,0.0
2025-06-14 19:50:00+00:00,0.0,0.0,0.0
2025-06-14 20:00:00+00:00,1.6666666666666667,1.6666666666666667,0.0
2025-06-14 20:10:00+00:00,0.0,0.0,0.0
2025-06-14 20:20:00+00:00,0.0,0.0,0.0
2025-06-14 20:30:00+00:00,0.0,0.0,0.0
2025-06-14 20:40:00+00:00,0.0,0.0,0.0
2025-06-14 20:50:00+00:00,0.0,0.0,0.0
2025-06-14 21:00:00+00:00,11.666666666666666,11.666666666666666,0.0
2025-06-14 21:10:00+00:00,0.0,0.0,0.0
2025-06-14 21:20:00+00:00,0.0,0.0,0.0
2025-06-14 21:30:00+00:00,0.0,0.0,0.0
2025-06-14 21:40:00+00:00,0.0,0.0,0.0
2025-06-14 21:50:00+00:00,0.0,0.0,0.0
2025-06-14 22:00:00+00:00,0.0,0.0,0.0
2025-06-14 22:10:00+00:00,0.0,0.0,0.0
2025-06-14 22:20:00+00:00,0.0,0.0,0.0
2025-06-14 22:30:00+00:00,1.6666666666666667,1.6666666666666667,0.0
2025-06-14 22:40:00+00:00,0.0,0.0,0.0
2025-06-14 22:50:00+00:00,0.0,0.0,0.0
2025-06-14 23:00:00+00:00,0.0,0.0,0.0
2025-06-14 23:10:00+00:00,0.0,0.0,0.0
2025-06-14 23:20:00+00:00,0.0,0.0,0.0
2025-06-14 23:30:00+00:00,5.0,5.0,0.0
2025-06-14 23:40:00+00:00,0.0,0.0,0.0
2025-06-14 23:50:00+00:00,0.0,0.0,0.0
2025-06-15 00:00:00+00:00,1.6666666666666667,1.6666666666666667,0.0
2025-06-15 00:10:00+00:00,0.0,0.0,0.0
