KMEANS_CLASSES,peak_frequency,SNR,start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,sampling_rate,input_file,Recover Folder,SD Card,Site name
LF,23040.0,23.821849674573503,250.0335,250.0463,22890.0,26552.0,Echolocation,Nyctalus leisleri,0.59,0.645,-1,192000.0,/mnt/ubna_data_04/recover-20240829/UBNA_008/20240825_055000.WAV,recover-20240829,UBNA_008,Central Pond
LF,27840.0,12.22888908419474,207.9855,207.9989,27187.0,32400.0,Echolocation,Nyctalus leisleri,0.299,0.508,-1,192000.0,/mnt/ubna_data_04/recover-20240829/UBNA_008/20240821_060000.WAV,recover-20240829,UBNA_008,Central Pond
LF,24960.0,12.297102837965584,270.5055,270.5208,24609.0,30751.0,Echolocation,Nyctalus leisleri,0.317,0.524,-1,192000.0,/mnt/ubna_data_04/recover-20240829/UBNA_008/20240825_052000.WAV,recover-20240829,UBNA_008,Central Pond
HF,48960.0,5.458327243470401,281.6885,281.6942,46953.0,60812.0,Echolocation,Pipistrellus pipistrellus,0.504,0.528,-1,192000.0,/mnt/ubna_data_04/recover-20240829/UBNA_008/20240824_050000.WAV,recover-20240829,UBNA_008,Central Pond
LF,26880.0,7.688173621415158,99.4805,99.4947,25468.0,31971.0,Echolocation,Nyctalus leisleri,0.35,0.614,-1,192000.0,/mnt/ubna_data_04/recover-20240829/UBNA_008/20240824_060000.WAV,recover-20240829,UBNA_008,Central Pond
LF,26880.0,15.666467437960854,196.52949999999998,196.5435,25468.0,32472.0,Echolocation,Nyctalus leisleri,0.443,0.599,-1,192000.0,/mnt/ubna_data_04/recover-20240829/UBNA_008/20240824_061000.WAV,recover-20240829,UBNA_008,Central Pond
LF,24000.0,4.461633255685673,8.7635,8.7762,23750.0,30164.0,Echolocation,Nyctalus leisleri,0.224,0.523,-1,192000.0,/mnt/ubna_data_04/recover-20240829/UBNA_008/20240822_034000.WAV,recover-20240829,UBNA_008,Central Pond
LF,24960.0,20.558209115447642,81.2955,81.3117,24609.0,28401.0,Echolocation,Nyctalus leisleri,0.469,0.537,-1,192000.0,/mnt/ubna_data_04/recover-20240829/UBNA_008/20240825_033000.WAV,recover-20240829,UBNA_008,Central Pond
LF,27840.0,14.602587346305878,90.0505,90.0637,26328.0,36629.0,Echolocation,Nyctalus leisleri,0.277,0.553,-1,192000.0,/mnt/ubna_data_04/recover-20240829/UBNA_008/20240825_033000.WAV,recover-20240829,UBNA_008,Central Pond
LF,24000.0,7.461306903002481,248.4715,248.4882,23750.0,28400.0,Echolocation,Nyctalus leisleri,0.342,0.521,-1,192000.0,/mnt/ubna_data_04/recover-20240829/UBNA_008/20240821_122000.WAV,recover-20240829,UBNA_008,Central Pond
LF,24960.0,6.228689364939416,69.2055,69.2248,23750.0,29441.0,Echolocation,Eptesicus serotinus,0.171,0.513,-1,192000.0,/mnt/ubna_data_04/recover-20240829/UBNA_008/20240825_034000.WAV,recover-20240829,UBNA_008,Central Pond
