KMEANS_CLASSES,peak_frequency,SNR,start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,sampling_rate,input_file,Recover Folder,SD Card,Site name
HF,53760.0,2.5840048821761163,175.55349999999999,175.5608,53828.0,58174.0,Echolocation,Pipistrellus pygmaeus,0.3,0.304,-1,192000.0,/mnt/ubna_data_06/recover-20250710/UBNA_011/20250703_190000.WAV,recover-20250710,UBNA_011,Central Pond
HF,38400.0,11.074388291214676,193.1835,193.1874,24609.0,76644.0,Echolocation,Myotis nattereri,0.284,0.312,-1,192000.0,/mnt/ubna_data_06/recover-20250710/UBNA_011/20250703_190000.WAV,recover-20250710,UBNA_011,Central Pond
LF,24000.0,2.522336941200945,206.0075,206.0113,23750.0,41689.0,Echolocation,Plecotus austriacus,0.231,0.324,-1,192000.0,/mnt/ubna_data_06/recover-20250710/UBNA_011/20250703_190000.WAV,recover-20250710,UBNA_011,Central Pond
LF,29760.0,-12.988102435048463,246.9635,246.9704,19453.0,29573.0,Echolocation,Plecotus austriacus,0.325,0.419,-1,192000.0,/mnt/ubna_data_06/recover-20250710/UBNA_011/20250703_190000.WAV,recover-20250710,UBNA_011,Central Pond
HF,64320.0,8.214696029960187,268.0085,268.0242,64140.0,70541.0,Echolocation,Pipistrellus pygmaeus,0.387,0.395,-1,192000.0,/mnt/ubna_data_06/recover-20250710/UBNA_011/20250703_190000.WAV,recover-20250710,UBNA_011,Central Pond
HF,36480.0,-1.6675986037210457,286.0035,286.0078,30625.0,61332.0,Echolocation,Myotis daubentonii,0.272,0.32,-1,192000.0,/mnt/ubna_data_06/recover-20250710/UBNA_011/20250703_190000.WAV,recover-20250710,UBNA_011,Central Pond
HF,38400.0,4.78535257999004,293.5365,293.5406,27187.0,74677.0,Echolocation,Myotis nattereri,0.205,0.341,-1,192000.0,/mnt/ubna_data_06/recover-20250710/UBNA_011/20250703_190000.WAV,recover-20250710,UBNA_011,Central Pond
HF,43200.0,3.8477701670880333,295.5305,295.5348,26328.0,72497.0,Echolocation,Myotis nattereri,0.214,0.335,-1,192000.0,/mnt/ubna_data_06/recover-20250710/UBNA_011/20250703_190000.WAV,recover-20250710,UBNA_011,Central Pond
LF,21120.0,1.8472927030900652,299.6675,299.6731,22890.0,55842.0,Echolocation,Myotis nattereri,0.277,0.324,-1,192000.0,/mnt/ubna_data_06/recover-20250710/UBNA_011/20250703_190000.WAV,recover-20250710,UBNA_011,Central Pond
HF,45120.0,2.789584910407536,278.9845,278.9903,44375.0,49948.0,Echolocation,Pipistrellus pipistrellus,0.286,0.306,-1,192000.0,/mnt/ubna_data_06/recover-20250710/UBNA_011/20250703_191000.WAV,recover-20250710,UBNA_011,Central Pond
HF,45120.0,4.486610245062361,8.8535,8.858,30625.0,68212.0,Echolocation,Myotis daubentonii,0.242,0.323,-1,192000.0,/mnt/ubna_data_06/recover-20250710/UBNA_011/20250703_192000.WAV,recover-20250710,UBNA_011,Central Pond
