,08/02/23,08/03/23,08/04/23,08/05/23,08/06/23,08/07/23,08/08/23,08/09/23
03:00,1,1,1,1,1,1,1,1
03:30,1,1,1,1,1,1,1,1
04:00,153,336,158,132,266,158,217,168
04:30,167,211,29,320,84,61,109,83
05:00,82,421,183,761,59,235,118,250
05:30,176,352,74,1100,140,278,135,288
06:00,129,189,49,269,66,168,214,261
06:30,57,106,236,220,70,71,90,143
07:00,397,109,76,76,144,124,75,527
07:30,194,103,229,179,126,159,485,431
08:00,1432,215,1314,41,96,78,396,293
08:30,55,151,6623,132,36,73,240,105
09:00,326,104,348,119,108,111,524,134
09:30,25,46,1015,261,66,2,447,30
10:00,74,832,11,112,81,1,885,81
10:30,74,41,77,130,26,24,564,65
11:00,675,58,78,141,114,56,119,37
11:30,15,96,53,10,29,32,31,1
12:00,1,1,24,47,30,17,6,73
12:30,1,1,1,1,1,1,1,1
13:00,1,1,1,1,1,1,1,1
