start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,input_file
247.9325,247.9416,28046.0,36985.0,Echolocation,Eptesicus serotinus,0.368,0.551,-1,../../Downloads/20210910_030000_1spad.WAV
248.2165,248.2265,28046.0,38587.0,Echolocation,Eptesicus serotinus,0.396,0.563,-1,../../Downloads/20210910_030000_1spad.WAV
248.3525,248.3628,28046.0,38866.0,Echolocation,Eptesicus serotinus,0.4,0.536,-1,../../Downloads/20210910_030000_1spad.WAV
248.4715,248.4793,27187.0,42625.0,Echolocation,Eptesicus serotinus,0.534,0.757,-1,../../Downloads/20210910_030000_1spad.WAV
248.5905,248.6004,28046.0,37298.0,Echolocation,Eptesicus serotinus,0.358,0.515,-1,../../Downloads/20210910_030000_1spad.WAV
248.8485,248.857,27187.0,37915.0,Echolocation,Eptesicus serotinus,0.433,0.607,-1,../../Downloads/20210910_030000_1spad.WAV
249.0985,249.108,28046.0,37502.0,Echolocation,Eptesicus serotinus,0.384,0.525,-1,../../Downloads/20210910_030000_1spad.WAV
249.2175,249.224,28046.0,41027.0,Echolocation,Eptesicus serotinus,0.556,0.658,-1,../../Downloads/20210910_030000_1spad.WAV
249.2875,249.2949,28906.0,40519.0,Echolocation,Eptesicus serotinus,0.447,0.546,-1,../../Downloads/20210910_030000_1spad.WAV
249.6285,249.6378,28046.0,37484.0,Echolocation,Eptesicus serotinus,0.383,0.54,-1,../../Downloads/20210910_030000_1spad.WAV
249.7335,249.7404,28046.0,42993.0,Echolocation,Eptesicus serotinus,0.578,0.663,-1,../../Downloads/20210910_030000_1spad.WAV
249.8745,249.8813,27187.0,43097.0,Echolocation,Eptesicus serotinus,0.611,0.688,-1,../../Downloads/20210910_030000_1spad.WAV
250.0085,250.0174,25468.0,41235.0,Echolocation,Eptesicus serotinus,0.562,0.683,-1,../../Downloads/20210910_030000_1spad.WAV
250.0805,250.0881,26328.0,44576.0,Echolocation,Eptesicus serotinus,0.453,0.631,-1,../../Downloads/20210910_030000_1spad.WAV
250.1535,250.1634,24609.0,51204.0,Echolocation,Eptesicus serotinus,0.574,0.728,-1,../../Downloads/20210910_030000_1spad.WAV
250.2815,250.2948,23750.0,47790.0,Echolocation,Eptesicus serotinus,0.529,0.725,-1,../../Downloads/20210910_030000_1spad.WAV
250.4485,250.4613,22890.0,38844.0,Echolocation,Eptesicus serotinus,0.403,0.667,-1,../../Downloads/20210910_030000_1spad.WAV
250.5925,250.6063,23750.0,45650.0,Echolocation,Eptesicus serotinus,0.577,0.726,-1,../../Downloads/20210910_030000_1spad.WAV
250.7425,250.7574,22890.0,39498.0,Echolocation,Nyctalus noctula,0.303,0.685,-1,../../Downloads/20210910_030000_1spad.WAV
250.8915,250.908,23750.0,41238.0,Echolocation,Eptesicus serotinus,0.352,0.575,-1,../../Downloads/20210910_030000_1spad.WAV
251.0395,251.0603,22031.0,32693.0,Echolocation,Eptesicus serotinus,0.318,0.557,-1,../../Downloads/20210910_030000_1spad.WAV
251.2965,251.3149,22890.0,36030.0,Echolocation,Nyctalus noctula,0.292,0.59,-1,../../Downloads/20210910_030000_1spad.WAV
251.44650000000001,251.4631,22890.0,33087.0,Echolocation,Nyctalus noctula,0.322,0.628,-1,../../Downloads/20210910_030000_1spad.WAV
251.7185,251.7355,23750.0,38386.0,Echolocation,Nyctalus leisleri,0.29,0.555,-1,../../Downloads/20210910_030000_1spad.WAV
251.8695,251.8844,22890.0,34670.0,Echolocation,Eptesicus serotinus,0.316,0.645,-1,../../Downloads/20210910_030000_1spad.WAV
252.0045,252.0185,23750.0,38035.0,Echolocation,Eptesicus serotinus,0.403,0.625,-1,../../Downloads/20210910_030000_1spad.WAV
252.1235,252.1375,23750.0,36722.0,Echolocation,Nyctalus leisleri,0.24,0.601,-1,../../Downloads/20210910_030000_1spad.WAV
252.2655,252.2806,24609.0,40873.0,Echolocation,Nyctalus leisleri,0.369,0.596,-1,../../Downloads/20210910_030000_1spad.WAV
252.3995,252.4132,23750.0,36821.0,Echolocation,Eptesicus serotinus,0.255,0.646,-1,../../Downloads/20210910_030000_1spad.WAV
252.6505,252.6648,23750.0,39774.0,Echolocation,Nyctalus leisleri,0.42,0.656,-1,../../Downloads/20210910_030000_1spad.WAV
252.7935,252.8068,23750.0,35714.0,Echolocation,Eptesicus serotinus,0.377,0.677,-1,../../Downloads/20210910_030000_1spad.WAV
253.04149999999998,253.0548,23750.0,38966.0,Echolocation,Eptesicus serotinus,0.36,0.682,-1,../../Downloads/20210910_030000_1spad.WAV
253.1825,253.1961,23750.0,38414.0,Echolocation,Eptesicus serotinus,0.538,0.724,-1,../../Downloads/20210910_030000_1spad.WAV
253.3195,253.3321,23750.0,33958.0,Echolocation,Eptesicus serotinus,0.334,0.701,-1,../../Downloads/20210910_030000_1spad.WAV
253.4625,253.4773,23750.0,38390.0,Echolocation,Eptesicus serotinus,0.558,0.7,-1,../../Downloads/20210910_030000_1spad.WAV
253.6105,253.6262,22890.0,36370.0,Echolocation,Eptesicus serotinus,0.524,0.675,-1,../../Downloads/20210910_030000_1spad.WAV
253.7615,253.777,22890.0,33121.0,Echolocation,Eptesicus serotinus,0.36,0.633,-1,../../Downloads/20210910_030000_1spad.WAV
254.0115,254.0281,22890.0,35271.0,Echolocation,Eptesicus serotinus,0.469,0.624,-1,../../Downloads/20210910_030000_1spad.WAV
254.1615,254.1764,22031.0,30415.0,Echolocation,Eptesicus serotinus,0.326,0.652,-1,../../Downloads/20210910_030000_1spad.WAV
254.4265,254.4462,22031.0,33943.0,Echolocation,Eptesicus serotinus,0.396,0.65,-1,../../Downloads/20210910_030000_1spad.WAV
254.58350000000002,254.59629999999999,23750.0,33165.0,Echolocation,Eptesicus serotinus,0.337,0.694,-1,../../Downloads/20210910_030000_1spad.WAV
254.7305,254.7494,22031.0,30484.0,Echolocation,Eptesicus serotinus,0.261,0.549,-1,../../Downloads/20210910_030000_1spad.WAV
254.8775,254.8926,22890.0,32083.0,Echolocation,Eptesicus serotinus,0.364,0.635,-1,../../Downloads/20210910_030000_1spad.WAV
255.0175,255.029,23750.0,31731.0,Echolocation,Nyctalus leisleri,0.389,0.677,-1,../../Downloads/20210910_030000_1spad.WAV
255.1605,255.1747,23750.0,34674.0,Echolocation,Eptesicus serotinus,0.422,0.65,-1,../../Downloads/20210910_030000_1spad.WAV
255.4295,255.4453,22890.0,31657.0,Echolocation,Eptesicus serotinus,0.307,0.535,-1,../../Downloads/20210910_030000_1spad.WAV
255.5955,255.6078,24609.0,30736.0,Echolocation,Nyctalus leisleri,0.379,0.611,-1,../../Downloads/20210910_030000_1spad.WAV
255.8605,255.8757,22890.0,31925.0,Echolocation,Eptesicus serotinus,0.346,0.614,-1,../../Downloads/20210910_030000_1spad.WAV
256.0275,256.041,23750.0,32274.0,Echolocation,Nyctalus leisleri,0.432,0.704,-1,../../Downloads/20210910_030000_1spad.WAV
256.1905,256.2034,23750.0,30393.0,Echolocation,Nyctalus leisleri,0.442,0.708,-1,../../Downloads/20210910_030000_1spad.WAV
256.3355,256.3476,23750.0,30804.0,Echolocation,Nyctalus leisleri,0.398,0.692,-1,../../Downloads/20210910_030000_1spad.WAV
256.4745,256.4867,23750.0,31178.0,Echolocation,Nyctalus leisleri,0.483,0.696,-1,../../Downloads/20210910_030000_1spad.WAV
256.6325,256.6444,23750.0,32692.0,Echolocation,Eptesicus serotinus,0.332,0.696,-1,../../Downloads/20210910_030000_1spad.WAV
256.7835,256.7982,22890.0,28721.0,Echolocation,Nyctalus leisleri,0.235,0.606,-1,../../Downloads/20210910_030000_1spad.WAV
257.0555,257.0701,22890.0,31606.0,Echolocation,Eptesicus serotinus,0.346,0.624,-1,../../Downloads/20210910_030000_1spad.WAV
257.2265,257.2382,23750.0,29888.0,Echolocation,Nyctalus leisleri,0.277,0.61,-1,../../Downloads/20210910_030000_1spad.WAV
257.4985,257.5124,22031.0,30124.0,Echolocation,Eptesicus serotinus,0.348,0.593,-1,../../Downloads/20210910_030000_1spad.WAV
257.7765,257.7915,22031.0,28072.0,Echolocation,Nyctalus leisleri,0.205,0.527,-1,../../Downloads/20210910_030000_1spad.WAV
257.9625,257.9751,22890.0,29821.0,Echolocation,Nyctalus leisleri,0.323,0.654,-1,../../Downloads/20210910_030000_1spad.WAV
258.2315,258.2458,22031.0,29000.0,Echolocation,Eptesicus serotinus,0.266,0.626,-1,../../Downloads/20210910_030000_1spad.WAV
258.3965,258.40930000000003,23750.0,29772.0,Echolocation,Nyctalus leisleri,0.382,0.639,-1,../../Downloads/20210910_030000_1spad.WAV
259.3155,259.3264,24609.0,31119.0,Echolocation,Nyctalus leisleri,0.328,0.643,-1,../../Downloads/20210910_030000_1spad.WAV
259.8625,259.8726,24609.0,30695.0,Echolocation,Eptesicus serotinus,0.233,0.558,-1,../../Downloads/20210910_030000_1spad.WAV
260.0915,260.10360000000003,23750.0,30988.0,Echolocation,Nyctalus leisleri,0.329,0.614,-1,../../Downloads/20210910_030000_1spad.WAV
463.5625,463.5778,21171.0,26918.0,Echolocation,Nyctalus noctula,0.27,0.502,-1,../../Downloads/20210910_030000_1spad.WAV
464.4515,464.471,21171.0,26931.0,Echolocation,Nyctalus noctula,0.356,0.567,-1,../../Downloads/20210910_030000_1spad.WAV
464.6155,464.6324,22031.0,28255.0,Echolocation,Eptesicus serotinus,0.198,0.542,-1,../../Downloads/20210910_030000_1spad.WAV
464.8635,464.8756,22031.0,27947.0,Echolocation,Nyctalus noctula,0.315,0.59,-1,../../Downloads/20210910_030000_1spad.WAV
465.2325,465.2486,21171.0,27144.0,Echolocation,Nyctalus noctula,0.212,0.502,-1,../../Downloads/20210910_030000_1spad.WAV
466.2535,466.2666,22031.0,29078.0,Echolocation,Eptesicus serotinus,0.199,0.565,-1,../../Downloads/20210910_030000_1spad.WAV
466.5055,466.5187,21171.0,27416.0,Echolocation,Nyctalus noctula,0.371,0.593,-1,../../Downloads/20210910_030000_1spad.WAV
466.6835,466.6957,22890.0,28174.0,Echolocation,Nyctalus leisleri,0.289,0.575,-1,../../Downloads/20210910_030000_1spad.WAV
467.10450000000003,467.1201,22031.0,25920.0,Echolocation,Nyctalus leisleri,0.388,0.508,-1,../../Downloads/20210910_030000_1spad.WAV
468.16949999999997,468.1818,21171.0,28462.0,Echolocation,Nyctalus noctula,0.249,0.579,-1,../../Downloads/20210910_030000_1spad.WAV
469.1005,469.11469999999997,21171.0,26500.0,Echolocation,Nyctalus noctula,0.356,0.541,-1,../../Downloads/20210910_030000_1spad.WAV
469.2795,469.2957,21171.0,28375.0,Echolocation,Nyctalus noctula,0.37,0.658,-1,../../Downloads/20210910_030000_1spad.WAV
469.7115,469.7253,21171.0,28437.0,Echolocation,Eptesicus serotinus,0.287,0.592,-1,../../Downloads/20210910_030000_1spad.WAV
471.1475,471.1581,21171.0,28068.0,Echolocation,Nyctalus noctula,0.301,0.54,-1,../../Downloads/20210910_030000_1spad.WAV
471.3695,471.3829,21171.0,28241.0,Echolocation,Eptesicus serotinus,0.331,0.614,-1,../../Downloads/20210910_030000_1spad.WAV
471.6355,471.6535,21171.0,26514.0,Echolocation,Nyctalus noctula,0.299,0.533,-1,../../Downloads/20210910_030000_1spad.WAV
472.2105,472.2244,21171.0,27805.0,Echolocation,Nyctalus noctula,0.297,0.586,-1,../../Downloads/20210910_030000_1spad.WAV
473.0455,473.0562,20312.0,27398.0,Echolocation,Eptesicus serotinus,0.21,0.534,-1,../../Downloads/20210910_030000_1spad.WAV
474.4005,474.4115,22031.0,28771.0,Echolocation,Nyctalus noctula,0.275,0.621,-1,../../Downloads/20210910_030000_1spad.WAV
577.0775,577.0969,22031.0,28151.0,Echolocation,Nyctalus noctula,0.181,0.514,-1,../../Downloads/20210910_030000_1spad.WAV
577.8455,577.8652,21171.0,27848.0,Echolocation,Nyctalus noctula,0.366,0.6,-1,../../Downloads/20210910_030000_1spad.WAV
578.1175,578.1394,21171.0,26788.0,Echolocation,Nyctalus noctula,0.368,0.561,-1,../../Downloads/20210910_030000_1spad.WAV
578.3725,578.3935,21171.0,27604.0,Echolocation,Nyctalus noctula,0.386,0.601,-1,../../Downloads/20210910_030000_1spad.WAV
578.6515,578.6745,21171.0,27171.0,Echolocation,Nyctalus noctula,0.467,0.623,-1,../../Downloads/20210910_030000_1spad.WAV
578.9035,578.9241,21171.0,27307.0,Echolocation,Nyctalus noctula,0.513,0.66,-1,../../Downloads/20210910_030000_1spad.WAV
579.1845,579.2039,21171.0,26275.0,Echolocation,Nyctalus noctula,0.374,0.582,-1,../../Downloads/20210910_030000_1spad.WAV
579.4365,579.4589,20312.0,27966.0,Echolocation,Nyctalus noctula,0.507,0.676,-1,../../Downloads/20210910_030000_1spad.WAV
579.7135,579.7346,21171.0,26714.0,Echolocation,Nyctalus noctula,0.326,0.537,-1,../../Downloads/20210910_030000_1spad.WAV
579.9705,579.9905,21171.0,28179.0,Echolocation,Nyctalus noctula,0.552,0.695,-1,../../Downloads/20210910_030000_1spad.WAV
580.2145,580.2329,21171.0,27805.0,Echolocation,Nyctalus noctula,0.348,0.593,-1,../../Downloads/20210910_030000_1spad.WAV
580.4655,580.4894,21171.0,27924.0,Echolocation,Nyctalus noctula,0.331,0.54,-1,../../Downloads/20210910_030000_1spad.WAV
580.7555,580.7782,20312.0,26991.0,Echolocation,Nyctalus noctula,0.504,0.619,-1,../../Downloads/20210910_030000_1spad.WAV
581.0335,581.0548,21171.0,27690.0,Echolocation,Nyctalus noctula,0.367,0.574,-1,../../Downloads/20210910_030000_1spad.WAV
581.3015,581.319,21171.0,27841.0,Echolocation,Nyctalus noctula,0.39,0.627,-1,../../Downloads/20210910_030000_1spad.WAV
581.5565,581.5764,22031.0,28004.0,Echolocation,Nyctalus noctula,0.319,0.519,-1,../../Downloads/20210910_030000_1spad.WAV
581.8465,581.8684,21171.0,27653.0,Echolocation,Nyctalus noctula,0.36,0.514,-1,../../Downloads/20210910_030000_1spad.WAV
582.1245,582.147,21171.0,28538.0,Echolocation,Nyctalus noctula,0.443,0.593,-1,../../Downloads/20210910_030000_1spad.WAV
582.3675,582.391,21171.0,28373.0,Echolocation,Nyctalus noctula,0.368,0.527,-1,../../Downloads/20210910_030000_1spad.WAV
