start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,input_file
14.2345,14.2518,24609,26791,Nyctalus leisleri,0.586,0.634,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_30.wav
14.9675,14.9792,25468,30248,Nyctalus leisleri,0.47,0.586,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_30.wav
15.1465,15.1588,25468,30370,Nyctalus leisleri,0.509,0.658,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_30.wav
15.3275,15.3434,24609,28630,Nyctalus leisleri,0.549,0.637,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_30.wav
15.5355,15.5475,25468,29924,Nyctalus leisleri,0.526,0.616,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_30.wav
16.5415,16.5551,24609,29043,Nyctalus leisleri,0.408,0.535,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_30.wav
17.9235,17.9377,23750,29015,Nyctalus leisleri,0.523,0.651,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_30.wav
20.0755,20.0913,24609,28545,Nyctalus leisleri,0.547,0.624,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_30.wav
20.2505,20.2649,25468,29686,Nyctalus leisleri,0.473,0.588,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_30.wav
20.6215,20.6358,24609,29474,Nyctalus leisleri,0.436,0.611,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_30.wav
20.8965,20.9125,23750,29060,Nyctalus leisleri,0.562,0.655,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_30.wav
21.1545,21.1702,24609,29119,Nyctalus leisleri,0.492,0.624,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_30.wav
21.5505,21.5647,24609,29224,Nyctalus leisleri,0.525,0.633,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_30.wav
21.8345,21.8496,24609,28695,Nyctalus leisleri,0.558,0.669,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_30.wav
22.0945,22.11,24609,29208,Nyctalus leisleri,0.533,0.64,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_30.wav
