start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,input_file
0.1025,0.1123,27187,39456,Eptesicus serotinus,0.487,0.72,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_14.wav
0.2025,0.2146,24609,29917,Nyctalus leisleri,0.453,0.589,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_14.wav
0.2285,0.2381,27187,35706,Nyctalus leisleri,0.391,0.704,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_14.wav
0.3395,0.3497,26328,33312,Nyctalus leisleri,0.354,0.568,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_14.wav
0.3615,0.3712,27187,40878,Eptesicus serotinus,0.446,0.749,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_14.wav
0.4505,0.4605,25468,33462,Eptesicus serotinus,0.259,0.52,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_14.wav
0.4815,0.4914,27187,43821,Eptesicus serotinus,0.496,0.764,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_14.wav
0.5945,0.6053,25468,38271,Eptesicus serotinus,0.3,0.601,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_14.wav
0.7335,0.7441,27187,36053,Eptesicus serotinus,0.328,0.697,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_14.wav
0.8725,0.8821,27187,41978,Eptesicus serotinus,0.474,0.732,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_14.wav
0.9945,1.0054,27187,44635,Eptesicus serotinus,0.441,0.661,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_14.wav
1.1245,1.1344,26328,41642,Eptesicus serotinus,0.38,0.618,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_14.wav
1.2535,1.2634,27187,35605,Nyctalus leisleri,0.372,0.677,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_14.wav
1.3935,1.402,27187,41193,Eptesicus serotinus,0.483,0.731,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_14.wav
1.5255,1.536,27187,35874,Eptesicus serotinus,0.324,0.675,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_14.wav
1.6665,1.676,27187,40820,Eptesicus serotinus,0.414,0.738,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_14.wav
1.8025,1.8134,26328,33111,Nyctalus leisleri,0.415,0.645,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_14.wav
1.9445,1.9554,27187,38070,Eptesicus serotinus,0.381,0.676,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_14.wav
2.1025,2.1143,26328,31960,Nyctalus leisleri,0.424,0.573,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_14.wav
2.1605,2.172,25468,31444,Nyctalus leisleri,0.288,0.506,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_14.wav
2.2535,2.2666,25468,39446,Eptesicus serotinus,0.587,0.682,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_14.wav
2.4045,2.4167,25468,34691,Eptesicus serotinus,0.389,0.649,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_14.wav
2.5005,2.5123,25468,31814,Nyctalus leisleri,0.445,0.65,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_14.wav
2.5525,2.5651,26328,34675,Eptesicus serotinus,0.322,0.584,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_14.wav
2.7075,2.7211,25468,34967,Eptesicus serotinus,0.389,0.572,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_14.wav
2.8845,2.8969,25468,31544,Nyctalus leisleri,0.393,0.603,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_14.wav
2.9745,2.9891,25468,32567,Eptesicus serotinus,0.262,0.554,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_14.wav
3.1285,3.1435,24609,35591,Eptesicus serotinus,0.405,0.606,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_14.wav
3.2825,3.2929,27187,32985,Nyctalus leisleri,0.32,0.528,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_14.wav
3.4045,3.4174,25468,30701,Nyctalus leisleri,0.441,0.6,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_14.wav
3.5695,3.5841,24609,30926,Nyctalus leisleri,0.36,0.619,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_14.wav
3.8405,3.854,24609,31271,Nyctalus leisleri,0.405,0.648,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_14.wav
3.9115,3.9232,24609,31152,Nyctalus leisleri,0.444,0.577,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_14.wav
3.9805,3.9923,25468,32119,Nyctalus leisleri,0.268,0.556,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_14.wav
4.0465,4.058,25468,31330,Nyctalus leisleri,0.503,0.663,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_14.wav
4.2055,4.2161,25468,31764,Nyctalus leisleri,0.271,0.53,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_14.wav
4.2985,4.3115,25468,30895,Nyctalus leisleri,0.384,0.549,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_14.wav
4.3695,4.3811,25468,33694,Nyctalus leisleri,0.338,0.648,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_14.wav
4.5275,4.5382,24609,31641,Nyctalus leisleri,0.488,0.651,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_14.wav
4.6745,4.6875,23750,31838,Nyctalus leisleri,0.288,0.595,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_14.wav
4.7245,4.7371,26328,30787,Nyctalus leisleri,0.435,0.573,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_14.wav
4.8415,4.8535,24609,32723,Nyctalus leisleri,0.302,0.589,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_14.wav
5.1705,5.1823,23750,31015,Nyctalus leisleri,0.417,0.678,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_14.wav
5.3295,5.3415,24609,30241,Nyctalus leisleri,0.267,0.507,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_14.wav
13.1475,13.1592,26328,30985,Nyctalus leisleri,0.357,0.515,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_14.wav
13.7155,13.7265,25468,30845,Nyctalus leisleri,0.442,0.605,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_14.wav
13.8545,13.8673,25468,29921,Nyctalus leisleri,0.448,0.553,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_14.wav
14.2535,14.2651,24609,31337,Nyctalus leisleri,0.381,0.618,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_14.wav
14.9995,15.0112,25468,30777,Nyctalus leisleri,0.44,0.576,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_14.wav
15.1445,15.1555,23750,30701,Nyctalus leisleri,0.392,0.649,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_14.wav
15.4795,15.4917,24609,31021,Nyctalus leisleri,0.347,0.585,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_14.wav
15.6455,15.6574,23750,32134,Eptesicus serotinus,0.356,0.64,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_14.wav
15.8445,15.8575,23750,31557,Nyctalus leisleri,0.357,0.642,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_14.wav
15.9535,15.9643,25468,32602,Nyctalus leisleri,0.384,0.641,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_14.wav
