start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,input_file
0.0925,0.1047,24609,31216,Nyctalus leisleri,0.349,0.558,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_21.wav
0.2685,0.2816,23750,28765,Nyctalus leisleri,0.48,0.587,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_21.wav
0.3755,0.3881,23750,31181,Nyctalus leisleri,0.372,0.633,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_21.wav
0.6005,0.6126,24609,33618,Eptesicus serotinus,0.387,0.593,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_21.wav
0.8185,0.8311,25468,32042,Nyctalus leisleri,0.382,0.604,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_21.wav
0.9515,0.9652,24609,29078,Nyctalus leisleri,0.408,0.52,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_21.wav
1.0535,1.0645,25468,32319,Nyctalus leisleri,0.276,0.546,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_21.wav
1.1275,1.1414,23750,29655,Nyctalus leisleri,0.413,0.559,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_21.wav
1.1985,1.2118,25468,34622,Eptesicus serotinus,0.418,0.614,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_21.wav
1.4305,1.4426,25468,32781,Nyctalus leisleri,0.306,0.595,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_21.wav
1.5445,1.5546,26328,33410,Nyctalus leisleri,0.323,0.599,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_21.wav
1.6485,1.6591,26328,34423,Nyctalus leisleri,0.334,0.609,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_21.wav
1.7645,1.7753,25468,34799,Eptesicus serotinus,0.36,0.655,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_21.wav
1.8805,1.8913,26328,32355,Nyctalus leisleri,0.315,0.503,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_21.wav
1.9875,1.9987,25468,35624,Eptesicus serotinus,0.354,0.573,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_21.wav
2.3375,2.3519,23750,36068,Eptesicus serotinus,0.506,0.642,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_21.wav
2.5755,2.5902,23750,34555,Eptesicus serotinus,0.362,0.641,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_21.wav
2.8165,2.8307,23750,33265,Eptesicus serotinus,0.299,0.59,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_21.wav
3.0715,3.083,23750,30215,Nyctalus leisleri,0.419,0.634,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_21.wav
