date_and_time_UTC,num_of_detections,HF2_num_of_detections,HF1_num_of_detections,LF1_num_of_detections
2023-06-06 03:00:00+00:00,1,1,1,1
2023-06-06 03:30:00+00:00,1,1,1,1
2023-06-06 04:00:00+00:00,1,1,1,1
2023-06-06 04:30:00+00:00,372,42,33,295
2023-06-06 05:00:00+00:00,72,38,13,21
2023-06-06 05:30:00+00:00,95,1,1,95
2023-06-06 06:00:00+00:00,3,1,1,3
2023-06-06 06:30:00+00:00,14,8,1,5
2023-06-06 07:00:00+00:00,15,4,1,11
2023-06-06 07:30:00+00:00,23,12,1,11
2023-06-06 08:00:00+00:00,6,1,2,4
2023-06-06 08:30:00+00:00,24,22,1,1
2023-06-06 09:00:00+00:00,4,1,4,1
2023-06-06 09:30:00+00:00,1,1,1,1
2023-06-06 10:00:00+00:00,1,1,1,1
2023-06-06 10:30:00+00:00,5,1,4,1
2023-06-06 11:00:00+00:00,3,3,1,1
2023-06-06 11:30:00+00:00,1,1,1,1
2023-06-06 12:00:00+00:00,1,1,1,1
2023-06-06 12:30:00+00:00,1,1,1,1
2023-06-06 13:00:00+00:00,1,1,1,1
2023-06-07 03:00:00+00:00,1,1,1,1
2023-06-07 03:30:00+00:00,1,1,1,1
2023-06-07 04:00:00+00:00,1,1,1,1
2023-06-07 04:30:00+00:00,19,1,1,19
2023-06-07 05:00:00+00:00,35,12,1,23
2023-06-07 05:30:00+00:00,3,1,1,3
2023-06-07 06:00:00+00:00,9,1,1,9
2023-06-07 06:30:00+00:00,5,3,1,2
2023-06-07 07:00:00+00:00,3,1,1,3
2023-06-07 07:30:00+00:00,1,1,1,1
2023-06-07 08:00:00+00:00,1,1,1,1
2023-06-07 08:30:00+00:00,23,1,1,23
2023-06-07 09:00:00+00:00,14,14,1,1
2023-06-07 09:30:00+00:00,16,16,1,1
2023-06-07 10:00:00+00:00,1,1,1,1
2023-06-07 10:30:00+00:00,18,9,9,1
2023-06-07 11:00:00+00:00,2,2,1,1
2023-06-07 11:30:00+00:00,1,1,1,1
2023-06-07 12:00:00+00:00,1,1,1,1
2023-06-07 12:30:00+00:00,1,1,1,1
2023-06-07 13:00:00+00:00,1,1,1,1
2023-06-08 03:00:00+00:00,1,1,1,1
2023-06-08 03:30:00+00:00,1,1,1,1
2023-06-08 04:00:00+00:00,1,1,1,1
2023-06-08 04:30:00+00:00,41,1,1,41
2023-06-08 05:00:00+00:00,51,1,23,27
2023-06-08 05:30:00+00:00,29,1,1,28
2023-06-08 06:00:00+00:00,15,1,1,15
2023-06-08 06:30:00+00:00,107,1,1,107
2023-06-08 07:00:00+00:00,347,337,5,1
2023-06-08 07:30:00+00:00,16,1,1,16
2023-06-08 08:00:00+00:00,782,569,153,50
2023-06-08 08:30:00+00:00,3158,272,2850,36
2023-06-08 09:00:00+00:00,2125,115,1871,137
2023-06-08 09:30:00+00:00,2374,554,1800,7
2023-06-08 10:00:00+00:00,5023,2980,1984,19
2023-06-08 10:30:00+00:00,1186,308,866,12
2023-06-08 11:00:00+00:00,1687,1607,6,1
2023-06-08 11:30:00+00:00,391,381,1,1
2023-06-08 12:00:00+00:00,1,1,1,1
2023-06-08 12:30:00+00:00,1,1,1,1
2023-06-08 13:00:00+00:00,1,1,1,1
2023-06-09 03:00:00+00:00,1,1,1,1
2023-06-09 03:30:00+00:00,1,1,1,1
2023-06-09 04:00:00+00:00,1,1,1,1
2023-06-09 04:30:00+00:00,54,8,8,38
2023-06-09 05:00:00+00:00,99,8,21,70
2023-06-09 05:30:00+00:00,977,750,104,121
2023-06-09 06:00:00+00:00,1358,446,764,148
2023-06-09 06:30:00+00:00,902,492,267,139
2023-06-09 07:00:00+00:00,293,213,48,28
2023-06-09 07:30:00+00:00,607,194,379,34
2023-06-09 08:00:00+00:00,51,7,30,14
2023-06-09 08:30:00+00:00,776,87,681,8
2023-06-09 09:00:00+00:00,1153,575,567,10
2023-06-09 09:30:00+00:00,1882,708,1173,1
2023-06-09 10:00:00+00:00,1304,471,822,10
2023-06-09 10:30:00+00:00,185,77,101,6
2023-06-09 11:00:00+00:00,104,104,1,1
2023-06-09 11:30:00+00:00,14,14,1,1
2023-06-09 12:00:00+00:00,1,1,1,1
2023-06-09 12:30:00+00:00,1,1,1,1
2023-06-09 13:00:00+00:00,1,1,1,1
