start_time,end_time,low_freq,high_freq,event,detection_confidence,input_file
15.6175,15.6227,40937.0,53013.0,Echolocation,0.519,20220826_070000.WAV
15.8325,15.8387,40078.0,51058.0,Echolocation,0.545,20220826_070000.WAV
16.0445,16.0513,39218.0,52153.0,Echolocation,0.578,20220826_070000.WAV
16.2575,16.2655,40078.0,52592.0,Echolocation,0.606,20220826_070000.WAV
16.3605,16.3678,40937.0,50891.0,Echolocation,0.533,20220826_070000.WAV
16.4645,16.473,40078.0,55296.0,Echolocation,0.643,20220826_070000.WAV
16.6835,16.6906,40078.0,56652.0,Echolocation,0.675,20220826_070000.WAV
16.9015,16.9089,40078.0,56260.0,Echolocation,0.613,20220826_070000.WAV
16.9735,16.9805,40078.0,57121.0,Echolocation,0.606,20220826_070000.WAV
17.0425,17.0492,40078.0,56572.0,Echolocation,0.575,20220826_070000.WAV
18.1885,18.1944,40078.0,59353.0,Echolocation,0.505,20220826_070000.WAV
18.7565,18.7643,39218.0,65328.0,Echolocation,0.511,20220826_070000.WAV
19.0495,19.0564,38359.0,59850.0,Echolocation,0.525,20220826_070000.WAV
19.1435,19.1511,40078.0,64803.0,Echolocation,0.526,20220826_070000.WAV
19.3525,19.3612,40078.0,63747.0,Echolocation,0.503,20220826_070000.WAV
19.9555,19.964,40078.0,60974.0,Echolocation,0.547,20220826_070000.WAV
20.0305,20.0374,34921.0,50866.0,Echolocation,0.525,20220826_070000.WAV
20.3655,20.3723,40078.0,55403.0,Echolocation,0.516,20220826_070000.WAV
20.5535,20.5604,38359.0,51743.0,Echolocation,0.522,20220826_070000.WAV
20.6445,20.6518,39218.0,58053.0,Echolocation,0.561,20220826_070000.WAV
20.7465,20.7546,38359.0,60415.0,Echolocation,0.566,20220826_070000.WAV
21.0375,21.0463,39218.0,60925.0,Echolocation,0.509,20220826_070000.WAV
21.2415,21.2506,40078.0,54113.0,Echolocation,0.663,20220826_070000.WAV
21.4525,21.4598,38359.0,51742.0,Echolocation,0.525,20220826_070000.WAV
22.5225,22.5295,40078.0,66093.0,Echolocation,0.534,20220826_070000.WAV
22.7075,22.7143,41796.0,60571.0,Echolocation,0.573,20220826_070000.WAV
23.0025,23.0094,40078.0,65977.0,Echolocation,0.575,20220826_070000.WAV
23.2835,23.2912,40937.0,66077.0,Echolocation,0.556,20220826_070000.WAV
25.0145,25.022,40937.0,68098.0,Echolocation,0.597,20220826_070000.WAV
25.1915,25.1983,39218.0,63732.0,Echolocation,0.592,20220826_070000.WAV
25.2795,25.2861,37500.0,58882.0,Echolocation,0.549,20220826_070000.WAV
25.3715,25.3782,39218.0,65757.0,Echolocation,0.544,20220826_070000.WAV
25.4665,25.4734,40078.0,57722.0,Echolocation,0.604,20220826_070000.WAV
25.5675,25.5738,39218.0,63925.0,Echolocation,0.533,20220826_070000.WAV
25.7755,25.7822,38359.0,61878.0,Echolocation,0.547,20220826_070000.WAV
25.8815,25.8906,40078.0,54792.0,Echolocation,0.603,20220826_070000.WAV
25.9845,25.9924,39218.0,59739.0,Echolocation,0.645,20220826_070000.WAV
26.0855,26.0933,38359.0,52241.0,Echolocation,0.556,20220826_070000.WAV
26.1845,26.1915,38359.0,51585.0,Echolocation,0.5,20220826_070000.WAV
26.2785,26.2866,39218.0,58700.0,Echolocation,0.501,20220826_070000.WAV
26.3935,26.4023,39218.0,62839.0,Echolocation,0.55,20220826_070000.WAV
26.4855,26.4932,38359.0,53684.0,Echolocation,0.569,20220826_070000.WAV
26.6655,26.6731,38359.0,56449.0,Echolocation,0.543,20220826_070000.WAV
28.0355,28.0421,40937.0,70241.0,Echolocation,0.502,20220826_070000.WAV
28.3155,28.3226,39218.0,69493.0,Echolocation,0.53,20220826_070000.WAV
28.7885,28.7953,39218.0,67440.0,Echolocation,0.525,20220826_070000.WAV
28.8835,28.8903,40937.0,63684.0,Echolocation,0.502,20220826_070000.WAV
29.2775,29.2838,40078.0,65717.0,Echolocation,0.541,20220826_070000.WAV
29.7865,29.7941,39218.0,66925.0,Echolocation,0.546,20220826_070000.WAV
30.5995,30.6044,40078.0,60656.0,Echolocation,0.527,20220826_070000.WAV
30.7795,30.7853,40078.0,59892.0,Echolocation,0.587,20220826_070000.WAV
30.8545,30.8595,40078.0,58174.0,Echolocation,0.547,20220826_070000.WAV
135.0225,135.0286,48671.0,59133.0,Echolocation,0.505,20220826_070000.WAV
135.2985,135.3056,46953.0,56153.0,Echolocation,0.581,20220826_070000.WAV
135.3925,135.3993,47812.0,59028.0,Echolocation,0.661,20220826_070000.WAV
135.4915,135.4978,46093.0,58564.0,Echolocation,0.553,20220826_070000.WAV
135.58350000000002,135.5901,47812.0,56933.0,Echolocation,0.651,20220826_070000.WAV
135.67849999999999,135.6858,47812.0,60505.0,Echolocation,0.608,20220826_070000.WAV
135.7765,135.7839,47812.0,58805.0,Echolocation,0.667,20220826_070000.WAV
135.8805,135.8909,46093.0,58288.0,Echolocation,0.631,20220826_070000.WAV
135.9785,135.989,46953.0,60629.0,Echolocation,0.534,20220826_070000.WAV
136.0765,136.0856,46953.0,57219.0,Echolocation,0.594,20220826_070000.WAV
136.1735,136.1817,46093.0,59696.0,Echolocation,0.597,20220826_070000.WAV
136.2705,136.2794,46953.0,59002.0,Echolocation,0.582,20220826_070000.WAV
136.3735,136.3815,46093.0,57832.0,Echolocation,0.552,20220826_070000.WAV
136.4665,136.4754,46953.0,59275.0,Echolocation,0.614,20220826_070000.WAV
136.7605,136.7689,46953.0,59357.0,Echolocation,0.567,20220826_070000.WAV
136.9495,136.95929999999998,44375.0,65955.0,Echolocation,0.56,20220826_070000.WAV
137.1385,137.147,45234.0,64828.0,Echolocation,0.63,20220826_070000.WAV
137.2395,137.2483,45234.0,63642.0,Echolocation,0.613,20220826_070000.WAV
137.3565,137.36520000000002,45234.0,58893.0,Echolocation,0.654,20220826_070000.WAV
137.5205,137.5303,46093.0,65045.0,Echolocation,0.62,20220826_070000.WAV
137.6225,137.6325,45234.0,61040.0,Echolocation,0.561,20220826_070000.WAV
137.72050000000002,137.7312,45234.0,66040.0,Echolocation,0.55,20220826_070000.WAV
137.8265,137.8344,45234.0,60458.0,Echolocation,0.651,20220826_070000.WAV
137.91649999999998,137.9255,46093.0,65945.0,Echolocation,0.614,20220826_070000.WAV
138.0145,138.0202,46093.0,64635.0,Echolocation,0.624,20220826_070000.WAV
138.1025,138.1086,46093.0,67648.0,Echolocation,0.621,20220826_070000.WAV
138.19650000000001,138.2017,46953.0,61525.0,Echolocation,0.601,20220826_070000.WAV
138.3705,138.3761,46093.0,66055.0,Echolocation,0.717,20220826_070000.WAV
138.4655,138.4712,46953.0,56701.0,Echolocation,0.653,20220826_070000.WAV
138.5595,138.56380000000001,48671.0,62167.0,Echolocation,0.661,20220826_070000.WAV
138.83350000000002,138.8396,49531.0,62239.0,Echolocation,0.582,20220826_070000.WAV
139.0105,139.0152,47812.0,63386.0,Echolocation,0.681,20220826_070000.WAV
139.1765,139.1814,46953.0,62333.0,Echolocation,0.583,20220826_070000.WAV
139.2985,139.3036,46953.0,60059.0,Echolocation,0.512,20220826_070000.WAV
139.4535,139.4586,45234.0,66567.0,Echolocation,0.616,20220826_070000.WAV
139.5595,139.56459999999998,46953.0,58185.0,Echolocation,0.537,20220826_070000.WAV
291.1995,291.205,46953.0,59271.0,Echolocation,0.591,20220826_070000.WAV
291.3845,291.3916,45234.0,54441.0,Echolocation,0.534,20220826_070000.WAV
291.5765,291.5817,45234.0,61589.0,Echolocation,0.693,20220826_070000.WAV
291.64549999999997,291.6538,46953.0,55700.0,Echolocation,0.551,20220826_070000.WAV
291.7085,291.7153,46953.0,58397.0,Echolocation,0.555,20220826_070000.WAV
291.7795,291.7854,47812.0,57803.0,Echolocation,0.595,20220826_070000.WAV
291.8645,291.8709,45234.0,61585.0,Echolocation,0.598,20220826_070000.WAV
484.7385,484.7463,46953.0,55251.0,Echolocation,0.536,20220826_070000.WAV
485.5095,485.5153,48671.0,57920.0,Echolocation,0.527,20220826_070000.WAV
546.9205,546.927,43515.0,59808.0,Echolocation,0.521,20220826_070000.WAV
547.1385,547.1455,43515.0,53917.0,Echolocation,0.586,20220826_070000.WAV
547.2425,547.2515,42656.0,63551.0,Echolocation,0.594,20220826_070000.WAV
547.3485,547.355,43515.0,50600.0,Echolocation,0.519,20220826_070000.WAV
547.4515,547.4599,42656.0,58428.0,Echolocation,0.508,20220826_070000.WAV
547.5515,547.5589,43515.0,54107.0,Echolocation,0.606,20220826_070000.WAV
547.7525,547.7591,41796.0,53575.0,Echolocation,0.611,20220826_070000.WAV
547.9715,547.9785,42656.0,55521.0,Echolocation,0.564,20220826_070000.WAV
548.1675,548.1755,40078.0,49704.0,Echolocation,0.535,20220826_070000.WAV
548.4885,548.4974,41796.0,55548.0,Echolocation,0.514,20220826_070000.WAV
548.8845,548.8929,41796.0,53771.0,Echolocation,0.542,20220826_070000.WAV
549.1915,549.1992,42656.0,52470.0,Echolocation,0.542,20220826_070000.WAV
