KMEANS_CLASSES,peak_frequency,SNR,start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,sampling_rate,input_file,Recover Folder,SD Card,Site name
LF,20160.0,8.784168619457171,56.6525,56.6774,17734.0,20584.0,Echolocation,Nyctalus noctula,0.183,0.241,-1,192000.0,/mnt/ubna_data_05/recover-20250317/UBNA_030/20250310_171000.WAV,recover-20250317,UBNA_030,E18 Bridge
LF,24960.0,-1.35928921245298,137.7545,137.7714,23750.0,28431.0,Echolocation,Nyctalus leisleri,0.108,0.208,-1,192000.0,/mnt/ubna_data_05/recover-20250317/UBNA_030/20250310_171000.WAV,recover-20250317,UBNA_030,E18 Bridge
HF,40320.0,5.9960007438440135,220.0015,220.0056,31484.0,56891.0,Echolocation,Myotis daubentonii,0.11,0.303,-1,192000.0,/mnt/ubna_data_05/recover-20250317/UBNA_030/20250310_173000.WAV,recover-20250317,UBNA_030,E18 Bridge
LF,18240.0,10.031147468204578,47.6085,47.6334,18593.0,21636.0,Echolocation,Nyctalus noctula,0.196,0.284,-1,192000.0,/mnt/ubna_data_05/recover-20250317/UBNA_030/20250310_174000.WAV,recover-20250317,UBNA_030,E18 Bridge
LF,25920.0,2.007886313200639,221.44650000000001,221.4511,22890.0,36559.0,Echolocation,Plecotus austriacus,0.131,0.26,-1,192000.0,/mnt/ubna_data_05/recover-20250317/UBNA_030/20250310_174000.WAV,recover-20250317,UBNA_030,E18 Bridge
LF,24000.0,-1.3600628424856143,11.3875,11.3978,24609.0,31028.0,Echolocation,Eptesicus serotinus,0.121,0.246,-1,192000.0,/mnt/ubna_data_05/recover-20250317/UBNA_030/20250310_175000.WAV,recover-20250317,UBNA_030,E18 Bridge
LF,18240.0,1.6691061885814384,111.1795,111.20439999999999,18593.0,21642.0,Echolocation,Nyctalus noctula,0.167,0.238,-1,192000.0,/mnt/ubna_data_05/recover-20250317/UBNA_030/20250310_180000.WAV,recover-20250317,UBNA_030,E18 Bridge
LF,20160.0,-1.1860781220941812,126.0115,126.0322,18593.0,22349.0,Echolocation,Nyctalus noctula,0.129,0.202,-1,192000.0,/mnt/ubna_data_05/recover-20250317/UBNA_030/20250310_180000.WAV,recover-20250317,UBNA_030,E18 Bridge
LF,24000.0,1.2912058417840298,178.17849999999999,178.1922,23750.0,28441.0,Echolocation,Nyctalus leisleri,0.11,0.239,-1,192000.0,/mnt/ubna_data_05/recover-20250317/UBNA_030/20250310_180000.WAV,recover-20250317,UBNA_030,E18 Bridge
LF,29760.0,0.68990505048746,9.3335,9.3428,28046.0,35384.0,Echolocation,Eptesicus serotinus,0.158,0.231,-1,192000.0,/mnt/ubna_data_05/recover-20250317/UBNA_030/20250310_181000.WAV,recover-20250317,UBNA_030,E18 Bridge
LF,26880.0,0.7427531155223542,62.3785,62.3927,26328.0,31156.0,Echolocation,Nyctalus leisleri,0.119,0.219,-1,192000.0,/mnt/ubna_data_05/recover-20250317/UBNA_030/20250310_181000.WAV,recover-20250317,UBNA_030,E18 Bridge
LF,19200.0,8.321123408399409,279.7325,279.7378,16875.0,33298.0,Echolocation,Plecotus auritus,0.164,0.24,-1,192000.0,/mnt/ubna_data_05/recover-20250317/UBNA_030/20250310_181000.WAV,recover-20250317,UBNA_030,E18 Bridge
LF,19200.0,13.775201471341848,0.3955,0.407,13437.0,20656.0,Echolocation,Eptesicus serotinus,0.071,0.211,-1,192000.0,/mnt/ubna_data_05/recover-20250317/UBNA_030/20250310_182000.WAV,recover-20250317,UBNA_030,E18 Bridge
LF,30720.0,0.4092958757820516,244.5425,244.5593,28906.0,32520.0,Echolocation,Nyctalus leisleri,0.103,0.211,-1,192000.0,/mnt/ubna_data_05/recover-20250317/UBNA_030/20250310_182000.WAV,recover-20250317,UBNA_030,E18 Bridge
