KMEANS_CLASSES,peak_frequency,SNR,start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,sampling_rate,input_file,Recover Folder,SD Card,Site name
HF,48000.0,17.03406911900894,119.0075,119.0124,45234.0,58712.0,Echolocation,Pipistrellus pipistrellus,0.509,0.54,-1,192000.0,/mnt/ubna_data_04/recover-20241104/UBNA_022/20241026_133000.WAV,recover-20241104,UBNA_022,E18 Bridge
HF,46080.0,27.69120000414326,119.0955,119.102,43515.0,65787.0,Echolocation,Pipistrellus pipistrellus,0.618,0.765,-1,192000.0,/mnt/ubna_data_04/recover-20241104/UBNA_022/20241026_133000.WAV,recover-20241104,UBNA_022,E18 Bridge
HF,45120.0,13.681039991049872,119.1885,119.1947,43515.0,55281.0,Echolocation,Pipistrellus pipistrellus,0.619,0.661,-1,192000.0,/mnt/ubna_data_04/recover-20241104/UBNA_022/20241026_133000.WAV,recover-20241104,UBNA_022,E18 Bridge
HF,44160.0,9.01226500128958,119.2825,119.2886,44375.0,54054.0,Echolocation,Pipistrellus pipistrellus,0.585,0.623,-1,192000.0,/mnt/ubna_data_04/recover-20241104/UBNA_022/20241026_133000.WAV,recover-20241104,UBNA_022,E18 Bridge
HF,48000.0,11.81364792629319,119.3765,119.3812,43515.0,55946.0,Echolocation,Pipistrellus pipistrellus,0.552,0.613,-1,192000.0,/mnt/ubna_data_04/recover-20241104/UBNA_022/20241026_133000.WAV,recover-20241104,UBNA_022,E18 Bridge
HF,46080.0,14.234452969426208,119.4695,119.4766,42656.0,58422.0,Echolocation,Pipistrellus pipistrellus,0.517,0.647,-1,192000.0,/mnt/ubna_data_04/recover-20241104/UBNA_022/20241026_133000.WAV,recover-20241104,UBNA_022,E18 Bridge
HF,48960.0,14.233573168207904,119.6565,119.662,45234.0,60795.0,Echolocation,Pipistrellus pipistrellus,0.544,0.619,-1,192000.0,/mnt/ubna_data_04/recover-20241104/UBNA_022/20241026_133000.WAV,recover-20241104,UBNA_022,E18 Bridge
HF,48960.0,20.720303676569163,119.7445,119.7496,46953.0,64463.0,Echolocation,Pipistrellus pipistrellus,0.557,0.601,-1,192000.0,/mnt/ubna_data_04/recover-20241104/UBNA_022/20241026_133000.WAV,recover-20241104,UBNA_022,E18 Bridge
HF,48000.0,21.575773417192433,119.8335,119.8391,46953.0,63872.0,Echolocation,Pipistrellus pipistrellus,0.501,0.622,-1,192000.0,/mnt/ubna_data_04/recover-20241104/UBNA_022/20241026_133000.WAV,recover-20241104,UBNA_022,E18 Bridge
HF,48960.0,17.517190291558716,121.1445,121.1496,45234.0,63042.0,Echolocation,Pipistrellus pipistrellus,0.607,0.683,-1,192000.0,/mnt/ubna_data_04/recover-20241104/UBNA_022/20241026_133000.WAV,recover-20241104,UBNA_022,E18 Bridge
HF,48960.0,14.013579933512766,121.2345,121.2401,46093.0,61104.0,Echolocation,Pipistrellus pipistrellus,0.512,0.599,-1,192000.0,/mnt/ubna_data_04/recover-20241104/UBNA_022/20241026_133000.WAV,recover-20241104,UBNA_022,E18 Bridge
HF,47040.0,16.920033900462418,121.3265,121.3317,46093.0,61715.0,Echolocation,Pipistrellus pipistrellus,0.601,0.691,-1,192000.0,/mnt/ubna_data_04/recover-20241104/UBNA_022/20241026_133000.WAV,recover-20241104,UBNA_022,E18 Bridge
HF,48960.0,15.035200182623022,121.4155,121.4211,46953.0,63481.0,Echolocation,Pipistrellus pipistrellus,0.54,0.685,-1,192000.0,/mnt/ubna_data_04/recover-20241104/UBNA_022/20241026_133000.WAV,recover-20241104,UBNA_022,E18 Bridge
HF,48000.0,17.71182048470105,121.5115,121.5191,45234.0,71078.0,Echolocation,Pipistrellus pipistrellus,0.591,0.696,-1,192000.0,/mnt/ubna_data_04/recover-20241104/UBNA_022/20241026_133000.WAV,recover-20241104,UBNA_022,E18 Bridge
HF,48000.0,15.671885225727038,121.6035,121.6106,46953.0,65595.0,Echolocation,Pipistrellus pipistrellus,0.585,0.712,-1,192000.0,/mnt/ubna_data_04/recover-20241104/UBNA_022/20241026_133000.WAV,recover-20241104,UBNA_022,E18 Bridge
