KMEANS_CLASSES,peak_frequency,SNR,start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,sampling_rate,input_file,Recover Folder,SD Card,Site name
HF,46080.0,7.764224743272471,6.4405,6.4529,45234.0,54002.0,Echolocation,Pipistrellus pipistrellus,0.393,0.507,-1,192000.0,/mnt/ubna_data_04/recover-20240927/UBNA_021/20240920_040000.WAV,recover-20240927,UBNA_021,Central Pond
LF,24000.0,8.660661478475005,123.1245,123.1406,24609.0,28792.0,Echolocation,Nyctalus leisleri,0.463,0.605,-1,192000.0,/mnt/ubna_data_04/recover-20240927/UBNA_021/20240922_031000.WAV,recover-20240927,UBNA_021,Central Pond
LF,25920.0,8.87436833536059,70.5085,70.5253,24609.0,27915.0,Echolocation,Nyctalus leisleri,0.467,0.569,-1,192000.0,/mnt/ubna_data_04/recover-20240927/UBNA_021/20240922_031000.WAV,recover-20240927,UBNA_021,Central Pond
LF,24000.0,6.008229193484034,211.6805,211.6981,23750.0,29571.0,Echolocation,Nyctalus leisleri,0.299,0.537,-1,192000.0,/mnt/ubna_data_04/recover-20240927/UBNA_021/20240922_030000.WAV,recover-20240927,UBNA_021,Central Pond
LF,24960.0,7.068004588822695,60.9175,60.932,23750.0,28031.0,Echolocation,Nyctalus leisleri,0.448,0.555,-1,192000.0,/mnt/ubna_data_04/recover-20240927/UBNA_021/20240922_030000.WAV,recover-20240927,UBNA_021,Central Pond
LF,24960.0,12.659648151361546,54.6185,54.6363,23750.0,28506.0,Echolocation,Nyctalus leisleri,0.336,0.504,-1,192000.0,/mnt/ubna_data_04/recover-20240927/UBNA_021/20240922_030000.WAV,recover-20240927,UBNA_021,Central Pond
LF,25920.0,6.906236013631013,278.3295,278.3434,24609.0,29893.0,Echolocation,Nyctalus leisleri,0.273,0.544,-1,192000.0,/mnt/ubna_data_04/recover-20240927/UBNA_021/20240922_025000.WAV,recover-20240927,UBNA_021,Central Pond
LF,23040.0,5.129240744094611,243.2335,243.2506,22031.0,26140.0,Echolocation,Nyctalus leisleri,0.401,0.52,-1,192000.0,/mnt/ubna_data_04/recover-20240927/UBNA_021/20240922_025000.WAV,recover-20240927,UBNA_021,Central Pond
LF,25920.0,7.689890432456588,232.0825,232.0942,25468.0,33486.0,Echolocation,Eptesicus serotinus,0.271,0.563,-1,192000.0,/mnt/ubna_data_04/recover-20240927/UBNA_021/20240922_025000.WAV,recover-20240927,UBNA_021,Central Pond
LF,26880.0,4.548468014457747,181.5485,181.5586,25468.0,33154.0,Echolocation,Eptesicus serotinus,0.305,0.601,-1,192000.0,/mnt/ubna_data_04/recover-20240927/UBNA_021/20240922_025000.WAV,recover-20240927,UBNA_021,Central Pond
