KMEANS_CLASSES,peak_frequency,SNR,start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,sampling_rate,input_file,Recover Folder,SD Card,Site name
HF,48960.0,7.201953990019245,13.3505,13.3559,47812.0,60965.0,Echolocation,Pipistrellus pipistrellus,0.607,0.647,-1,192000.0,/mnt/ubna_data_04/recover-20241025/UBNA_007/20241019_014000.WAV,recover-20241025,UBNA_007,Foliage
LF,22080.0,9.640501368893243,267.8625,267.881,21171.0,23778.0,Echolocation,Nyctalus leisleri,0.552,0.564,-1,192000.0,/mnt/ubna_data_04/recover-20241025/UBNA_007/20241025_194000.WAV,recover-20241025,UBNA_007,Foliage
HF,48000.0,13.197783267923997,211.1615,211.1662,46953.0,59273.0,Echolocation,Pipistrellus pipistrellus,0.653,0.681,-1,192000.0,/mnt/ubna_data_04/recover-20241025/UBNA_007/20241019_042000.WAV,recover-20241025,UBNA_007,Foliage
HF,50880.0,6.81873805087279,242.6135,242.6219,48671.0,64158.0,Echolocation,Pipistrellus pipistrellus,0.422,0.505,-1,192000.0,/mnt/ubna_data_04/recover-20241025/UBNA_007/20241019_042000.WAV,recover-20241025,UBNA_007,Foliage
HF,48000.0,10.832412961540715,270.7075,270.7117,41796.0,67972.0,Echolocation,Myotis alcathoe,0.238,0.503,-1,192000.0,/mnt/ubna_data_04/recover-20241025/UBNA_007/20241019_042000.WAV,recover-20241025,UBNA_007,Foliage
HF,48000.0,17.46657680139921,0.8585,0.8629,42656.0,59766.0,Echolocation,Pipistrellus pipistrellus,0.429,0.575,-1,192000.0,/mnt/ubna_data_04/recover-20241025/UBNA_007/20241019_043000.WAV,recover-20241025,UBNA_007,Foliage
HF,52800.0,6.0513961085467995,30.1495,30.1548,49531.0,59714.0,Echolocation,Pipistrellus pipistrellus,0.534,0.575,-1,192000.0,/mnt/ubna_data_04/recover-20241025/UBNA_007/20241019_043000.WAV,recover-20241025,UBNA_007,Foliage
HF,47040.0,6.499581922166671,64.5435,64.5525,46953.0,61864.0,Echolocation,Pipistrellus pipistrellus,0.476,0.546,-1,192000.0,/mnt/ubna_data_04/recover-20241025/UBNA_007/20241019_043000.WAV,recover-20241025,UBNA_007,Foliage
HF,49920.0,8.167108709943738,91.0365,91.0421,47812.0,63488.0,Echolocation,Pipistrellus pipistrellus,0.346,0.521,-1,192000.0,/mnt/ubna_data_04/recover-20241025/UBNA_007/20241019_043000.WAV,recover-20241025,UBNA_007,Foliage
HF,49920.0,4.218848608674672,158.0465,158.0522,47812.0,61961.0,Echolocation,Pipistrellus pipistrellus,0.461,0.504,-1,192000.0,/mnt/ubna_data_04/recover-20241025/UBNA_007/20241019_043000.WAV,recover-20241025,UBNA_007,Foliage
HF,48000.0,7.350452905476672,180.4135,180.4182,46953.0,57409.0,Echolocation,Pipistrellus pipistrellus,0.544,0.565,-1,192000.0,/mnt/ubna_data_04/recover-20241025/UBNA_007/20241019_043000.WAV,recover-20241025,UBNA_007,Foliage
HF,46080.0,9.804439535725153,210.0485,210.0533,45234.0,59825.0,Echolocation,Pipistrellus pipistrellus,0.566,0.588,-1,192000.0,/mnt/ubna_data_04/recover-20241025/UBNA_007/20241019_043000.WAV,recover-20241025,UBNA_007,Foliage
HF,48960.0,7.6277557960099145,121.4345,121.4399,45234.0,55487.0,Echolocation,Pipistrellus pipistrellus,0.493,0.538,-1,192000.0,/mnt/ubna_data_04/recover-20241025/UBNA_007/20241020_014000.WAV,recover-20241025,UBNA_007,Foliage
HF,48960.0,6.009010946904088,173.7145,173.72050000000002,47812.0,56865.0,Echolocation,Pipistrellus pipistrellus,0.51,0.553,-1,192000.0,/mnt/ubna_data_04/recover-20241025/UBNA_007/20241020_014000.WAV,recover-20241025,UBNA_007,Foliage
HF,47040.0,4.790378339385871,180.7545,180.7594,46953.0,57508.0,Echolocation,Pipistrellus pipistrellus,0.525,0.544,-1,192000.0,/mnt/ubna_data_04/recover-20241025/UBNA_007/20241020_014000.WAV,recover-20241025,UBNA_007,Foliage
HF,47040.0,6.494017059795455,8.8165,8.8217,46093.0,58889.0,Echolocation,Pipistrellus pipistrellus,0.461,0.502,-1,192000.0,/mnt/ubna_data_04/recover-20241025/UBNA_007/20241020_015000.WAV,recover-20241025,UBNA_007,Foliage
HF,48000.0,9.583755396855205,59.1405,59.1451,46093.0,58492.0,Echolocation,Pipistrellus pipistrellus,0.465,0.517,-1,192000.0,/mnt/ubna_data_04/recover-20241025/UBNA_007/20241020_015000.WAV,recover-20241025,UBNA_007,Foliage
HF,48000.0,7.561819549072387,60.2115,60.2171,46953.0,58430.0,Echolocation,Pipistrellus pipistrellus,0.48,0.529,-1,192000.0,/mnt/ubna_data_04/recover-20241025/UBNA_007/20241020_015000.WAV,recover-20241025,UBNA_007,Foliage
HF,45120.0,10.225904865345818,180.0405,180.0495,44375.0,58472.0,Echolocation,Pipistrellus pipistrellus,0.477,0.564,-1,192000.0,/mnt/ubna_data_04/recover-20241025/UBNA_007/20241019_042000.WAV,recover-20241025,UBNA_007,Foliage
