,date_and_time_UTC,num_of_detections
132,2023-10-03 06:00:00+00:00,1
133,2023-10-03 06:30:00+00:00,3
134,2023-10-03 07:00:00+00:00,1
135,2023-10-03 07:30:00+00:00,1
136,2023-10-03 08:00:00+00:00,92
137,2023-10-03 08:30:00+00:00,4
138,2023-10-03 09:00:00+00:00,3
139,2023-10-03 09:30:00+00:00,1
140,2023-10-03 10:00:00+00:00,1
141,2023-10-03 10:30:00+00:00,1
142,2023-10-03 11:00:00+00:00,1
143,2023-10-03 11:30:00+00:00,1
144,2023-10-03 12:00:00+00:00,1
145,2023-10-03 12:30:00+00:00,1
146,2023-10-03 13:00:00+00:00,1
147,2023-10-03 13:30:00+00:00,1
148,2023-10-03 14:00:00+00:00,1
149,2023-10-03 14:30:00+00:00,1
150,2023-10-04 00:00:00+00:00,1
151,2023-10-04 00:30:00+00:00,1
152,2023-10-04 01:00:00+00:00,1
153,2023-10-04 01:30:00+00:00,1
154,2023-10-04 02:00:00+00:00,148
155,2023-10-04 02:30:00+00:00,5044
156,2023-10-04 03:00:00+00:00,1122
157,2023-10-04 03:30:00+00:00,9
158,2023-10-04 04:00:00+00:00,2
159,2023-10-04 04:30:00+00:00,77
160,2023-10-04 05:00:00+00:00,343
161,2023-10-04 05:30:00+00:00,201
162,2023-10-04 06:00:00+00:00,233
163,2023-10-04 06:30:00+00:00,83
164,2023-10-04 07:00:00+00:00,17
165,2023-10-04 07:30:00+00:00,140
166,2023-10-04 08:00:00+00:00,313
167,2023-10-04 08:30:00+00:00,480
168,2023-10-04 09:00:00+00:00,166
169,2023-10-04 09:30:00+00:00,164
170,2023-10-04 10:00:00+00:00,142
171,2023-10-04 10:30:00+00:00,115
172,2023-10-04 11:00:00+00:00,3
173,2023-10-04 11:30:00+00:00,126
174,2023-10-04 12:00:00+00:00,41
175,2023-10-04 12:30:00+00:00,1
176,2023-10-04 13:00:00+00:00,1
177,2023-10-04 13:30:00+00:00,1
178,2023-10-04 14:00:00+00:00,1
179,2023-10-04 14:30:00+00:00,1
