Time (UTC),02/12/24,02/13/24,02/14/24,02/15/24,02/16/24,02/17/24,02/18/24,02/19/24,02/20/24,02/21/24
00:00,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
00:30,,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0
01:00,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
01:30,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
02:00,,0.0,1.0,62.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0
02:30,,0.0,1.0,24.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0
03:00,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
03:30,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
04:00,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
04:30,,0.0,2.6666666666666665,1.0,0.0,0.0,0.0,0.0,0.0,0.0
05:00,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
05:30,,0.0,2.666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0
06:00,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
06:30,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
07:00,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
07:30,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
08:00,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
08:30,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
09:00,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:30,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10:00,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
10:30,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
11:00,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
11:30,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
12:00,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
12:30,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
13:00,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
13:30,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
14:00,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
14:30,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
15:00,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
15:30,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
16:00,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
16:30,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
17:00,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
17:30,2.3333333333333335,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
18:00,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
18:30,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
19:00,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
19:30,0.6666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
20:00,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
20:30,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
21:00,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
21:30,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
22:00,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
22:30,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
23:00,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
23:30,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
