,08/10/23,08/11/23,08/12/23,08/13/23,08/14/23,08/15/23
03:00,1,1,1,1,1,1
03:30,1,1,1,1,53,2
04:00,197,97,41,317,103,31
04:30,66,17,61,9,64,5
05:00,36,75,61,42,88,3
05:30,86,63,83,6,51,62
06:00,355,9,31,83,24,17
06:30,689,31,17,287,3,7
07:00,1760,50,24,571,49,48
07:30,1606,50,131,25,32,48
08:00,503,35,63,44,23,4
08:30,522,2,33,10,88,17
09:00,1073,8,21,46,94,1
09:30,1127,17,21,84,117,27
10:00,764,15,75,35,1,12
10:30,227,13,45,63,5,9
11:00,344,9,1,31,35,19
11:30,97,5,12,5,1,73
12:00,1,1,45,34,1,2
12:30,39,1,1,1,23,1
13:00,1,1,1,1,1,1
