,07/26/23,07/27/23,07/28/23,07/29/23,07/30/23,07/31/23,08/01/23
03:00,1,1,1,1,1,1,1
03:30,1,1,1,1,1,1,1
04:00,1,1,1,1,1,1,2
04:30,81,51,62,54,25,31,11
05:00,5,4,11,1,12,5,13
05:30,135,19,24,23,10,22,18
06:00,13,17,31,2,1,23,26
06:30,20,11,9,1,26,16,63
07:00,94,31,17,1,9,8,27
07:30,104,8,10,14,2,40,13
08:00,49,63,2,49,28,50,15
08:30,118,50,1,17,32,21,69
09:00,52,11,3,23,19,23,27
09:30,397,19,1,5,109,1,2
10:00,149,23,44,22,12,1,20
10:30,82,6,5,114,150,17,1
11:00,64,4,1,2,36,1,1
11:30,49,22,3,10,44,1,1
12:00,1,1,1,1,1,1,1
12:30,1,1,1,1,1,1,1
13:00,1,1,1,1,1,1,1
